PatchID,X,Y,SubpatchNO,K,K StDev,N0,Natal Grounds,Migration Out Grounds,Genes Initialize,Class Vars,Mortality Out,Mortality Out StDev,Mortality Back,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration Out Prob,Set Migration Out,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,HabitatOut,HabitatBack,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb,comp_coef
1,1.0,0.0,1,100,0,100,1,0,random,classvars/ClassVars.csv,0,0,0,0,0,0,0,N,0,0,1,0,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.8090169943749475,0.5877852522924731,1,100,0,100,1,0,random,classvars/ClassVars.csv,0,0,0,0,0,0,0,N,0,0,1,0,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.30901699437494745,0.9510565162951535,1,100,0,100,1,0,random,classvars/ClassVars.csv,0,0,0,0,0,0,0,N,0,0,1,0,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.30901699437494734,0.9510565162951536,1,100,0,100,1,0,random,classvars/ClassVars.csv,0,0,0,0,0,0,0,N,0,0,1,0,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.8090169943749473,0.5877852522924732,1,100,0,100,1,0,random,classvars/ClassVars.csv,0,0,0,0,0,0,0,N,0,0,1,0,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-1.0,1.2246467991473532e-16,1,100,0,100,1,0,random,classvars/ClassVars.csv,0,0,0,0,0,0,0,N,0,0,1,0,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-0.8090169943749476,-0.587785252292473,1,100,0,100,1,0,random,classvars/ClassVars.csv,0,0,0,0,0,0,0,N,0,0,1,0,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.30901699437494756,-0.9510565162951535,1,100,0,100,1,0,random,classvars/ClassVars.csv,0,0,0,0,0,0,0,N,0,0,1,0,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.30901699437494723,-0.9510565162951536,1,100,0,100,1,0,random,classvars/ClassVars.csv,0,0,0,0,0,0,0,N,0,0,1,0,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.8090169943749473,-0.5877852522924734,1,100,0,100,1,0,random,classvars/ClassVars.csv,0,0,0,0,0,0,0,N,0,0,1,0,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
