Year,ID,PatchID,Lineage
19,P1_Y17_UO431,1,0
18,P1_Y17_UO431,1,0
17,P1_Y15_UO111,1,0
16,P1_Y15_UO111,1,0
15,P1_Y13_UO20,1,0
14,P1_Y13_UO20,1,0
13,P1_Y11_UO838,1,0
12,P1_Y11_UO838,1,0
11,P1_Y9_UO467,1,0
10,P1_Y9_UO467,1,0
9,P1_Y7_UO61,1,0
8,P1_Y7_UO61,1,0
7,P1_Y5_UO285,1,0
6,P1_Y5_UO285,1,0
5,P1_Y3_UO185,1,0
4,P1_Y3_UO185,1,0
3,P1_Y1_UO1059,1,0
2,P1_Y1_UO1059,1,0
1,P1_Y-1_U91,1,0
0,P1_Y-1_U91,1,0
1,P2_Y-1_U98,2,0
0,P2_Y-1_U98,2,0
3,P2_Y0_UO715,2,0
2,P2_Y0_UO715,2,0
1,P2_Y0_UO715,2,0
0,P2_Y-1_U15,2,0
0,P1_Y-1_U7,1,0
5,P2_Y2_UO1378,2,0
4,P2_Y2_UO1378,2,0
3,P2_Y2_UO1378,2,0
2,P3_Y0_UO1211,2,0
1,P3_Y0_UO1211,2,0
0,P3_Y-1_U25,3,0
0,P4_Y-1_U12,4,0
2,P1_Y0_UO743,1,0
1,P1_Y0_UO743,2,0
0,P1_Y-1_U28,1,0
0,P2_Y-1_U13,2,0
7,P2_Y4_UO982,2,0
6,P2_Y4_UO982,2,0
5,P2_Y4_UO982,2,0
4,P2_Y2_UO1242,2,0
3,P2_Y2_UO1242,2,0
2,P2_Y0_UO489,2,0
1,P2_Y0_UO489,2,0
0,P2_Y-1_U60,2,0
0,P3_Y-1_U76,3,0
2,P3_Y-1_U46,3,0
1,P3_Y-1_U46,3,0
0,P3_Y-1_U46,3,0
4,P2_Y0_UO114,3,0
3,P2_Y0_UO114,2,0
2,P2_Y0_UO114,2,0
1,P2_Y0_UO114,2,0
0,P2_Y-1_U43,2,0
0,P3_Y-1_U82,3,0
9,P1_Y5_UO713,2,0
8,P1_Y5_UO713,2,0
7,P1_Y5_UO713,2,0
6,P1_Y5_UO713,1,0
5,P1_Y3_UO748,1,0
4,P1_Y3_UO748,1,0
3,P1_Y1_UO448,1,0
2,P1_Y1_UO448,1,0
1,P1_Y-1_U34,1,0
0,P1_Y-1_U34,1,0
1,P2_Y-1_U77,2,0
0,P2_Y-1_U77,2,0
3,P2_Y1_UO484,2,0
2,P2_Y1_UO484,2,0
1,P2_Y-1_U59,2,0
0,P2_Y-1_U59,2,0
1,P3_Y-1_U76,3,0
0,P3_Y-1_U76,3,0
5,P1_Y3_UO637,2,0
4,P1_Y3_UO637,1,0
3,P1_Y1_UO303,1,0
2,P1_Y1_UO303,1,0
1,P1_Y-1_U57,1,0
0,P1_Y-1_U57,1,0
1,P3_Y-1_U55,2,0
0,P3_Y-1_U55,3,0
3,P2_Y0_UO114,2,0
