Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,12.056737588652481,19.148936170212767,12.056737588652481,14.893617021276595,11.347517730496454,12.056737588652481,7.801418439716312,4.25531914893617,2.8368794326241136,2.127659574468085,1.4184397163120568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8.870967741935484,24.193548387096776,12.096774193548388,16.93548387096774,13.709677419354838,11.29032258064516,6.451612903225806,2.4193548387096775,2.4193548387096775,0.8064516129032258,0.8064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16.101694915254235,15.254237288135593,16.101694915254235,15.254237288135593,16.94915254237288,8.47457627118644,5.932203389830509,3.389830508474576,0.847457627118644,0.847457627118644,0.847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,13.131313131313133,24.242424242424242,16.161616161616163,15.151515151515152,16.161616161616163,8.080808080808081,4.040404040404041,2.0202020202020203,0.0,1.0101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,22.448979591836736,18.367346938775512,20.408163265306122,12.244897959183673,12.244897959183673,7.142857142857142,5.1020408163265305,1.0204081632653061,1.0204081632653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20.73170731707317,21.951219512195124,20.73170731707317,15.853658536585366,9.75609756097561,9.75609756097561,0.0,1.2195121951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,29.48717948717949,17.94871794871795,23.076923076923077,12.82051282051282,8.974358974358974,6.41025641025641,1.282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,25.0,30.263157894736842,22.36842105263158,13.157894736842104,5.263157894736842,2.631578947368421,1.3157894736842104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,23.076923076923077,30.76923076923077,29.230769230769234,9.230769230769232,3.076923076923077,3.076923076923077,1.5384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,24.59016393442623,34.42622950819672,29.508196721311474,8.19672131147541,1.639344262295082,1.639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,25.925925925925924,29.629629629629626,29.629629629629626,11.11111111111111,1.8518518518518516,1.8518518518518516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,21.27659574468085,34.04255319148936,27.659574468085108,14.893617021276595,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,25.581395348837212,30.23255813953488,32.55813953488372,9.30232558139535,2.3255813953488373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,25.71428571428571,34.285714285714285,28.57142857142857,8.571428571428571,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,31.428571428571427,34.285714285714285,25.71428571428571,8.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,34.375,46.875,15.625,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,37.03703703703704,44.44444444444444,14.814814814814813,3.7037037037037033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,47.61904761904761,42.857142857142854,9.523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,63.63636363636363,31.818181818181817,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
