Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,1142|560|298|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1142|560|298|,nan|nan|nan|,nan|nan|nan|,0|1142|858|,0|0|0|,4843|1142|858|,0|0|0|,1369|360|272|,0|0|0|,0|0|0|,1369|360|272|,0|0|0|,0|0|0|,1350|355|266|,25|26|104|,0|0|0|
1,0|1|2|,1325|329|162|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1325|329|162|,nan|nan|nan|,nan|nan|nan|,0|1325|491|,0|0|0|,2667|1325|491|,0|0|0|,1072|692|237|,0|0|0|,0|0|0|,1072|692|237|,0|0|0|,0|0|0|,1054|683|232|,29|34|102|,0|0|0|
2,0|1|2|,1025|649|130|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1025|649|130|,nan|nan|nan|,nan|nan|nan|,0|1025|779|,0|0|0|,6878|1025|779|,0|0|0|,1437|372|191|,0|0|0|,0|0|0|,1437|372|191|,0|0|0|,0|0|0|,1407|367|184|,28|20|77|,0|0|0|
3,0|1|2|,1379|347|107|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1379|347|107|,nan|nan|nan|,nan|nan|nan|,0|1379|454|,0|0|0|,3165|1379|454|,0|0|0|,983|830|175|,0|0|0|,0|0|0|,983|830|175|,0|0|0|,0|0|0|,965|816|171|,16|49|75|,0|0|0|
4,0|1|2|,949|767|96|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,949|767|96|,nan|nan|nan|,nan|nan|nan|,0|949|863|,0|0|0|,8267|949|863|,0|0|0|,1486|336|178|,0|0|0|,0|0|0|,1486|336|178|,0|0|0|,0|0|0|,1449|325|176|,28|13|71|,0|0|0|
5,0|1|2|,1421|312|105|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1421|312|105|,nan|nan|nan|,nan|nan|nan|,0|1421|417|,0|0|0|,3438|1421|417|,0|0|0|,1054|784|147|,0|0|0|,0|0|0|,1054|784|147|,0|0|0|,0|0|0|,1040|769|146|,27|37|51|,0|0|0|
6,0|1|2|,1013|732|95|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1013|732|95|,nan|nan|nan|,nan|nan|nan|,0|1013|827|,0|0|0|,7207|1013|827|,0|0|0|,1400|382|218|,0|0|0|,0|0|0|,1400|382|218|,0|0|0|,0|0|0|,1367|376|215|,31|21|87|,0|0|0|
7,0|1|2|,1336|355|128|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1336|355|128|,nan|nan|nan|,nan|nan|nan|,0|1336|483|,0|0|0|,3500|1336|483|,0|0|0|,1055|750|162|,0|0|0|,0|0|0|,1055|750|162|,0|0|0|,0|0|0|,1033|748|160|,26|40|68|,0|0|0|
8,0|1|2|,1007|708|92|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1007|708|92|,nan|nan|nan|,nan|nan|nan|,0|1007|800|,0|0|0|,6817|1007|800|,0|0|0|,1397|408|191|,0|0|0|,0|0|0|,1397|408|191|,0|0|0|,0|0|0|,1364|401|186|,22|11|80|,0|0|0|
9,0|1|2|,1342|390|106|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1342|390|106|,nan|nan|nan|,nan|nan|nan|,0|1342|496|,0|0|0|,3503|1342|496|,0|0|0|,1045|748|172|,0|0|0|,0|0|0|,1045|748|172|,0|0|0|,0|0|0|,1023|739|165|,20|40|67|,0|0|0|
10,0|1|2|,1003|699|98|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1003|699|98|,nan|nan|nan|,nan|nan|nan|,0|1003|797|,0|0|0|,6512|1003|797|,0|0|0|,1437|377|186|,0|0|0|,0|0|0|,1437|377|186|,0|0|0|,0|0|0|,1427|369|183|,26|22|71|,0|0|0|
11,0|1|2|,1401|347|112|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1401|347|112|,nan|nan|nan|,nan|nan|nan|,0|1401|459|,0|0|0|,3407|1401|459|,0|0|0|,954|852|172|,0|0|0|,0|0|0|,954|852|172|,0|0|0|,0|0|0|,927|843|167|,30|57|71|,0|0|0|
12,0|1|2|,897|786|96|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,897|786|96|,nan|nan|nan|,nan|nan|nan|,0|897|882|,0|0|0|,8302|897|882|,0|0|0|,1475|353|173|,0|0|0|,0|0|0|,1475|353|173|,0|0|0|,0|0|0|,1449|346|172|,25|16|79|,0|0|0|
13,0|1|2|,1424|330|93|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1424|330|93|,nan|nan|nan|,nan|nan|nan|,0|1424|423|,0|0|0|,3186|1424|423|,0|0|0|,912|886|168|,0|0|0|,0|0|0|,912|886|168|,0|0|0|,0|0|0|,904|878|163|,20|41|55|,0|0|0|
14,0|1|2|,884|837|108|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,884|837|108|,nan|nan|nan|,nan|nan|nan|,0|884|945|,0|0|0|,7483|884|945|,0|0|0|,1430|356|215|,0|0|0|,0|0|0|,1430|356|215|,0|0|0|,0|0|0|,1398|347|211|,26|13|90|,0|0|0|
15,0|1|2|,1372|334|121|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1372|334|121|,nan|nan|nan|,nan|nan|nan|,0|1372|455|,0|0|0|,3322|1372|455|,0|0|0|,829|945|174|,0|0|0|,0|0|0|,829|945|174|,0|0|0|,0|0|0|,810|937|171|,15|43|63|,0|0|0|
16,0|1|2|,795|894|108|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,795|894|108|,nan|nan|nan|,nan|nan|nan|,0|795|1002|,0|0|0|,10062|795|1002|,0|0|0|,1502|318|180|,0|0|0|,0|0|0|,1502|318|180|,0|0|0|,0|0|0|,1473|315|176|,30|13|70|,0|0|0|
17,0|1|2|,1443|302|106|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1443|302|106|,nan|nan|nan|,nan|nan|nan|,0|1443|408|,0|0|0|,2626|1443|408|,0|0|0|,671|1074|193|,0|0|0|,0|0|0|,671|1074|193|,0|0|0|,0|0|0|,660|1057|187|,11|63|90|,0|0|0|
18,0|1|2|,649|994|97|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,649|994|97|,nan|nan|nan|,nan|nan|nan|,0|649|1091|,0|0|0|,8328|649|1091|,0|0|0|,1429|328|242|,0|0|0|,0|0|0|,1429|328|242|,0|0|0|,0|0|0|,1410|320|236|,24|17|105|,0|0|0|
19,0|1|2|,1386|303|131|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1386|303|131|,nan|nan|nan|,nan|nan|nan|,0|1386|434|,0|0|0|,3374|1386|434|,0|0|0|,819|963|175|,0|0|0|,0|0|0|,819|963|175|,0|0|0|,0|0|0|,806|956|173|,21|48|71|,0|0|0|
