Year,ID,PatchID,Lineage
19,P1_Y17_UO180,1,0
18,P1_Y17_UO180,1,0
17,P1_Y15_UO675,1,0
16,P1_Y15_UO675,1,0
15,P1_Y13_UO120,1,0
14,P1_Y13_UO120,1,0
13,P2_Y11_UO186,1,0
12,P2_Y11_UO186,2,0
11,P2_Y9_UO528,2,0
10,P2_Y9_UO528,2,0
9,P2_Y7_UO1025,2,0
8,P2_Y7_UO1025,2,0
7,P2_Y5_UO767,2,0
6,P2_Y5_UO767,2,0
5,P2_Y3_UO747,2,0
4,P2_Y3_UO747,2,0
3,P2_Y1_UO534,2,0
2,P2_Y1_UO534,2,0
1,P2_Y-1_U82,2,0
0,P2_Y-1_U82,2,0
1,P4_Y-1_U45,3,0
0,P4_Y-1_U45,4,0
3,P3_Y1_UO1002,3,0
2,P3_Y1_UO1002,3,0
1,P3_Y-1_U12,3,0
0,P3_Y-1_U12,3,0
1,P4_Y-1_U97,4,0
0,P4_Y-1_U97,4,0
5,P1_Y3_UO889,1,0
4,P1_Y3_UO889,1,0
3,P1_Y1_UO422,1,0
2,P1_Y1_UO422,1,0
1,P1_Y-1_U10,1,0
0,P1_Y-1_U10,1,0
1,P20_Y-1_U18,20,0
0,P20_Y-1_U18,20,0
3,P20_Y0_UO888,20,0
2,P20_Y0_UO888,20,0
1,P20_Y0_UO888,20,0
0,P20_Y-1_U96,20,0
0,P19_Y-1_U31,19,0
7,P2_Y5_UO96,1,0
6,P2_Y5_UO96,1,0
5,P2_Y3_UO488,2,0
4,P2_Y3_UO488,2,0
3,P2_Y1_UO289,2,0
2,P2_Y1_UO289,2,0
1,P2_Y-1_U27,2,0
0,P2_Y-1_U27,2,0
1,P3_Y-1_U81,3,0
0,P3_Y-1_U81,3,0
3,P1_Y0_UO1313,1,0
2,P1_Y0_UO1313,1,0
1,P1_Y0_UO1313,1,0
0,P1_Y-1_U63,1,0
0,P20_Y-1_U93,20,0
5,P2_Y2_UO216,1,0
4,P2_Y2_UO216,1,0
3,P2_Y2_UO216,2,0
2,P2_Y0_UO194,2,0
1,P2_Y0_UO194,2,0
0,P2_Y-1_U11,2,0
0,P3_Y-1_U1,3,0
2,P3_Y0_UO692,3,0
1,P3_Y0_UO692,3,0
