Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,9.473684210526317,10.0,10.0,8.947368421052632,5.263157894736842,4.736842105263158,2.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,1.5789473684210527,2.631578947368421,6.842105263157896,8.421052631578947,8.421052631578947,12.631578947368421,8.421052631578947
1,9.18918918918919,9.72972972972973,10.27027027027027,8.64864864864865,5.405405405405405,2.1621621621621623,1.0810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,1.0810810810810811,2.7027027027027026,6.486486486486487,9.18918918918919,7.567567567567568,9.18918918918919,17.2972972972973
2,9.696969696969697,8.484848484848486,12.727272727272727,8.484848484848486,4.242424242424243,3.0303030303030303,1.2121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.6060606060606061,2.4242424242424243,6.666666666666667,7.878787878787878,9.090909090909092,10.303030303030303,15.151515151515152
3,10.06711409395973,11.409395973154362,9.395973154362416,8.053691275167784,3.3557046979865772,2.013422818791946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.684563758389262,6.7114093959731544,9.395973154362416,12.751677852348994,13.422818791946309,10.738255033557047
4,12.587412587412588,12.587412587412588,9.79020979020979,6.293706293706294,2.797202797202797,2.097902097902098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.097902097902098,6.293706293706294,9.090909090909092,11.188811188811188,12.587412587412588,12.587412587412588
5,19.35483870967742,15.32258064516129,8.870967741935484,5.64516129032258,2.4193548387096775,0.8064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6129032258064515,5.64516129032258,6.451612903225806,16.129032258064516,9.67741935483871,8.064516129032258
6,13.114754098360656,15.573770491803279,10.655737704918032,9.01639344262295,1.639344262295082,0.819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.819672131147541,4.918032786885246,6.557377049180328,11.475409836065573,12.295081967213115,13.114754098360656
7,16.9811320754717,12.264150943396226,13.20754716981132,7.547169811320755,2.8301886792452833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9433962264150944,2.8301886792452833,3.7735849056603774,9.433962264150944,16.9811320754717,13.20754716981132
8,14.893617021276595,14.893617021276595,14.893617021276595,7.446808510638298,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0638297872340425,4.25531914893617,8.51063829787234,13.829787234042554,18.085106382978726
9,18.51851851851852,14.814814814814813,16.049382716049383,8.641975308641975,2.4691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2345679012345678,1.2345679012345678,8.641975308641975,13.580246913580247,14.814814814814813
10,20.0,18.571428571428573,18.571428571428573,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,18.571428571428573,12.857142857142856
11,24.242424242424242,19.696969696969695,16.666666666666664,6.0606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.575757575757576,12.121212121212121,13.636363636363635
12,20.454545454545457,29.545454545454547,13.636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.545454545454546,13.636363636363635,18.181818181818183
13,26.82926829268293,26.82926829268293,9.75609756097561,2.4390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.878048780487805,12.195121951219512,17.073170731707318
14,42.857142857142854,17.857142857142858,7.142857142857142,3.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,21.428571428571427
15,38.46153846153847,19.230769230769234,7.6923076923076925,3.8461538461538463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,23.076923076923077
16,47.05882352941176,17.647058823529413,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88235294117647,23.52941176470588
17,43.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,25.0
18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
