Year,PatchID,Count,TotalAncestors,Proportion,Percentage
0,1,18,190,0.09473684210526316,9.473684210526317
0,2,19,190,0.1,10.0
0,3,19,190,0.1,10.0
0,4,17,190,0.08947368421052632,8.947368421052632
0,5,10,190,0.05263157894736842,5.263157894736842
0,6,9,190,0.04736842105263158,4.736842105263158
0,7,5,190,0.02631578947368421,2.631578947368421
0,8,0,190,0.0,0.0
0,9,0,190,0.0,0.0
0,10,0,190,0.0,0.0
0,11,0,190,0.0,0.0
0,12,0,190,0.0,0.0
0,13,0,190,0.0,0.0
0,14,3,190,0.015789473684210527,1.5789473684210527
0,15,5,190,0.02631578947368421,2.631578947368421
0,16,13,190,0.06842105263157895,6.842105263157896
0,17,16,190,0.08421052631578947,8.421052631578947
0,18,16,190,0.08421052631578947,8.421052631578947
0,19,24,190,0.12631578947368421,12.631578947368421
0,20,16,190,0.08421052631578947,8.421052631578947
1,1,17,185,0.0918918918918919,9.18918918918919
1,2,18,185,0.0972972972972973,9.72972972972973
1,3,19,185,0.10270270270270271,10.27027027027027
1,4,16,185,0.08648648648648649,8.64864864864865
1,5,10,185,0.05405405405405406,5.405405405405405
1,6,4,185,0.021621621621621623,2.1621621621621623
1,7,2,185,0.010810810810810811,1.0810810810810811
1,8,0,185,0.0,0.0
1,9,0,185,0.0,0.0
1,10,0,185,0.0,0.0
1,11,0,185,0.0,0.0
1,12,0,185,0.0,0.0
1,13,0,185,0.0,0.0
1,14,2,185,0.010810810810810811,1.0810810810810811
1,15,5,185,0.02702702702702703,2.7027027027027026
1,16,12,185,0.06486486486486487,6.486486486486487
1,17,17,185,0.0918918918918919,9.18918918918919
1,18,14,185,0.07567567567567568,7.567567567567568
1,19,17,185,0.0918918918918919,9.18918918918919
1,20,32,185,0.17297297297297298,17.2972972972973
2,1,16,165,0.09696969696969697,9.696969696969697
2,2,14,165,0.08484848484848485,8.484848484848486
2,3,21,165,0.12727272727272726,12.727272727272727
2,4,14,165,0.08484848484848485,8.484848484848486
2,5,7,165,0.04242424242424243,4.242424242424243
2,6,5,165,0.030303030303030304,3.0303030303030303
2,7,2,165,0.012121212121212121,1.2121212121212122
2,8,0,165,0.0,0.0
2,9,0,165,0.0,0.0
2,10,0,165,0.0,0.0
2,11,0,165,0.0,0.0
