Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,1142|560|298|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1142|560|298|,nan|nan|nan|,nan|nan|nan|,0|1142|858|,0|0|0|,4867|1142|858|,0|0|0|,1367|371|263|,0|0|0|,0|0|0|,1367|371|263|,0|0|0|,0|0|0|,1347|368|258|,20|26|113|,0|0|0|
1,0|1|2|,1327|342|145|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1327|342|145|,nan|nan|nan|,nan|nan|nan|,0|1327|487|,0|0|0|,3271|1327|487|,0|0|0|,1148|643|209|,0|0|0|,0|0|0|,1148|643|209|,0|0|0|,0|0|0|,1138|638|204|,24|39|93|,0|0|0|
2,0|1|2|,1114|599|111|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1114|599|111|,nan|nan|nan|,nan|nan|nan|,0|1114|710|,0|0|0|,6071|1114|710|,0|0|0|,1473|351|176|,0|0|0|,0|0|0|,1473|351|176|,0|0|0|,0|0|0|,1450|347|175|,36|12|60|,0|0|0|
3,0|1|2|,1414|335|115|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1414|335|115|,nan|nan|nan|,nan|nan|nan|,0|1414|450|,0|0|0|,3318|1414|450|,0|0|0|,1147|665|184|,0|0|0|,0|0|0|,1147|665|184|,0|0|0|,0|0|0|,1125|658|182|,27|36|82|,0|0|0|
4,0|1|2|,1098|622|100|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1098|622|100|,nan|nan|nan|,nan|nan|nan|,0|1098|722|,0|0|0|,6040|1098|722|,0|0|0|,1480|323|197|,0|0|0|,0|0|0|,1480|323|197|,0|0|0|,0|0|0|,1452|320|193|,29|24|78|,0|0|0|
5,0|1|2|,1423|296|115|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1423|296|115|,nan|nan|nan|,nan|nan|nan|,0|1423|411|,0|0|0|,2771|1423|411|,0|0|0|,967|805|219|,0|0|0|,0|0|0|,967|805|219|,0|0|0|,0|0|0|,950|786|215|,20|39|88|,0|0|0|
6,0|1|2|,930|747|127|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,930|747|127|,nan|nan|nan|,nan|nan|nan|,0|930|874|,0|0|0|,6766|930|874|,0|0|0|,1446|330|225|,0|0|0|,0|0|0|,1446|330|225|,0|0|0|,0|0|0|,1426|325|218|,38|11|74|,0|0|0|
7,0|1|2|,1388|314|144|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1388|314|144|,nan|nan|nan|,nan|nan|nan|,0|1388|458|,0|0|0|,3915|1388|458|,0|0|0|,1048|761|170|,0|0|0|,0|0|0|,1048|761|170|,0|0|0|,0|0|0|,1031|759|170|,26|47|66|,0|0|0|
8,0|1|2|,1005|712|104|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1005|712|104|,nan|nan|nan|,nan|nan|nan|,0|1005|816|,0|0|0|,6288|1005|816|,0|0|0|,1363|441|196|,0|0|0|,0|0|0|,1363|441|196|,0|0|0|,0|0|0|,1349|429|195|,26|21|73|,0|0|0|
9,0|1|2|,1323|408|122|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1323|408|122|,nan|nan|nan|,nan|nan|nan|,0|1323|530|,0|0|0|,4404|1323|530|,0|0|0|,1133|689|178|,0|0|0|,0|0|0|,1133|689|178|,0|0|0|,0|0|0|,1112|683|174|,21|30|79|,0|0|0|
