Year,ID,PatchID,Lineage
19,P20_Y18_UO1195,1,0
18,P2_Y16_UO661,20,0
17,P2_Y16_UO661,1,0
16,P4_Y14_UO830,2,0
15,P4_Y14_UO830,3,0
14,P2_Y12_UO627,4,0
13,P2_Y12_UO627,3,0
12,P4_Y10_UO322,2,0
11,P4_Y10_UO322,3,0
10,P6_Y8_UO386,4,0
9,P6_Y8_UO386,5,0
8,P6_Y6_UO580,6,0
7,P6_Y6_UO580,5,0
6,P6_Y4_UO275,6,0
5,P6_Y4_UO275,7,0
4,P6_Y2_UO475,6,0
3,P6_Y2_UO475,5,0
2,P8_Y0_UO1054,6,0
1,P8_Y0_UO1054,7,0
0,P8_Y-1_U58,8,0
0,P7_Y-1_U35,7,0
2,P7_Y-1_U4,5,0
1,P7_Y-1_U4,6,0
0,P7_Y-1_U4,7,0
4,P5_Y2_UO710,5,0
3,P5_Y2_UO710,6,0
2,P3_Y0_UO925,5,0
1,P3_Y0_UO925,4,0
0,P3_Y-1_U31,3,0
0,P4_Y-1_U51,4,0
2,P6_Y0_UO1329,4,0
1,P6_Y0_UO1329,5,0
0,P6_Y-1_U66,6,0
0,P5_Y-1_U55,5,0
6,P7_Y4_UO1038,7,0
5,P7_Y4_UO1038,8,0
4,P7_Y2_UO766,7,0
3,P7_Y2_UO766,8,0
2,P7_Y0_UO404,7,0
1,P7_Y0_UO404,8,0
0,P7_Y-1_U43,7,0
0,P6_Y-1_U30,6,0
2,P6_Y0_UO163,6,0
1,P6_Y0_UO163,5,0
0,P6_Y-1_U18,6,0
0,P7_Y-1_U57,7,0
4,P6_Y2_UO773,6,0
3,P6_Y2_UO773,7,0
2,P6_Y0_UO1183,6,0
1,P6_Y0_UO1183,7,0
0,P6_Y-1_U18,6,0
0,P5_Y-1_U71,5,0
2,P3_Y0_UO1039,5,0
1,P3_Y0_UO1039,4,0
0,P3_Y-1_U68,3,0
0,P2_Y-1_U98,2,0
8,P4_Y3_UO923,7,0
7,P4_Y3_UO923,6,0
6,P4_Y3_UO923,7,0
5,P4_Y3_UO923,6,0
4,P4_Y3_UO923,5,0
3,P6_Y1_UO71,4,0
2,P6_Y1_UO71,5,0
1,P7_Y-1_U91,6,0
0,P7_Y-1_U91,7,0
1,P4_Y-1_U26,5,0
0,P4_Y-1_U26,4,0
3,P3_Y1_UO35,5,0
2,P3_Y1_UO35,4,0
1,P2_Y-1_U70,3,0
0,P2_Y-1_U70,2,0
1,P1_Y-1_U16,2,0
0,P1_Y-1_U16,1,0
10,P1_Y8_UO600,3,0
9,P1_Y8_UO600,2,0
8,P3_Y6_UO787,1,0
7,P3_Y6_UO787,2,0
6,P5_Y4_UO388,3,0
5,P5_Y4_UO388,4,0
4,P3_Y2_UO708,5,0
3,P3_Y2_UO708,4,0
2,P5_Y0_UO1207,3,0
1,P5_Y0_UO1207,4,0
0,P5_Y-1_U25,5,0
0,P6_Y-1_U15,6,0
2,P6_Y0_UO723,4,0
1,P6_Y0_UO723,5,0
0,P6_Y-1_U55,6,0
0,P7_Y-1_U78,7,0
4,P6_Y2_UO366,4,0
3,P6_Y2_UO366,5,0
2,P8_Y0_UO1054,6,0
1,P8_Y0_UO1054,7,0
0,P8_Y-1_U58,8,0
0,P7_Y-1_U35,7,0
2,P7_Y0_UO1081,5,0
1,P7_Y0_UO1081,6,0
0,P7_Y-1_U67,7,0
0,P6_Y-1_U1,6,0
6,P4_Y4_UO121,2,0
5,P4_Y4_UO121,3,0
4,P4_Y2_UO139,4,0
3,P4_Y2_UO139,3,0
2,P6_Y0_UO907,4,0
1,P6_Y0_UO907,5,0
0,P6_Y-1_U7,6,0
0,P7_Y-1_U62,7,0
2,P3_Y0_UO1167,3,0
1,P3_Y0_UO1167,4,0
0,P3_Y-1_U54,3,0
0,P2_Y-1_U98,2,0
4,P3_Y2_UO160,3,0
3,P3_Y2_UO160,4,0
2,P3_Y0_UO920,3,0
1,P3_Y0_UO920,2,0
0,P3_Y-1_U31,3,0
0,P4_Y-1_U51,4,0
2,P4_Y0_UO534,4,0
1,P4_Y0_UO534,5,0
0,P4_Y-1_U32,4,0
0,P5_Y-1_U49,5,0
