Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,1142|560|298|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1142|560|298|,nan|nan|nan|,nan|nan|nan|,0|1142|858|,0|0|0|,4867|1142|858|,0|0|0|,1367|371|263|,0|0|0|,0|0|0|,1367|371|263|,0|0|0|,0|0|0|,1330|367|255|,18|17|99|,0|0|0|
1,0|1|2|,1312|350|156|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1312|350|156|,nan|nan|nan|,nan|nan|nan|,0|1312|506|,0|0|0|,3628|1312|506|,0|0|0|,1194|588|209|,0|0|0|,0|0|0|,1194|588|209|,0|0|0|,0|0|0|,1158|566|203|,17|32|84|,0|0|0|
2,0|1|2|,1141|534|119|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1141|534|119|,nan|nan|nan|,nan|nan|nan|,0|1141|653|,0|0|0|,4603|1141|653|,0|0|0|,1335|445|220|,0|0|0|,0|0|0|,1335|445|220|,0|0|0|,0|0|0|,1297|434|211|,32|19|83|,0|0|0|
3,0|1|2|,1265|415|128|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1265|415|128|,nan|nan|nan|,nan|nan|nan|,0|1265|543|,0|0|0|,4221|1265|543|,0|0|0|,1289|519|191|,0|0|0|,0|0|0|,1289|519|191|,0|0|0|,0|0|0|,1253|506|184|,34|23|71|,0|0|0|
4,0|1|2|,1219|483|113|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1219|483|113|,nan|nan|nan|,nan|nan|nan|,0|1219|596|,0|0|0|,5744|1219|596|,0|0|0|,1453|381|166|,0|0|0|,0|0|0|,1453|381|166|,0|0|0|,0|0|0|,1402|374|161|,36|20|59|,0|0|0|
5,0|1|2|,1366|354|102|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1366|354|102|,nan|nan|nan|,nan|nan|nan|,0|1366|456|,0|0|0|,3716|1366|456|,0|0|0|,1203|620|177|,0|0|0|,0|0|0|,1203|620|177|,0|0|0|,0|0|0|,1173|610|172|,19|32|67|,0|0|0|
6,0|1|2|,1154|578|105|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1154|578|105|,nan|nan|nan|,nan|nan|nan|,0|1154|683|,0|0|0|,5483|1154|683|,0|0|0|,1402|400|198|,0|0|0|,0|0|0|,1402|400|198|,0|0|0|,0|0|0|,1353|381|186|,31|25|70|,0|0|0|
7,0|1|2|,1322|356|116|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1322|356|116|,nan|nan|nan|,nan|nan|nan|,0|1322|472|,0|0|0|,3810|1322|472|,0|0|0|,1234|594|172|,0|0|0|,0|0|0|,1234|594|172|,0|0|0|,0|0|0|,1193|578|172|,33|27|70|,0|0|0|
8,0|1|2|,1160|551|102|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1160|551|102|,nan|nan|nan|,nan|nan|nan|,0|1160|653|,0|0|0|,6129|1160|653|,0|0|0|,1371|440|182|,0|0|0|,0|0|0|,1371|440|182|,0|0|0|,0|0|0|,1328|426|177|,25|17|81|,0|0|0|
9,0|1|2|,1303|409|96|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1303|409|96|,nan|nan|nan|,nan|nan|nan|,0|1303|505|,0|0|0|,3691|1303|505|,0|0|0|,1077|724|189|,0|0|0|,0|0|0|,1077|724|189|,0|0|0|,0|0|0|,1046|698|183|,24|36|80|,0|0|0|
10,0|1|2|,1022|662|103|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1022|662|103|,nan|nan|nan|,nan|nan|nan|,0|1022|765|,0|0|0|,6490|1022|765|,0|0|0|,1405|392|204|,0|0|0|,0|0|0|,1405|392|204|,0|0|0|,0|0|0|,1364|378|197|,27|29|86|,0|0|0|
11,0|1|2|,1337|349|111|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1337|349|111|,nan|nan|nan|,nan|nan|nan|,0|1337|460|,0|0|0|,2886|1337|460|,0|0|0|,996|770|211|,0|0|0|,0|0|0|,996|770|211|,0|0|0|,0|0|0|,979|754|206|,19|39|85|,0|0|0|
12,0|1|2|,960|715|121|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,960|715|121|,nan|nan|nan|,nan|nan|nan|,0|960|836|,0|0|0|,7184|960|836|,0|0|0|,1439|349|213|,0|0|0|,0|0|0|,1439|349|213|,0|0|0|,0|0|0|,1400|337|209|,34|18|74|,0|0|0|
13,0|1|2|,1366|319|135|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1366|319|135|,nan|nan|nan|,nan|nan|nan|,0|1366|454|,0|0|0|,3242|1366|454|,0|0|0|,1088|715|189|,0|0|0|,0|0|0|,1088|715|189|,0|0|0|,0|0|0|,1053|701|183|,23|23|80|,0|0|0|
14,0|1|2|,1030|678|103|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1030|678|103|,nan|nan|nan|,nan|nan|nan|,0|1030|781|,0|0|0|,6059|1030|781|,0|0|0|,1467|331|202|,0|0|0|,0|0|0|,1467|331|202|,0|0|0|,0|0|0|,1428|315|196|,22|17|92|,0|0|0|
15,0|1|2|,1406|298|104|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1406|298|104|,nan|nan|nan|,nan|nan|nan|,0|1406|402|,0|0|0|,2929|1406|402|,0|0|0|,952|844|185|,0|0|0|,0|0|0|,952|844|185|,0|0|0|,0|0|0|,924|816|180|,19|43|63|,0|0|0|
16,0|1|2|,905|773|117|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,905|773|117|,nan|nan|nan|,nan|nan|nan|,0|905|890|,0|0|0|,6968|905|890|,0|0|0|,1479|319|202|,0|0|0|,0|0|0|,1479|319|202|,0|0|0|,0|0|0|,1433|314|198|,41|13|90|,0|0|0|
