Year,ID,PatchID,Lineage
9,P2_Y8_UO0,3,0
8,P2_Y6_UO83,2,0
7,P2_Y6_UO83,1,0
6,P2_Y4_UO61,2,0
5,P2_Y4_UO61,3,0
4,P2_Y2_UO76,2,0
3,P2_Y2_UO76,3,0
2,P2_Y0_UO131,2,0
1,P2_Y0_UO131,1,0
0,P2_Y-1_U43,2,0
0,P1_Y-1_U5,1,0
2,P3_Y-1_U39,1,0
1,P3_Y-1_U39,2,0
0,P3_Y-1_U39,3,0
4,P3_Y2_UO163,1,0
3,P3_Y2_UO163,2,0
2,P1_Y0_UO121,3,0
1,P1_Y0_UO121,2,0
0,P1_Y-1_U45,1,0
0,P2_Y-1_U92,2,0
2,P2_Y0_UO164,2,0
1,P2_Y0_UO164,3,0
0,P2_Y-1_U15,2,0
0,P1_Y-1_U9,1,0
6,P3_Y4_UO173,1,0
5,P3_Y4_UO173,2,0
4,P1_Y2_UO109,3,0
3,P1_Y2_UO109,2,0
2,P1_Y0_UO120,1,0
1,P1_Y0_UO120,2,0
0,P1_Y-1_U45,1,0
0,P2_Y-1_U92,2,0
2,P2_Y0_UO75,2,0
1,P2_Y0_UO75,3,0
0,P2_Y-1_U57,2,0
0,P3_Y-1_U93,3,0
4,P2_Y0_UO141,2,0
3,P2_Y0_UO141,1,0
2,P2_Y0_UO141,2,0
1,P2_Y0_UO141,3,0
0,P2_Y-1_U43,2,0
0,P1_Y-1_U90,1,0
8,P1_Y6_UO149,3,0
7,P1_Y6_UO149,2,0
6,P3_Y4_UO168,1,0
5,P3_Y4_UO168,2,0
4,P1_Y2_UO109,3,0
3,P1_Y2_UO109,2,0
2,P1_Y0_UO120,1,0
1,P1_Y0_UO120,2,0
0,P1_Y-1_U45,1,0
0,P2_Y-1_U92,2,0
2,P2_Y0_UO75,2,0
1,P2_Y0_UO75,3,0
0,P2_Y-1_U57,2,0
0,P3_Y-1_U93,3,0
4,P2_Y0_UO141,2,0
3,P2_Y0_UO141,1,0
2,P2_Y0_UO141,2,0
1,P2_Y0_UO141,3,0
0,P2_Y-1_U43,2,0
0,P1_Y-1_U90,1,0
6,P3_Y3_UO138,2,0
5,P3_Y3_UO138,1,0
4,P3_Y3_UO138,2,0
3,P3_Y1_UO64,3,0
2,P3_Y1_UO64,2,0
1,P2_Y-1_U41,3,0
0,P2_Y-1_U41,2,0
1,P3_Y-1_U81,2,0
0,P3_Y-1_U81,3,0
3,P2_Y1_UO130,2,0
2,P2_Y1_UO130,3,0
1,P3_Y-1_U42,2,0
0,P3_Y-1_U42,3,0
1,P2_Y-1_U25,1,0
0,P2_Y-1_U25,2,0
9,P2_Y8_UO120,3,1
8,P2_Y6_UO78,2,1
7,P2_Y6_UO78,1,1
6,P2_Y4_UO149,2,1
5,P2_Y4_UO149,1,1
4,P2_Y2_UO121,2,1
3,P2_Y2_UO121,1,1
2,P2_Y0_UO131,2,1
1,P2_Y0_UO131,1,1
0,P2_Y-1_U43,2,1
0,P1_Y-1_U5,1,1
2,P1_Y0_UO50,1,1
1,P1_Y0_UO50,2,1
0,P1_Y-1_U46,1,1
0,P2_Y-1_U19,2,1
4,P3_Y2_UO24,3,1
3,P3_Y2_UO24,2,1
2,P1_Y0_UO101,3,1
1,P1_Y0_UO101,2,1
0,P1_Y-1_U82,1,1
0,P2_Y-1_U13,2,1
2,P2_Y0_UO66,2,1
1,P2_Y0_UO66,3,1
0,P2_Y-1_U8,2,1
0,P1_Y-1_U9,1,1
6,P2_Y3_UO98,3,1
5,P2_Y3_UO98,2,1
4,P2_Y3_UO98,3,1
3,P2_Y1_UO40,2,1
2,P2_Y1_UO40,1,1
1,P3_Y-1_U29,2,1
0,P3_Y-1_U29,3,1
1,P2_Y-1_U48,1,1
0,P2_Y-1_U48,2,1
3,P3_Y1_UO195,1,1
2,P3_Y1_UO195,2,1
1,P2_Y-1_U72,3,1
0,P2_Y-1_U72,2,1
1,P3_Y-1_U36,2,1
0,P3_Y-1_U36,3,1
8,P1_Y6_UO174,1,1
7,P1_Y6_UO174,2,1
6,P1_Y4_UO141,1,1
5,P1_Y4_UO141,2,1
4,P1_Y2_UO96,1,1
3,P1_Y2_UO96,2,1
2,P1_Y0_UO120,1,1
1,P1_Y0_UO120,2,1
0,P1_Y-1_U45,1,1
0,P2_Y-1_U92,2,1
2,P2_Y0_UO75,2,1
1,P2_Y0_UO75,3,1
0,P2_Y-1_U57,2,1
0,P3_Y-1_U93,3,1
4,P1_Y1_UO135,2,1
3,P1_Y1_UO135,1,1
2,P1_Y1_UO135,2,1
1,P2_Y-1_U9,1,1
0,P2_Y-1_U9,2,1
1,P1_Y-1_U81,2,1
0,P1_Y-1_U81,1,1
6,P2_Y4_UO8,2,1
5,P2_Y4_UO8,1,1
4,P2_Y2_UO119,2,1
3,P2_Y2_UO119,1,1
2,P2_Y0_UO131,2,1
1,P2_Y0_UO131,1,1
0,P2_Y-1_U43,2,1
0,P1_Y-1_U5,1,1
2,P1_Y0_UO50,1,1
1,P1_Y0_UO50,2,1
0,P1_Y-1_U46,1,1
0,P2_Y-1_U19,2,1
4,P1_Y2_UO95,1,1
3,P1_Y2_UO95,2,1
2,P1_Y0_UO120,1,1
1,P1_Y0_UO120,2,1
0,P1_Y-1_U45,1,1
0,P2_Y-1_U92,2,1
2,P2_Y0_UO75,2,1
1,P2_Y0_UO75,3,1
0,P2_Y-1_U57,2,1
0,P3_Y-1_U93,3,1
9,P2_Y8_UO121,3,2
8,P2_Y6_UO78,2,2
7,P2_Y6_UO78,1,2
6,P2_Y4_UO149,2,2
5,P2_Y4_UO149,1,2
4,P2_Y2_UO121,2,2
3,P2_Y2_UO121,1,2
2,P2_Y0_UO131,2,2
1,P2_Y0_UO131,1,2
0,P2_Y-1_U43,2,2
0,P1_Y-1_U5,1,2
2,P1_Y0_UO50,1,2
1,P1_Y0_UO50,2,2
0,P1_Y-1_U46,1,2
0,P2_Y-1_U19,2,2
4,P3_Y2_UO24,3,2
3,P3_Y2_UO24,2,2
2,P1_Y0_UO101,3,2
1,P1_Y0_UO101,2,2
0,P1_Y-1_U82,1,2
0,P2_Y-1_U13,2,2
2,P2_Y0_UO66,2,2
1,P2_Y0_UO66,3,2
0,P2_Y-1_U8,2,2
0,P1_Y-1_U9,1,2
6,P2_Y3_UO98,3,2
5,P2_Y3_UO98,2,2
4,P2_Y3_UO98,3,2
3,P2_Y1_UO40,2,2
2,P2_Y1_UO40,1,2
1,P3_Y-1_U29,2,2
0,P3_Y-1_U29,3,2
1,P2_Y-1_U48,1,2
0,P2_Y-1_U48,2,2
3,P3_Y1_UO195,1,2
2,P3_Y1_UO195,2,2
1,P2_Y-1_U72,3,2
0,P2_Y-1_U72,2,2
1,P3_Y-1_U36,2,2
0,P3_Y-1_U36,3,2
8,P1_Y6_UO174,1,2
7,P1_Y6_UO174,2,2
6,P1_Y4_UO141,1,2
5,P1_Y4_UO141,2,2
4,P1_Y2_UO96,1,2
3,P1_Y2_UO96,2,2
2,P1_Y0_UO120,1,2
1,P1_Y0_UO120,2,2
0,P1_Y-1_U45,1,2
0,P2_Y-1_U92,2,2
2,P2_Y0_UO75,2,2
1,P2_Y0_UO75,3,2
0,P2_Y-1_U57,2,2
0,P3_Y-1_U93,3,2
4,P1_Y1_UO135,2,2
3,P1_Y1_UO135,1,2
2,P1_Y1_UO135,2,2
1,P2_Y-1_U9,1,2
0,P2_Y-1_U9,2,2
1,P1_Y-1_U81,2,2
0,P1_Y-1_U81,1,2
6,P2_Y4_UO8,2,2
5,P2_Y4_UO8,1,2
4,P2_Y2_UO119,2,2
3,P2_Y2_UO119,1,2
2,P2_Y0_UO131,2,2
1,P2_Y0_UO131,1,2
0,P2_Y-1_U43,2,2
0,P1_Y-1_U5,1,2
2,P1_Y0_UO50,1,2
1,P1_Y0_UO50,2,2
0,P1_Y-1_U46,1,2
0,P2_Y-1_U19,2,2
4,P1_Y2_UO95,1,2
3,P1_Y2_UO95,2,2
2,P1_Y0_UO120,1,2
1,P1_Y0_UO120,2,2
0,P1_Y-1_U45,1,2
0,P2_Y-1_U92,2,2
2,P2_Y0_UO75,2,2
1,P2_Y0_UO75,3,2
0,P2_Y-1_U57,2,2
0,P3_Y-1_U93,3,2
9,P2_Y8_UO132,3,3
8,P2_Y6_UO83,2,3
7,P2_Y6_UO83,1,3
6,P2_Y4_UO61,2,3
5,P2_Y4_UO61,3,3
4,P2_Y2_UO76,2,3
3,P2_Y2_UO76,3,3
2,P2_Y0_UO131,2,3
1,P2_Y0_UO131,1,3
0,P2_Y-1_U43,2,3
0,P1_Y-1_U5,1,3
2,P3_Y-1_U39,1,3
1,P3_Y-1_U39,2,3
0,P3_Y-1_U39,3,3
4,P3_Y2_UO163,1,3
3,P3_Y2_UO163,2,3
2,P1_Y0_UO121,3,3
1,P1_Y0_UO121,2,3
0,P1_Y-1_U45,1,3
0,P2_Y-1_U92,2,3
2,P2_Y0_UO164,2,3
1,P2_Y0_UO164,3,3
0,P2_Y-1_U15,2,3
0,P1_Y-1_U9,1,3
6,P3_Y4_UO173,1,3
5,P3_Y4_UO173,2,3
4,P1_Y2_UO109,3,3
3,P1_Y2_UO109,2,3
2,P1_Y0_UO120,1,3
1,P1_Y0_UO120,2,3
0,P1_Y-1_U45,1,3
