Year,1,2,3
0,24.489795918367346,53.06122448979592,22.448979591836736
1,23.809523809523807,45.23809523809524,30.952380952380953
2,34.285714285714285,51.42857142857142,14.285714285714285
3,28.205128205128204,48.717948717948715,23.076923076923077
4,28.57142857142857,45.714285714285715,25.71428571428571
5,18.75,56.25,25.0
6,27.586206896551722,48.275862068965516,24.137931034482758
7,26.08695652173913,56.52173913043478,17.391304347826086
8,13.043478260869565,73.91304347826086,13.043478260869565
9,100.0,0.0,0.0
