Year,1,2,3
0,23.890339425587467,48.69451697127937,27.415143603133156
1,19.526627218934912,47.337278106508876,33.13609467455622
2,33.92405063291139,52.911392405063296,13.164556962025317
3,23.595505617977526,49.812734082397,26.591760299625467
4,27.27272727272727,48.32535885167464,24.401913875598087
5,20.149253731343283,48.507462686567166,31.343283582089555
6,26.126126126126124,49.549549549549546,24.324324324324326
7,20.28985507246377,50.72463768115942,28.985507246376812
8,37.5,37.5,25.0
9,0.0,100.0,0.0
