Year,PatchID,Count,TotalAncestors,Proportion,Percentage
0,1,131,436,0.30045871559633025,30.045871559633024
0,2,209,436,0.4793577981651376,47.935779816513765
0,3,96,436,0.22018348623853212,22.018348623853214
1,1,62,281,0.2206405693950178,22.064056939501782
1,2,136,281,0.48398576512455516,48.39857651245551
1,3,83,281,0.29537366548042704,29.537366548042705
2,1,76,227,0.33480176211453744,33.480176211453745
2,2,119,227,0.5242290748898678,52.42290748898678
2,3,32,227,0.14096916299559473,14.096916299559473
3,1,49,145,0.33793103448275863,33.793103448275865
3,2,75,145,0.5172413793103449,51.724137931034484
3,3,21,145,0.14482758620689656,14.482758620689657
4,1,47,122,0.38524590163934425,38.52459016393443
4,2,56,122,0.45901639344262296,45.90163934426229
4,3,19,122,0.1557377049180328,15.573770491803279
5,1,19,75,0.25333333333333335,25.333333333333336
5,2,38,75,0.5066666666666667,50.66666666666667
5,3,18,75,0.24,24.0
6,1,18,66,0.2727272727272727,27.27272727272727
6,2,33,66,0.5,50.0
6,3,15,66,0.22727272727272727,22.727272727272727
7,1,15,38,0.39473684210526316,39.473684210526315
7,2,19,38,0.5,50.0
7,3,4,38,0.10526315789473684,10.526315789473683
8,1,8,33,0.24242424242424243,24.242424242424242
8,2,19,33,0.5757575757575758,57.57575757575758
8,3,6,33,0.18181818181818182,18.181818181818183
9,1,19,19,1.0,100.0
9,2,0,19,0.0,0.0
9,3,0,19,0.0,0.0
