Year,PatchID,Count,TotalAncestors,Proportion,Percentage
0,1,8,34,0.23529411764705882,23.52941176470588
0,2,17,34,0.5,50.0
0,3,9,34,0.2647058823529412,26.47058823529412
1,1,4,26,0.15384615384615385,15.384615384615385
1,2,13,26,0.5,50.0
1,3,9,26,0.34615384615384615,34.61538461538461
2,1,6,21,0.2857142857142857,28.57142857142857
2,2,10,21,0.47619047619047616,47.61904761904761
2,3,5,21,0.23809523809523808,23.809523809523807
3,1,7,25,0.28,28.000000000000004
3,2,12,25,0.48,48.0
3,3,6,25,0.24,24.0
4,1,8,23,0.34782608695652173,34.78260869565217
4,2,12,23,0.5217391304347826,52.17391304347826
4,3,3,23,0.13043478260869565,13.043478260869565
5,1,7,21,0.3333333333333333,33.33333333333333
5,2,10,21,0.47619047619047616,47.61904761904761
5,3,4,21,0.19047619047619047,19.047619047619047
6,1,3,21,0.14285714285714285,14.285714285714285
6,2,11,21,0.5238095238095238,52.38095238095239
6,3,7,21,0.3333333333333333,33.33333333333333
7,1,5,16,0.3125,31.25
7,2,9,16,0.5625,56.25
7,3,2,16,0.125,12.5
8,1,3,16,0.1875,18.75
8,2,7,16,0.4375,43.75
8,3,6,16,0.375,37.5
9,1,0,51,0.0,0.0
9,2,51,51,1.0,100.0
9,3,0,51,0.0,0.0
