Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,300.0|100.0|100.0|100.0|,0.61,300|100|100|100|,0.0|0.0|0.0|,0.0|0.0|0.0|,154|49|54|51|,146|51|46|49|,0|0|0|0|,0|0|0|0|,65|23|21|21|,64|23|18|23|,0|0|0|0|,0|0|0|0|,129,171,65,531|165|159|207|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,831|265|259|307|,531|165|159|207|,0|0|0|0|,0|0|0|0|,301|100|101|100|,0|0|0|0|,301|100|101|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,100.0|0|100.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,201|46|100|55|,18|5|8|5|,183|41|92|50|,4|4|4|4|,0.4999444444444444|0.4991|0.499575|0.49877499999999997|,0.51|0.55|0.455|0.525|,0.5033333333333333,0.49666666666666665,0.49333333333333335,0.5066666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300|100|100|100|,41|92|50|,0|0|0|,0|0|0|,0|0|0|,41|92|50|,0|0|0|,11,5,5,14,11,19
1,300.0|100.0|100.0|100.0|,0.9836065573770492,183|41|92|50|,0.0|0.0|0.0|,0.0|0.0|0.0|,85|18|48|19|,98|23|44|31|,0|0|0|0|,0|0|0|0|,32|8|16|8|,28|8|10|10|,0|0|0|0|,0|0|0|0|,60,123,32,440|153|218|69|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,623|194|310|119|,323|94|210|19|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,100.0|0|100.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|53|100|47|,20|3|11|6|,180|50|89|41|,4|4|4|4|,0.4978425751739377|0.48453301606186794|0.4999704631379962|0.49319999999999997|,0.5218579234972678|0.4878048780487805|0.5380434782608695|0.52|,0.5,0.5,0.453551912568306,0.546448087431694,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183|41|92|50|,50|89|41|,0|0|0|,0|0|0|,0|0|0|,50|89|41|,0|0|0|,6,1,2,6,9,8
2,300.0|100.0|100.0|100.0|,1.0555555555555556,180|50|89|41|,0.0|0.0|0.0|,0.0|0.0|0.0|,88|32|39|17|,92|18|50|24|,0|0|0|0|,0|0|0|0|,22|4|9|9|,24|3|16|5|,0|0|0|0|,0|0|0|0|,46,134,22,287|42|87|158|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,467|92|176|199|,175|0|76|99|,0|0|0|0|,0|0|0|0|,292|92|100|100|,0|0|0|0|,292|92|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,92.0|0|92.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|41|100|59|,10|2|2|6|,190|39|98|53|,4|4|4|4|,0.4968441358024691|0.49829999999999997|0.496654462820351|0.4913741820345032|,0.5305555555555556|0.55|0.5168539325842697|0.5365853658536586|,0.4444444444444444,0.5555555555555556,0.49166666666666664,0.5083333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180|50|89|41|,39|98|53|,0|0|0|,0|0|0|,0|0|0|,39|98|53|,0|0|0|,4,0,3,2,9,4
3,300.0|100.0|100.0|100.0|,0.9578947368421052,190|39|98|53|,0.0|0.0|0.0|,0.0|0.0|0.0|,87|12|51|24|,103|27|47|29|,0|0|0|0|,0|0|0|0|,28|3|15|10|,44|19|15|10|,0|0|0|0|,0|0|0|0|,72,118,28,432|54|260|118|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,622|93|358|171|,329|0|258|71|,0|0|0|0|,0|0|0|0|,292|93|99|100|,0|0|0|0|,292|93|99|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,93.0|0|93.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,199|49|100|50|,17|2|12|3|,182|47|88|47|,4|4|4|4|,0.47229224376731305|0.4682774490466798|0.47498438150770506|0.4194553221787112|,0.49736842105263157|0.5512820512820513|0.5153061224489796|0.42452830188679247|,0.37105263157894736,0.6289473684210526,0.39473684210526316,0.6052631578947368,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190|39|98|53|,47|88|47|,0|0|0|,0|0|0|,0|0|0|,47|88|47|,0|0|0|,0,0,0,2,14,12
4,300.0|100.0|100.0|100.0|,1.054945054945055,182|47|88|47|,0.0|0.0|0.0|,0.0|0.0|0.0|,95|23|47|25|,87|24|41|22|,0|0|0|0|,0|0|0|0|,29|11|13|5|,26|9|14|3|,0|0|0|0|,0|0|0|0|,55,127,29,510|203|214|93|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,692|250|302|140|,392|150|202|40|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,100.0|0|100.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|43|100|57|,8|5|3|0|,192|38|97|57|,4|4|4|4|,0.47143309986716586|0.4764599366229063|0.45929106404958686|0.4796287913082843|,0.5027472527472527|0.48936170212765956|0.5056818181818182|0.5106382978723404|,0.3791208791208791,0.6208791208791209,0.38186813186813184,0.6181318681318682,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182|47|88|47|,38|97|57|,0|0|0|,0|0|0|,0|0|0|,38|97|57|,0|0|0|,1,1,6,3,13,5
5,300.0|100.0|100.0|100.0|,0.9791666666666666,192|38|97|57|,0.0|0.0|0.0|,0.0|0.0|0.0|,95|15|49|31|,97|23|48|26|,0|0|0|0|,0|0|0|0|,27|2|13|12|,22|2|15|5|,0|0|0|0|,0|0|0|0|,49,143,27,497|0|331|166|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,689|38|428|223|,451|0|328|123|,0|0|0|0|,0|0|0|0|,238|38|100|100|,0|0|0|0|,238|38|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,38.0|0|38.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|53|100|47|,12|2|6|4|,188|51|94|43|,4|4|4|4|,0.45208740234375|0.429016620498615|0.4552290360293336|0.4401354262850108|,0.4348958333333333|0.4473684210526316|0.4484536082474227|0.40350877192982454|,0.375,0.625,0.3203125,0.6796875,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192|38|97|57|,51|94|43|,0|0|0|,0|0|0|,0|0|0|,51|94|43|,0|0|0|,2,0,4,1,11,9
6,300.0|100.0|100.0|100.0|,1.0106382978723405,188|51|94|43|,0.0|0.0|0.0|,0.0|0.0|0.0|,101|28|52|21|,87|23|42|22|,0|0|0|0|,0|0|0|0|,36|6|25|5|,31|5|22|4|,0|0|0|0|,0|0|0|0|,67,121,36,713|129|503|81|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,901|180|597|124|,601|80|497|24|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,100.0|0|100.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|54|100|46|,10|4|4|2|,190|50|96|44|,4|4|4|4|,0.4166124377546401|0.4359861591695501|0.4002942507922137|0.41711736073553274|,0.4122340425531915|0.49019607843137253|0.32978723404255317|0.5|,0.31382978723404253,0.6861702127659575,0.27925531914893614,0.7207446808510638,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188|51|94|43|,50|96|44|,0|0|0|,0|0|0|,0|0|0|,50|96|44|,0|0|0|,5,3,5,4,16,3
7,300.0|100.0|100.0|100.0|,1.0105263157894737,190|50|96|44|,0.0|0.0|0.0|,0.0|0.0|0.0|,82|22|36|24|,108|28|60|20|,0|0|0|0|,0|0|0|0|,18|3|10|5|,21|1|18|2|,0|0|0|0|,0|0|0|0|,39,151,18,292|72|104|116|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,482|122|200|160|,182|22|100|60|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,100.0|0|100.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|40|100|60|,8|2|3|3|,192|38|97|57|,4|4|4|4|,0.4470775623268698|0.4727999999999999|0.40036349826388884|0.45803202479338834|,0.45789473684210524|0.48|0.4427083333333333|0.4659090909090909|,0.36578947368421055,0.6342105263157894,0.3131578947368421,0.6868421052631579,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190|50|96|44|,38|97|57|,0|0|0|,0|0|0|,0|0|0|,38|97|57|,0|0|0|,0,0,11,0,5,2
8,300.0|100.0|100.0|100.0|,0.953125,192|38|97|57|,0.0|0.0|0.0|,0.0|0.0|0.0|,102|18|53|31|,90|20|44|26|,0|0|0|0|,0|0|0|0|,32|8|12|12|,34|8|11|15|,0|0|0|0|,0|0|0|0|,66,126,32,516|161|167|188|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,708|199|264|245|,408|99|164|145|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,100.0|0|100.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|47|100|53|,17|5|8|4|,183|42|92|49|,4|4|4|4|,0.3896959092881944|0.2725069252077562|0.4219364438303752|0.3749615266235765|,0.3723958333333333|0.34210526315789475|0.4020618556701031|0.34210526315789475|,0.19791666666666666,0.8020833333333334,0.3619791666666667,0.6380208333333334,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192|38|97|57|,42|92|49|,0|0|0|,0|0|0|,0|0|0|,42|92|49|,0|0|0|,7,0,2,5,11,7
9,300.0|100.0|100.0|100.0|,1.010928961748634,183|42|92|49|,0.0|0.0|0.0|,0.0|0.0|0.0|,88|15|46|27|,95|27|46|22|,0|0|0|0|,0|0|0|0|,22|7|8|7|,24|10|8|6|,0|0|0|0|,0|0|0|0|,46,137,22,420|195|65|160|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,603|237|157|209|,303|137|57|109|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,100.0|0|100.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|41|100|59|,15|0|8|7|,185|41|92|52|,4|4|4|4|,0.42563229717220574|0.3602607709750566|0.4410148865784499|0.44075385256143274|,0.45901639344262296|0.40476190476190477|0.4945652173913043|0.4387755102040816|,0.3333333333333333,0.6666666666666666,0.28415300546448086,0.7158469945355191,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183|42|92|49|,41|92|52|,0|0|0|,0|0|0|,0|0|0|,41|92|52|,0|0|0|,3,0,11,0,8,0
