Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,169|89|42|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,169|89|42|,nan|nan|nan|,nan|nan|nan|,0|169|131|,0|0|0|,1030|169|131|,0|0|0|,225|46|29|,0|0|0|,0|0|0|,225|46|29|,0|0|0|,0|0|0|,154|25|21|,5|0|8|,0|0|0|
1,0|1|2|,149|25|13|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,149|25|13|,nan|nan|nan|,nan|nan|nan|,0|149|38|,0|0|0|,279|149|38|,0|0|0|,70|105|20|,0|0|0|,0|0|0|,70|105|20|,0|0|0|,0|0|0|,70|105|20|,1|9|5|,0|0|0|
2,0|1|2|,69|96|15|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,69|96|15|,nan|nan|nan|,nan|nan|nan|,0|69|111|,0|0|0|,899|69|111|,0|0|0|,228|46|26|,0|0|0|,0|0|0|,228|46|26|,0|0|0|,0|0|0|,158|23|19|,4|1|7|,0|0|0|
3,0|1|2|,154|22|12|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,154|22|12|,nan|nan|nan|,nan|nan|nan|,0|154|34|,0|0|0|,113|154|34|,0|0|0|,50|122|20|,0|0|0|,0|0|0|,50|122|20|,0|0|0|,0|0|0|,50|122|20|,1|7|9|,0|0|0|
4,0|1|2|,49|115|11|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,49|115|11|,nan|nan|nan|,nan|nan|nan|,0|49|126|,0|0|0|,1505|49|126|,0|0|0|,267|13|20|,0|0|0|,0|0|0|,267|13|20|,0|0|0|,0|0|0|,181|6|13|,6|0|3|,0|0|0|
5,0|1|2|,175|6|10|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,175|6|10|,nan|nan|nan|,nan|nan|nan|,0|175|16|,0|0|0|,0|175|16|,0|0|0|,0|175|16|,0|0|0|,0|0|0|,0|175|16|,0|0|0|,0|0|0|,0|175|16|,0|8|7|,0|0|0|
6,0|1|2|,0|167|9|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,0|167|9|,nan|nan|nan|,nan|nan|nan|,0|0|176|,0|0|0|,975|0|176|,0|0|0|,261|0|39|,0|0|0|,0|0|0|,261|0|39|,0|0|0|,0|0|0|,171|0|29|,0|0|7|,0|0|0|
7,0|1|2|,171|0|22|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,171|0|22|,nan|nan|nan|,nan|nan|nan|,0|171|22|,0|0|0|,0|171|22|,0|0|0|,0|171|22|,0|0|0|,0|0|0|,0|171|22|,0|0|0|,0|0|0|,0|171|22|,0|12|8|,0|0|0|
8,0|1|2|,0|159|14|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,0|159|14|,nan|nan|nan|,nan|nan|nan|,0|0|173|,0|0|0|,1977|0|173|,0|0|0|,271|0|29|,0|0|0|,0|0|0|,271|0|29|,0|0|0|,0|0|0|,182|0|18|,2|0|9|,0|0|0|
9,0|1|2|,180|0|9|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,180|0|9|,nan|nan|nan|,nan|nan|nan|,0|180|9|,0|0|0|,0|180|9|,0|0|0|,0|180|9|,0|0|0|,0|0|0|,0|180|9|,0|0|0|,0|0|0|,0|180|9|,0|6|3|,0|0|0|
10,0|1|2|,0|174|6|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,0|174|6|,nan|nan|nan|,nan|nan|nan|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|
