Year,ID,PatchID,Lineage
9,P2_Y8_UO5,3,0
8,P2_Y6_UO70,2,0
7,P2_Y6_UO70,2,0
6,P1_Y4_UO23,2,0
5,P1_Y4_UO23,2,0
4,P1_Y2_UO135,1,0
3,P1_Y2_UO135,1,0
2,P1_Y0_UO51,1,0
1,P1_Y0_UO51,1,0
0,P1_Y-1_U46,1,0
0,P2_Y-1_U19,2,0
2,P1_Y-1_U29,2,0
1,P1_Y-1_U29,2,0
0,P1_Y-1_U29,1,0
4,P1_Y1_UO120,2,0
3,P1_Y1_UO120,1,0
2,P1_Y1_UO120,1,0
1,P1_Y-1_U25,1,0
0,P1_Y-1_U25,1,0
1,P1_Y-1_U29,2,0
0,P1_Y-1_U29,1,0
6,P1_Y4_UO31,1,0
5,P1_Y4_UO31,1,0
4,P1_Y2_UO135,1,0
3,P1_Y2_UO135,1,0
2,P1_Y0_UO51,1,0
1,P1_Y0_UO51,1,0
0,P1_Y-1_U46,1,0
0,P2_Y-1_U19,2,0
2,P1_Y-1_U29,2,0
1,P1_Y-1_U29,2,0
0,P1_Y-1_U29,1,0
4,P1_Y1_UO120,2,0
3,P1_Y1_UO120,1,0
2,P1_Y1_UO120,1,0
1,P1_Y-1_U25,1,0
0,P1_Y-1_U25,1,0
1,P1_Y-1_U29,2,0
0,P1_Y-1_U29,1,0
8,P3_Y6_UO3,3,0
7,P3_Y6_UO3,3,0
6,P3_Y4_UO52,3,0
5,P3_Y4_UO52,3,0
4,P3_Y2_UO82,3,0
3,P3_Y2_UO82,3,0
2,P3_Y0_UO2,3,0
1,P3_Y0_UO2,3,0
0,P3_Y-1_U24,3,0
0,P2_Y-1_U2,2,0
2,P2_Y0_UO108,2,0
1,P2_Y0_UO108,2,0
0,P2_Y-1_U15,2,0
0,P3_Y-1_U17,3,0
4,P3_Y2_UO113,2,0
3,P3_Y2_UO113,3,0
2,P3_Y0_UO2,3,0
1,P3_Y0_UO2,3,0
0,P3_Y-1_U24,3,0
0,P2_Y-1_U2,2,0
2,P2_Y0_UO23,2,0
1,P2_Y0_UO23,2,0
0,P2_Y-1_U60,2,0
0,P1_Y-1_U86,1,0
6,P1_Y4_UO25,2,0
5,P1_Y4_UO25,1,0
4,P1_Y2_UO135,1,0
3,P1_Y2_UO135,1,0
2,P1_Y0_UO51,1,0
1,P1_Y0_UO51,1,0
0,P1_Y-1_U46,1,0
0,P2_Y-1_U19,2,0
2,P1_Y-1_U29,2,0
1,P1_Y-1_U29,2,0
0,P1_Y-1_U29,1,0
4,P1_Y1_UO120,2,0
3,P1_Y1_UO120,1,0
2,P1_Y1_UO120,1,0
1,P1_Y-1_U25,1,0
0,P1_Y-1_U25,1,0
1,P1_Y-1_U29,2,0
0,P1_Y-1_U29,1,0
9,P3_Y8_UO19,3,1
8,P3_Y6_UO155,3,1
7,P3_Y6_UO155,3,1
6,P3_Y4_UO54,3,1
5,P3_Y4_UO54,3,1
4,P3_Y2_UO82,3,1
3,P3_Y2_UO82,3,1
2,P3_Y0_UO2,3,1
1,P3_Y0_UO2,3,1
0,P3_Y-1_U24,3,1
0,P2_Y-1_U2,2,1
2,P2_Y0_UO108,2,1
1,P2_Y0_UO108,2,1
0,P2_Y-1_U15,2,1
0,P3_Y-1_U17,3,1
4,P3_Y2_UO113,2,1
3,P3_Y2_UO113,3,1
2,P3_Y0_UO2,3,1
1,P3_Y0_UO2,3,1
0,P3_Y-1_U24,3,1
0,P2_Y-1_U2,2,1
2,P2_Y0_UO23,2,1
1,P2_Y0_UO23,2,1
0,P2_Y-1_U60,2,1
0,P1_Y-1_U86,1,1
6,P1_Y4_UO20,2,1
5,P1_Y4_UO20,1,1
4,P1_Y2_UO135,1,1
3,P1_Y2_UO135,1,1
2,P1_Y0_UO51,1,1
1,P1_Y0_UO51,1,1
0,P1_Y-1_U46,1,1
0,P2_Y-1_U19,2,1
2,P1_Y-1_U29,2,1
1,P1_Y-1_U29,2,1
0,P1_Y-1_U29,1,1
4,P1_Y1_UO120,2,1
3,P1_Y1_UO120,1,1
2,P1_Y1_UO120,1,1
1,P1_Y-1_U25,1,1
0,P1_Y-1_U25,1,1
1,P1_Y-1_U29,2,1
0,P1_Y-1_U29,1,1
8,P1_Y5_UO51,2,1
7,P1_Y5_UO51,2,1
6,P1_Y5_UO51,1,1
5,P2_Y3_UO129,1,1
4,P2_Y3_UO129,2,1
3,P2_Y1_UO59,2,1
2,P2_Y1_UO59,2,1
1,P2_Y-1_U38,2,1
0,P2_Y-1_U38,2,1
1,P3_Y-1_U46,3,1
0,P3_Y-1_U46,3,1
3,P1_Y-1_U81,1,1
2,P1_Y-1_U81,1,1
1,P1_Y-1_U81,1,1
0,P1_Y-1_U81,1,1
5,P1_Y3_UO115,2,1
4,P1_Y3_UO115,1,1
3,P1_Y1_UO43,1,1
2,P1_Y1_UO43,1,1
1,P1_Y-1_U36,1,1
0,P1_Y-1_U36,1,1
1,P2_Y-1_U61,2,1
0,P2_Y-1_U61,2,1
3,P2_Y1_UO129,2,1
2,P2_Y1_UO129,2,1
1,P2_Y-1_U39,2,1
0,P2_Y-1_U39,2,1
1,P3_Y-1_U39,3,1
0,P3_Y-1_U39,3,1
9,P3_Y8_UO22,3,2
8,P3_Y6_UO155,3,2
7,P3_Y6_UO155,3,2
6,P3_Y4_UO54,3,2
5,P3_Y4_UO54,3,2
4,P3_Y2_UO82,3,2
3,P3_Y2_UO82,3,2
2,P3_Y0_UO2,3,2
1,P3_Y0_UO2,3,2
0,P3_Y-1_U24,3,2
0,P2_Y-1_U2,2,2
2,P2_Y0_UO108,2,2
1,P2_Y0_UO108,2,2
0,P2_Y-1_U15,2,2
0,P3_Y-1_U17,3,2
4,P3_Y2_UO113,2,2
3,P3_Y2_UO113,3,2
2,P3_Y0_UO2,3,2
1,P3_Y0_UO2,3,2
0,P3_Y-1_U24,3,2
0,P2_Y-1_U2,2,2
2,P2_Y0_UO23,2,2
1,P2_Y0_UO23,2,2
0,P2_Y-1_U60,2,2
0,P1_Y-1_U86,1,2
6,P1_Y4_UO20,2,2
5,P1_Y4_UO20,1,2
4,P1_Y2_UO135,1,2
3,P1_Y2_UO135,1,2
2,P1_Y0_UO51,1,2
1,P1_Y0_UO51,1,2
0,P1_Y-1_U46,1,2
0,P2_Y-1_U19,2,2
2,P1_Y-1_U29,2,2
1,P1_Y-1_U29,2,2
0,P1_Y-1_U29,1,2
4,P1_Y1_UO120,2,2
3,P1_Y1_UO120,1,2
2,P1_Y1_UO120,1,2
1,P1_Y-1_U25,1,2
0,P1_Y-1_U25,1,2
1,P1_Y-1_U29,2,2
0,P1_Y-1_U29,1,2
8,P1_Y5_UO51,2,2
7,P1_Y5_UO51,2,2
6,P1_Y5_UO51,1,2
5,P2_Y3_UO129,1,2
4,P2_Y3_UO129,2,2
3,P2_Y1_UO59,2,2
2,P2_Y1_UO59,2,2
1,P2_Y-1_U38,2,2
0,P2_Y-1_U38,2,2
1,P3_Y-1_U46,3,2
0,P3_Y-1_U46,3,2
3,P1_Y-1_U81,1,2
2,P1_Y-1_U81,1,2
1,P1_Y-1_U81,1,2
0,P1_Y-1_U81,1,2
5,P1_Y3_UO115,2,2
4,P1_Y3_UO115,1,2
3,P1_Y1_UO43,1,2
2,P1_Y1_UO43,1,2
1,P1_Y-1_U36,1,2
0,P1_Y-1_U36,1,2
1,P2_Y-1_U61,2,2
0,P2_Y-1_U61,2,2
3,P2_Y1_UO129,2,2
2,P2_Y1_UO129,2,2
1,P2_Y-1_U39,2,2
0,P2_Y-1_U39,2,2
1,P3_Y-1_U39,3,2
0,P3_Y-1_U39,3,2
9,P3_Y7_UO53,3,3
8,P3_Y7_UO53,3,3
7,P3_Y5_UO171,3,3
6,P3_Y5_UO171,3,3
5,P3_Y3_UO17,3,3
4,P3_Y3_UO17,3,3
3,P3_Y1_UO167,3,3
2,P3_Y1_UO167,3,3
1,P3_Y-1_U45,3,3
0,P3_Y-1_U45,3,3
1,P2_Y-1_U4,2,3
