Year,1,2,3
0,27.659574468085108,48.93617021276596,23.404255319148938
1,29.268292682926827,48.78048780487805,21.951219512195124
2,34.78260869565217,47.82608695652174,17.391304347826086
3,29.545454545454547,47.72727272727273,22.727272727272727
4,31.428571428571427,48.57142857142857,20.0
5,31.428571428571427,45.714285714285715,22.857142857142858
6,34.61538461538461,46.15384615384615,19.230769230769234
7,29.166666666666668,45.83333333333333,25.0
8,20.0,73.33333333333333,6.666666666666667
9,0.0,100.0,0.0
