Year,1,2,3
0,18.526785714285715,51.5625,29.910714285714285
1,21.806853582554517,46.26168224299065,31.931464174454828
2,22.317596566523605,48.712446351931334,28.96995708154507
3,26.409495548961427,31.15727002967359,42.433234421364986
4,24.409448818897637,47.24409448818898,28.346456692913385
5,32.544378698224854,36.68639053254438,30.76923076923077
6,37.79527559055118,44.09448818897638,18.11023622047244
7,50.0,47.674418604651166,2.3255813953488373
8,67.6923076923077,29.230769230769234,3.076923076923077
9,100.0,0.0,0.0
