Year,PatchID,Count,TotalAncestors,Proportion,Percentage
0,1,39,130,0.3,30.0
0,2,59,130,0.45384615384615384,45.38461538461539
0,3,32,130,0.24615384615384617,24.615384615384617
1,1,24,107,0.22429906542056074,22.429906542056074
1,2,55,107,0.514018691588785,51.4018691588785
1,3,28,107,0.2616822429906542,26.168224299065418
2,1,22,71,0.30985915492957744,30.985915492957744
2,2,32,71,0.4507042253521127,45.07042253521127
2,3,17,71,0.23943661971830985,23.943661971830984
3,1,21,57,0.3684210526315789,36.84210526315789
3,2,19,57,0.3333333333333333,33.33333333333333
3,3,17,57,0.2982456140350877,29.82456140350877
4,1,11,38,0.2894736842105263,28.947368421052634
4,2,19,38,0.5,50.0
4,3,8,38,0.21052631578947367,21.052631578947366
5,1,10,30,0.3333333333333333,33.33333333333333
5,2,12,30,0.4,40.0
5,3,8,30,0.26666666666666666,26.666666666666668
6,1,3,19,0.15789473684210525,15.789473684210526
6,2,8,19,0.42105263157894735,42.10526315789473
6,3,8,19,0.42105263157894735,42.10526315789473
7,1,0,15,0.0,0.0
7,2,7,15,0.4666666666666667,46.666666666666664
7,3,8,15,0.5333333333333333,53.333333333333336
8,1,0,11,0.0,0.0
8,2,3,11,0.2727272727272727,27.27272727272727
8,3,8,11,0.7272727272727273,72.72727272727273
9,1,0,8,0.0,0.0
9,2,0,8,0.0,0.0
9,3,8,8,1.0,100.0
