Year,PatchID,Count,TotalAncestors,Proportion,Percentage
0,1,13,50,0.26,26.0
0,2,26,50,0.52,52.0
0,3,11,50,0.22,22.0
1,1,12,43,0.27906976744186046,27.906976744186046
1,2,21,43,0.4883720930232558,48.837209302325576
1,3,10,43,0.23255813953488372,23.25581395348837
2,1,19,49,0.3877551020408163,38.775510204081634
2,2,21,49,0.42857142857142855,42.857142857142854
2,3,9,49,0.1836734693877551,18.367346938775512
3,1,17,48,0.3541666666666667,35.41666666666667
3,2,20,48,0.4166666666666667,41.66666666666667
3,3,11,48,0.22916666666666666,22.916666666666664
4,1,16,45,0.35555555555555557,35.55555555555556
4,2,20,45,0.4444444444444444,44.44444444444444
4,3,9,45,0.2,20.0
5,1,19,49,0.3877551020408163,38.775510204081634
5,2,21,49,0.42857142857142855,42.857142857142854
5,3,9,49,0.1836734693877551,18.367346938775512
6,1,16,38,0.42105263157894735,42.10526315789473
6,2,20,38,0.5263157894736842,52.63157894736842
6,3,2,38,0.05263157894736842,5.263157894736842
7,1,14,34,0.4117647058823529,41.17647058823529
7,2,16,34,0.47058823529411764,47.05882352941176
7,3,4,34,0.11764705882352941,11.76470588235294
8,1,37,40,0.925,92.5
8,2,2,40,0.05,5.0
8,3,1,40,0.025,2.5
9,1,39,39,1.0,100.0
9,2,0,39,0.0,0.0
9,3,0,39,0.0,0.0
