Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,171|82|47|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,171|82|47|,nan|nan|nan|,nan|nan|nan|,0|171|129|,0|0|0|,531|171|129|,0|0|0|,190|63|48|,0|0|0|,0|0|0|,190|63|48|,0|0|0|,0|0|0|,184|60|48|,2|2|13|,0|0|0|
1,0|1|2|,182|58|35|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,182|58|35|,nan|nan|nan|,nan|nan|nan|,0|182|93|,0|0|0|,508|182|93|,0|0|0|,181|72|47|,0|0|0|,0|0|0|,181|72|47|,0|0|0|,0|0|0|,177|69|46|,1|6|17|,0|0|0|
2,0|1|2|,176|63|29|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,176|63|29|,nan|nan|nan|,nan|nan|nan|,0|176|92|,0|0|0|,567|176|92|,0|0|0|,168|94|38|,0|0|0|,0|0|0|,168|94|38|,0|0|0|,0|0|0|,165|90|37|,3|6|11|,0|0|0|
3,0|1|2|,162|84|26|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,162|84|26|,nan|nan|nan|,nan|nan|nan|,0|162|110|,0|0|0|,841|162|110|,0|0|0|,222|46|32|,0|0|0|,0|0|0|,222|46|32|,0|0|0|,0|0|0|,207|46|31|,4|3|15|,0|0|0|
4,0|1|2|,203|43|16|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,203|43|16|,nan|nan|nan|,nan|nan|nan|,0|203|59|,0|0|0|,269|203|59|,0|0|0|,141|124|35|,0|0|0|,0|0|0|,141|124|35|,0|0|0|,0|0|0|,140|112|32|,4|6|11|,0|0|0|
5,0|1|2|,136|106|21|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,136|106|21|,nan|nan|nan|,nan|nan|nan|,0|136|127|,0|0|0|,975|136|127|,0|0|0|,217|50|33|,0|0|0|,0|0|0|,217|50|33|,0|0|0|,0|0|0|,210|49|33|,6|0|17|,0|0|0|
6,0|1|2|,204|49|16|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,204|49|16|,nan|nan|nan|,nan|nan|nan|,0|204|65|,0|0|0|,406|204|65|,0|0|0|,178|94|28|,0|0|0|,0|0|0|,178|94|28|,0|0|0|,0|0|0|,169|90|26|,4|8|10|,0|0|0|
7,0|1|2|,165|82|16|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,165|82|16|,nan|nan|nan|,nan|nan|nan|,0|165|98|,0|0|0|,784|165|98|,0|0|0|,222|48|30|,0|0|0|,0|0|0|,222|48|30|,0|0|0|,0|0|0|,219|47|30|,2|1|13|,0|0|0|
8,0|1|2|,217|46|17|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,217|46|17|,nan|nan|nan|,nan|nan|nan|,0|217|63|,0|0|0|,372|217|63|,0|0|0|,155|114|31|,0|0|0|,0|0|0|,155|114|31|,0|0|0|,0|0|0|,152|114|30|,3|3|6|,0|0|0|
9,0|1|2|,149|111|24|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,149|111|24|,nan|nan|nan|,nan|nan|nan|,0|149|135|,0|0|0|,1033|149|135|,0|0|0|,225|36|39|,0|0|0|,0|0|0|,225|36|39|,0|0|0|,0|0|0|,217|35|37|,7|2|10|,0|0|0|
10,0|1|2|,210|33|27|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,210|33|27|,nan|nan|nan|,nan|nan|nan|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|
