Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,300.0|100.0|100.0|100.0|,0.8533333333333334,300|100|100|100|,0.0|0.0|0.0|,0.0|0.0|0.0|,146|52|51|43|,154|48|49|57|,0|0|0|0|,0|0|0|0|,55|14|21|20|,68|26|20|22|,0|0|0|0|,0|0|0|0|,123,177,55,658|79|198|381|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,958|179|298|481|,658|79|198|381|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,18.0|0|18.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,282|95|100|87|,26|15|8|3|,256|80|92|84|,4|4|4|4|,0.49959722222222225|0.49787499999999996|0.499575|0.49887499999999996|,0.47833333333333333|0.465|0.465|0.505|,0.5133333333333333,0.4866666666666667,0.515,0.485,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300|100|100|100|,80|92|84|,0|0|0|,0|0|0|,0|0|0|,2|23|6|,0|0|0|,6,6,1,15,8,19
1,300.0|100.0|100.0|100.0|,1.078125,256|80|92|84|,0.0|0.0|0.0|,0.0|0.0|0.0|,133|44|47|42|,123|36|45|42|,0|0|0|0|,0|0|0|0|,48|23|16|9|,37|17|11|9|,0|0|0|0|,0|0|0|0|,85,171,48,686|344|258|84|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,942|424|350|168|,642|324|250|68|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,7.0|0|7.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,293|95|100|98|,17|8|6|3|,276|87|94|95|,4|4|4|4|,0.4969749450683594|0.4771484374999999|0.4834002835538752|0.4917800453514739|,0.501953125|0.46875|0.44565217391304346|0.5952380952380952|,0.5546875,0.4453125,0.494140625,0.505859375,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256|80|92|84|,87|94|95|,0|0|0|,0|0|0|,0|0|0|,5|15|6|,0|0|0|,4,5,1,14,8,16
2,300.0|100.0|100.0|100.0|,0.9855072463768116,276|87|94|95|,0.0|0.0|0.0|,0.0|0.0|0.0|,137|42|55|40|,139|45|39|55|,0|0|0|0|,0|0|0|0|,33|4|11|18|,44|8|10|26|,0|0|0|0|,0|0|0|0|,77,199,33,440|33|216|191|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,716|120|310|286|,416|20|210|186|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,6.0|0|6.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,294|94|100|100|,22|7|5|10|,272|87|95|90|,4|4|4|4|,0.499337061541693|0.49755581979125374|0.4955579447713898|0.4985318559556786|,0.5036231884057971|0.4827586206896552|0.5053191489361702|0.5210526315789473|,0.5163043478260869,0.483695652173913,0.48007246376811596,0.519927536231884,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276|87|94|95|,87|95|90|,0|0|0|,0|0|0|,0|0|0|,3|15|7|,0|0|0|,5,1,0,17,5,5
3,300.0|100.0|100.0|100.0|,1.025735294117647,272|87|95|90|,0.0|0.0|0.0|,0.0|0.0|0.0|,141|45|46|50|,131|42|49|40|,0|0|0|0|,0|0|0|0|,62|31|16|15|,59|30|16|13|,0|0|0|0|,0|0|0|0|,121,151,62,1136|577|303|256|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1408|664|398|346|,1108|564|298|246|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,8.0|0|7.0|1.0|,0|0|0|0|,0|0|0|0|,0|0|0|,292|92|100|100|,13|3|4|6|,279|89|96|94|,4|4|4|4|,0.4924139003027681|0.4946492271105827|0.481163434903047|0.496141975308642|,0.5091911764705882|0.5517241379310345|0.47368421052631576|0.5055555555555555|,0.5606617647058824,0.43933823529411764,0.4375,0.5625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272|87|95|90|,89|96|94|,0|0|0|,0|0|0|,0|0|0|,5|13|6|,0|0|0|,12,7,5,12,17,9
4,300.0|100.0|100.0|100.0|,0.989247311827957,279|89|96|94|,0.0|0.0|0.0|,0.0|0.0|0.0|,150|42|48|60|,129|47|48|34|,0|0|0|0|,0|0|0|0|,27|5|9|13|,22|2|12|8|,0|0|0|0|,0|0|0|0|,49,230,27,384|46|136|202|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,663|135|232|296|,363|35|132|196|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,5.0|0|5.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,295|95|100|100|,19|6|5|8|,276|89|95|92|,4|4|4|4|,0.4999710949242687|0.4884799899002652|0.4752061631944444|0.49592575826165686|,0.5|0.4550561797752809|0.5416666666666666|0.5|,0.4946236559139785,0.5053763440860215,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279|89|96|94|,89|95|92|,0|0|0|,0|0|0|,0|0|0|,3|14|7|,0|0|0|,1,1,0,9,7,9
5,300.0|100.0|100.0|100.0|,0.9855072463768116,276|89|95|92|,0.0|0.0|0.0|,0.0|0.0|0.0|,133|39|45|49|,143|50|50|43|,0|0|0|0|,0|0|0|0|,63|22|21|20|,63|33|18|12|,0|0|0|0|,0|0|0|0|,126,150,63,622|257|143|222|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,898|346|238|314|,598|246|138|214|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,10.0|0|10.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,290|93|100|97|,18|9|8|1|,272|84|92|96|,4|4|4|4|,0.49419436567947905|0.4953919959601061|0.4924653739612188|0.49075496219281667|,0.44021739130434784|0.43820224719101125|0.4421052631578947|0.44021739130434784|,0.5235507246376812,0.47644927536231885,0.427536231884058,0.572463768115942,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276|89|95|92|,84|92|96|,0|0|0|,0|0|0|,0|0|0|,4|17|3|,0|0|0|,7,4,5,15,18,14
6,300.0|100.0|100.0|100.0|,1.025735294117647,272|84|92|96|,0.0|0.0|0.0|,0.0|0.0|0.0|,126|40|38|48|,146|44|54|48|,0|0|0|0|,0|0|0|0|,36|9|13|14|,33|5|17|11|,0|0|0|0|,0|0|0|0|,69,203,36,534|116|181|237|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,806|200|273|333|,506|100|173|233|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,2.0|0|2.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,298|100|100|98|,19|4|11|4|,279|96|89|94|,4|4|4|4|,0.4965499297145328|0.4846584467120182|0.4998523156899811|0.49465603298611105|,0.4797794117647059|0.47023809523809523|0.4945652173913043|0.4739583333333333|,0.4797794117647059,0.5202205882352942,0.44485294117647056,0.5551470588235294,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272|84|92|96|,96|89|94|,0|0|0|,0|0|0|,0|0|0|,5|13|5|,0|0|0|,8,4,1,8,6,9
7,300.0|100.0|100.0|100.0|,0.982078853046595,279|96|89|94|,0.0|0.0|0.0|,0.0|0.0|0.0|,141|51|44|46|,138|45|45|48|,0|0|0|0|,0|0|0|0|,44|20|12|12|,44|22|12|10|,0|0|0|0|,0|0|0|0|,88,191,44,549|278|93|178|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,828|374|182|272|,528|274|82|172|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,5.0|0|5.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,295|99|100|96|,21|4|7|10|,274|95|93|86|,4|4|4|4|,0.48423388702611736|0.4810926649305556|0.4988322181542735|0.45334427342689|,0.5286738351254481|0.5989583333333334|0.5337078651685393|0.4521276595744681|,0.4946236559139785,0.5053763440860215,0.37455197132616486,0.6254480286738351,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279|96|89|94|,95|93|86|,0|0|0|,0|0|0|,0|0|0|,6|16|6|,0|0|0|,7,3,4,14,12,4
8,300.0|100.0|100.0|100.0|,1.0,274|95|93|86|,0.0|0.0|0.0|,0.0|0.0|0.0|,145|53|51|41|,129|42|42|45|,0|0|0|0|,0|0|0|0|,48|13|23|12|,36|7|17|12|,0|0|0|0|,0|0|0|0|,84,190,48,686|288|297|101|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,960|383|390|187|,660|283|290|87|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,9.0|0|7.0|2.0|,0|0|0|0|,0|0|0|0|,0|0|0|,291|91|100|100|,17|6|6|5|,274|85|94|95|,4|4|4|4|,0.49100578080878043|0.48722991689750694|0.4835530119088911|0.4937466197944834|,0.5091240875912408|0.5947368421052631|0.5|0.42441860465116277|,0.45255474452554745,0.5474452554744526,0.41788321167883213,0.5821167883211679,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274|95|93|86|,85|94|95|,0|0|0|,0|0|0|,0|0|0|,5|19|8|,0|0|0|,4,1,7,5,19,12
9,300.0|100.0|100.0|100.0|,1.0,274|85|94|95|,0.0|0.0|0.0|,0.0|0.0|0.0|,139|42|54|43|,135|43|40|52|,0|0|0|0|,0|0|0|0|,37|9|14|14|,39|9|10|20|,0|0|0|0|,0|0|0|0|,76,198,37,630|110|218|302|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,904|195|312|397|,604|95|212|297|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,6.0|0|6.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,294|98|100|96|,20|7|7|6|,274|91|93|90|,4|4|4|4|,0.48295061004848416|0.4716262975778547|0.4476573110004527|0.4819944598337951|,0.46715328467153283|0.5176470588235295|0.43617021276595747|0.45263157894736844|,0.4416058394160584,0.5583941605839416,0.38321167883211676,0.6167883211678832,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274|85|94|95|,91|93|90|,0|0|0|,0|0|0|,0|0|0|,7|16|3|,0|0|0|,4,2,2,7,14,8
