Year,ID,PatchID,Lineage
9,P1_Y8_UO98,2,0
8,P2_Y6_UO68,1,0
7,P2_Y6_UO68,3,0
6,P1_Y4_UO9,2,0
5,P1_Y4_UO9,3,0
4,P2_Y2_UO121,1,0
3,P2_Y2_UO121,3,0
2,P3_Y0_UO152,2,0
1,P3_Y0_UO152,1,0
0,P3_Y-1_U86,3,0
0,P1_Y-1_U15,1,0
2,P3_Y0_UO16,3,0
1,P3_Y0_UO16,2,0
0,P3_Y-1_U95,3,0
0,P1_Y-1_U65,1,0
4,P3_Y2_UO174,3,0
3,P3_Y2_UO174,1,0
2,P2_Y0_UO102,3,0
1,P2_Y0_UO102,1,0
0,P2_Y-1_U15,2,0
0,P3_Y-1_U17,3,0
2,P1_Y0_UO45,2,0
1,P1_Y0_UO45,3,0
0,P1_Y-1_U46,1,0
0,P2_Y-1_U19,2,0
6,P2_Y4_UO201,3,0
5,P2_Y4_UO201,1,0
4,P2_Y2_UO124,2,0
3,P2_Y2_UO124,1,0
2,P3_Y0_UO152,2,0
1,P3_Y0_UO152,1,0
0,P3_Y-1_U86,3,0
0,P1_Y-1_U15,1,0
2,P3_Y0_UO16,3,0
1,P3_Y0_UO16,2,0
0,P3_Y-1_U95,3,0
0,P1_Y-1_U65,1,0
4,P2_Y2_UO82,1,0
3,P2_Y2_UO82,3,0
2,P1_Y0_UO134,2,0
1,P1_Y0_UO134,3,0
0,P1_Y-1_U35,1,0
0,P2_Y-1_U88,2,0
2,P3_Y0_UO27,3,0
1,P3_Y0_UO27,1,0
0,P3_Y-1_U73,3,0
0,P2_Y-1_U1,2,0
8,P2_Y6_UO110,3,0
7,P2_Y6_UO110,1,0
6,P1_Y4_UO24,2,0
5,P1_Y4_UO24,3,0
4,P1_Y2_UO93,1,0
3,P1_Y2_UO93,2,0
2,P2_Y0_UO197,1,0
1,P2_Y0_UO197,3,0
0,P2_Y-1_U23,2,0
0,P1_Y-1_U97,1,0
2,P3_Y0_UO34,3,0
1,P3_Y0_UO34,2,0
0,P3_Y-1_U68,3,0
0,P2_Y-1_U22,2,0
4,P3_Y2_UO14,2,0
3,P3_Y2_UO14,1,0
2,P3_Y0_UO30,3,0
1,P3_Y0_UO30,1,0
0,P3_Y-1_U68,3,0
0,P2_Y-1_U22,2,0
2,P1_Y0_UO76,1,0
1,P1_Y0_UO76,3,0
0,P1_Y-1_U38,1,0
0,P2_Y-1_U32,2,0
6,P1_Y3_UO35,3,0
5,P1_Y3_UO35,1,0
4,P1_Y3_UO35,2,0
3,P1_Y1_UO18,1,0
2,P1_Y1_UO18,2,0
1,P2_Y-1_U69,1,0
0,P2_Y-1_U69,2,0
1,P3_Y-1_U93,2,0
0,P3_Y-1_U93,3,0
3,P2_Y1_UO158,2,0
2,P2_Y1_UO158,3,0
1,P3_Y-1_U34,2,0
0,P3_Y-1_U34,3,0
1,P1_Y-1_U26,3,0
0,P1_Y-1_U26,1,0
9,P1_Y8_UO108,2,1
8,P2_Y6_UO77,1,1
7,P2_Y6_UO77,3,1
6,P1_Y4_UO24,2,1
5,P1_Y4_UO24,3,1
4,P1_Y2_UO93,1,1
3,P1_Y2_UO93,2,1
2,P2_Y0_UO197,1,1
1,P2_Y0_UO197,3,1
0,P2_Y-1_U23,2,1
0,P1_Y-1_U97,1,1
2,P3_Y0_UO34,3,1
1,P3_Y0_UO34,2,1
0,P3_Y-1_U68,3,1
0,P2_Y-1_U22,2,1
4,P3_Y2_UO14,2,1
3,P3_Y2_UO14,1,1
2,P3_Y0_UO30,3,1
1,P3_Y0_UO30,1,1
0,P3_Y-1_U68,3,1
0,P2_Y-1_U22,2,1
2,P1_Y0_UO76,1,1
1,P1_Y0_UO76,3,1
0,P1_Y-1_U38,1,1
0,P2_Y-1_U32,2,1
6,P1_Y4_UO105,1,1
5,P1_Y4_UO105,3,1
4,P1_Y2_UO57,1,1
3,P1_Y2_UO57,3,1
2,P1_Y0_UO44,1,1
1,P1_Y0_UO44,3,1
0,P1_Y-1_U46,1,1
0,P2_Y-1_U19,2,1
2,P2_Y0_UO140,3,1
1,P2_Y0_UO140,1,1
0,P2_Y-1_U43,2,1
0,P1_Y-1_U90,1,1
4,P3_Y2_UO115,2,1
3,P3_Y2_UO115,1,1
2,P3_Y0_UO154,3,1
1,P3_Y0_UO154,2,1
0,P3_Y-1_U86,3,1
0,P1_Y-1_U15,1,1
2,P2_Y0_UO192,2,1
1,P2_Y0_UO192,1,1
0,P2_Y-1_U23,2,1
0,P1_Y-1_U97,1,1
8,P1_Y3_UO35,3,1
7,P1_Y3_UO35,2,1
6,P1_Y3_UO35,3,1
5,P1_Y3_UO35,1,1
4,P1_Y3_UO35,2,1
3,P1_Y1_UO18,1,1
2,P1_Y1_UO18,2,1
1,P2_Y-1_U69,1,1
0,P2_Y-1_U69,2,1
1,P3_Y-1_U93,2,1
0,P3_Y-1_U93,3,1
3,P2_Y1_UO158,2,1
2,P2_Y1_UO158,3,1
1,P3_Y-1_U34,2,1
0,P3_Y-1_U34,3,1
1,P1_Y-1_U26,3,1
0,P1_Y-1_U26,1,1
9,P1_Y8_UO135,2,2
8,P2_Y6_UO88,1,2
7,P2_Y6_UO88,3,2
6,P3_Y4_UO164,2,2
5,P3_Y4_UO164,1,2
4,P3_Y2_UO201,3,2
3,P3_Y2_UO201,2,2
2,P3_Y0_UO154,3,2
1,P3_Y0_UO154,2,2
0,P3_Y-1_U86,3,2
0,P1_Y-1_U15,1,2
2,P1_Y0_UO46,2,2
1,P1_Y0_UO46,3,2
0,P1_Y-1_U46,1,2
0,P2_Y-1_U19,2,2
4,P3_Y1_UO149,1,2
3,P3_Y1_UO149,2,2
2,P3_Y1_UO149,1,2
1,P1_Y-1_U48,3,2
0,P1_Y-1_U48,1,2
1,P3_Y-1_U36,2,2
0,P3_Y-1_U36,3,2
6,P2_Y3_UO130,3,2
5,P2_Y3_UO130,1,2
4,P2_Y3_UO130,3,2
3,P1_Y1_UO54,2,2
2,P1_Y1_UO54,3,2
1,P3_Y-1_U84,1,2
0,P3_Y-1_U84,3,2
1,P3_Y-1_U5,2,2
