Year,1,2,3
0,28.57142857142857,36.734693877551024,34.69387755102041
1,38.297872340425535,29.78723404255319,31.914893617021278
2,27.27272727272727,25.0,47.72727272727273
3,41.02564102564102,35.8974358974359,23.076923076923077
4,28.947368421052634,23.684210526315788,47.368421052631575
5,41.37931034482759,24.137931034482758,34.48275862068966
6,30.434782608695656,21.73913043478261,47.82608695652174
7,38.88888888888889,27.77777777777778,33.33333333333333
8,28.57142857142857,50.0,21.428571428571427
9,100.0,0.0,0.0
