Year,1,2,3
0,35.714285714285715,33.92857142857143,30.357142857142854
1,33.92857142857143,32.142857142857146,33.92857142857143
2,28.57142857142857,28.57142857142857,42.857142857142854
3,33.92857142857143,30.357142857142854,35.714285714285715
4,30.76923076923077,36.53846153846153,32.69230769230769
5,36.58536585365854,29.268292682926827,34.146341463414636
6,35.8974358974359,25.64102564102564,38.46153846153847
7,31.25,37.5,31.25
8,41.37931034482759,13.793103448275861,44.827586206896555
9,0.0,100.0,0.0
