Year,PatchID,Count,TotalAncestors,Proportion,Percentage
0,1,109,366,0.2978142076502732,29.78142076502732
0,2,136,366,0.37158469945355194,37.15846994535519
0,3,121,366,0.33060109289617484,33.060109289617486
1,1,75,262,0.2862595419847328,28.62595419847328
1,2,92,262,0.3511450381679389,35.11450381679389
1,3,95,262,0.36259541984732824,36.25954198473282
2,1,66,184,0.358695652173913,35.869565217391305
2,2,44,184,0.2391304347826087,23.91304347826087
2,3,74,184,0.40217391304347827,40.21739130434783
3,1,40,132,0.30303030303030304,30.303030303030305
3,2,59,132,0.44696969696969696,44.696969696969695
3,3,33,132,0.25,25.0
4,1,39,105,0.37142857142857144,37.142857142857146
4,2,18,105,0.17142857142857143,17.142857142857142
4,3,48,105,0.45714285714285713,45.714285714285715
5,1,28,68,0.4117647058823529,41.17647058823529
5,2,21,68,0.3088235294117647,30.88235294117647
5,3,19,68,0.27941176470588236,27.941176470588236
6,1,20,54,0.37037037037037035,37.03703703703704
6,2,18,54,0.3333333333333333,33.33333333333333
6,3,16,54,0.2962962962962963,29.629629629629626
7,1,15,34,0.4411764705882353,44.11764705882353
7,2,10,34,0.29411764705882354,29.411764705882355
7,3,9,34,0.2647058823529412,26.47058823529412
8,1,12,30,0.4,40.0
8,2,15,30,0.5,50.0
8,3,3,30,0.1,10.0
9,1,17,17,1.0,100.0
9,2,0,17,0.0,0.0
9,3,0,17,0.0,0.0
