Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,300.0|100.0|100.0|100.0|,0.8666666666666667,300|100|100|100|,0.0|0.0|0.0|,0.0|0.0|0.0|,154|49|54|51|,146|51|46|49|,0|0|0|0|,0|0|0|0|,65|23|21|21|,64|23|18|23|,0|0|0|0|,0|0|0|0|,129,171,65,573|187|179|207|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,873|287|279|307|,573|187|179|207|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,19.0|0|7.0|12.0|,0|0|0|0|,0|0|0|0|,0|0|0|,281|81|100|100|,21|6|8|7|,260|75|92|93|,4|4|4|4|,0.4999444444444444|0.4991|0.499575|0.49877499999999997|,0.51|0.55|0.455|0.525|,0.5033333333333333,0.49666666666666665,0.49333333333333335,0.5066666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300|100|100|100|,75|92|93|,0|0|0|,0|0|0|,0|0|0|,75|92|93|,0|0|0|,9,2,4,15,15,20
1,300.0|100.0|100.0|100.0|,1.0692307692307692,260|75|92|93|,0.0|0.0|0.0|,0.0|0.0|0.0|,132|45|39|48|,128|30|53|45|,0|0|0|0|,0|0|0|0|,41|16|13|12|,36|4|19|13|,0|0|0|0|,0|0|0|0|,77,183,41,515|208|209|98|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,775|283|301|191|,475|183|201|91|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,3.0|2.0|0|1.0|,0|0|0|0|,0|0|0|0|,0|0|0|,297|100|97|100|,19|10|6|3|,278|90|91|97|,4|4|4|4|,0.49879807692307687|0.48702222222222213|0.4949787334593573|0.4988148918950167|,0.551923076923077|0.6|0.5108695652173914|0.553763440860215|,0.47115384615384615,0.5288461538461539,0.4807692307692308,0.5192307692307693,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260|75|92|93|,90|91|97|,0|0|0|,0|0|0|,0|0|0|,90|91|97|,0|0|0|,2,2,1,16,5,15
2,300.0|100.0|100.0|100.0|,1.014388489208633,278|90|91|97|,0.0|0.0|0.0|,0.0|0.0|0.0|,142|49|46|47|,136|41|45|50|,0|0|0|0|,0|0|0|0|,46|17|16|13|,39|13|14|12|,0|0|0|0|,0|0|0|0|,85,193,46,852|301|406|145|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1130|391|497|242|,830|291|397|142|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1.0|0|1.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,299|100|100|99|,17|5|9|3|,282|95|91|96|,4|4|4|4|,0.49373414937115045|0.4964197530864197|0.48834681801714774|0.49136465086619197|,0.5017985611510791|0.5111111111111111|0.5054945054945055|0.4896907216494845|,0.5287769784172662,0.4712230215827338,0.5737410071942446,0.4262589928057554,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278|90|91|97|,95|91|96|,0|0|0|,0|0|0|,0|0|0|,95|91|96|,0|0|0|,11,1,7,11,10,6
3,300.0|100.0|100.0|100.0|,0.9397163120567376,282|95|91|96|,0.0|0.0|0.0|,0.0|0.0|0.0|,135|47|42|46|,147|48|49|50|,0|0|0|0|,0|0|0|0|,36|11|16|9|,38|12|14|12|,0|0|0|0|,0|0|0|0|,74,208,36,446|110|220|116|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,728|205|311|212|,428|105|211|112|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,8.0|0|3.0|5.0|,0|0|0|0|,0|0|0|0|,0|0|0|,292|92|100|100|,27|11|11|5|,265|81|89|95|,4|4|4|4|,0.49909461294703483|0.49601108033241004|0.4974338847965222|0.4983452690972222|,0.5567375886524822|0.5473684210526316|0.5659340659340659|0.5572916666666666|,0.4787234042553192,0.5212765957446809,0.5212765957446809,0.4787234042553192,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282|95|91|96|,81|89|95|,0|0|0|,0|0|0|,0|0|0|,81|89|95|,0|0|0|,5,3,2,7,11,8
4,300.0|100.0|100.0|100.0|,1.0339622641509434,265|81|89|95|,0.0|0.0|0.0|,0.0|0.0|0.0|,131|40|48|43|,134|41|41|52|,0|0|0|0|,0|0|0|0|,43|12|18|13|,51|11|21|19|,0|0|0|0|,0|0|0|0|,94,171,43,716|247|198|271|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,981|328|287|366|,681|228|187|266|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,7.0|4.0|3.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,293|100|100|93|,19|11|2|6|,274|89|98|87|,4|4|4|4|,0.4949555001779993|0.4907788446883097|0.4993687665698775|0.47936288088642665|,0.5037735849056604|0.41975308641975306|0.5730337078651685|0.5105263157894737|,0.47924528301886793,0.5207547169811321,0.5679245283018868,0.4320754716981132,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265|81|89|95|,89|98|87|,0|0|0|,0|0|0|,0|0|0|,89|98|87|,0|0|0|,4,2,1,6,19,11
5,300.0|100.0|100.0|100.0|,0.9927007299270073,274|89|98|87|,0.0|0.0|0.0|,0.0|0.0|0.0|,137|52|48|37|,137|37|50|50|,0|0|0|0|,0|0|0|0|,33|14|9|10|,33|9|12|12|,0|0|0|0|,0|0|0|0|,66,208,33,640|172|294|174|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,914|261|392|261|,614|161|292|161|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,10.0|1.0|9.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,290|100|100|90|,18|4|7|7|,272|96|93|83|,4|4|4|4|,0.49483190367094676|0.497443504608004|0.49625156184922947|0.48411282864314964|,0.46715328467153283|0.47752808988764045|0.47959183673469385|0.4425287356321839|,0.4708029197080292,0.5291970802919708,0.5656934306569343,0.4343065693430657,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274|89|98|87|,96|93|83|,0|0|0|,0|0|0|,0|0|0|,96|93|83|,0|0|0|,5,2,0,9,6,11
6,300.0|100.0|100.0|100.0|,1.0036764705882353,272|96|93|83|,0.0|0.0|0.0|,0.0|0.0|0.0|,131|44|44|43|,141|52|49|40|,0|0|0|0|,0|0|0|0|,30|6|12|12|,35|14|13|8|,0|0|0|0|,0|0|0|0|,65,207,30,410|96|190|124|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,682|192|283|207|,382|92|183|107|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,9.0|0|0|9.0|,0|0|0|0|,0|0|0|0|,0|0|0|,291|97|94|100|,18|10|2|6|,273|87|92|94|,4|4|4|4|,0.4848717290224913|0.4932183159722222|0.48944964735807606|0.46051676585861523|,0.49080882352941174|0.5208333333333334|0.489247311827957|0.4578313253012048|,0.5202205882352942,0.4797794117647059,0.6213235294117647,0.3786764705882353,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272|96|93|83|,87|92|94|,0|0|0|,0|0|0|,0|0|0|,87|92|94|,0|0|0|,5,1,4,10,8,2
7,300.0|100.0|100.0|100.0|,0.9633699633699634,273|87|92|94|,0.0|0.0|0.0|,0.0|0.0|0.0|,141|53|44|44|,132|34|48|50|,0|0|0|0|,0|0|0|0|,43|17|14|12|,61|13|23|25|,0|0|0|0|,0|0|0|0|,104,169,43,535|123|227|185|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,808|210|319|279|,508|110|219|179|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,8.0|0|0|8.0|,0|0|0|0|,0|0|0|0|,0|0|0|,292|97|95|100|,29|9|9|11|,263|88|86|89|,4|4|4|4|,0.487052020019053|0.47024045448540097|0.471969517958412|0.49994341330918957|,0.5311355311355311|0.5344827586206896|0.5271739130434783|0.5319148936170213|,0.43772893772893773,0.5622710622710623,0.5952380952380952,0.40476190476190477,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273|87|92|94|,88|86|89|,0|0|0|,0|0|0|,0|0|0|,88|86|89|,0|0|0|,9,0,1,12,7,14
8,300.0|100.0|100.0|100.0|,1.0076045627376427,263|88|86|89|,0.0|0.0|0.0|,0.0|0.0|0.0|,123|42|44|37|,140|46|42|52|,0|0|0|0|,0|0|0|0|,46|13|19|14|,46|18|10|18|,0|0|0|0|,0|0|0|0|,92,171,46,698|241|254|203|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,961|329|340|292|,661|229|240|192|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,7.0|5.0|0|2.0|,0|0|0|0|,0|0|0|0|,0|0|0|,293|100|93|100|,28|13|9|6|,265|87|84|94|,4|4|4|4|,0.4843824545677977|0.4895080061983471|0.4885749053542455|0.47146824895846484|,0.5532319391634981|0.5511363636363636|0.5581395348837209|0.550561797752809|,0.5285171102661597,0.4714828897338403,0.6216730038022814,0.37832699619771865,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263|88|86|89|,87|84|94|,0|0|0|,0|0|0|,0|0|0|,87|84|94|,0|0|0|,8,3,4,9,12,10
9,300.0|100.0|100.0|100.0|,1.0113207547169811,265|87|84|94|,0.0|0.0|0.0|,0.0|0.0|0.0|,131|44|41|46|,134|43|43|48|,0|0|0|0|,0|0|0|0|,23|7|5|11|,38|14|11|13|,0|0|0|0|,0|0|0|0|,61,204,23,430|124|72|234|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,695|211|156|328|,395|111|56|228|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,17.0|17.0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,283|100|93|90|,15|7|4|4|,268|93|89|86|,4|4|4|4|,0.49259522961908153|0.46535209406790856|0.4835600907029478|0.4947657311000452|,0.5056603773584906|0.5229885057471264|0.47619047619047616|0.5159574468085106|,0.47735849056603774,0.5226415094339623,0.5830188679245283,0.4169811320754717,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265|87|84|94|,93|89|86|,0|0|0|,0|0|0|,0|0|0|,93|89|86|,0|0|0|,5,0,1,5,5,7
