Year,PatchID,Count,TotalAncestors,Proportion,Percentage
0,1,15,52,0.28846153846153844,28.846153846153843
0,2,18,52,0.34615384615384615,34.61538461538461
0,3,19,52,0.36538461538461536,36.53846153846153
1,1,19,52,0.36538461538461536,36.53846153846153
1,2,14,52,0.2692307692307692,26.923076923076923
1,3,19,52,0.36538461538461536,36.53846153846153
2,1,16,48,0.3333333333333333,33.33333333333333
2,2,16,48,0.3333333333333333,33.33333333333333
2,3,16,48,0.3333333333333333,33.33333333333333
3,1,15,41,0.36585365853658536,36.58536585365854
3,2,20,41,0.4878048780487805,48.78048780487805
3,3,6,41,0.14634146341463414,14.634146341463413
4,1,10,33,0.30303030303030304,30.303030303030305
4,2,11,33,0.3333333333333333,33.33333333333333
4,3,12,33,0.36363636363636365,36.36363636363637
5,1,10,27,0.37037037037037035,37.03703703703704
5,2,7,27,0.25925925925925924,25.925925925925924
5,3,10,27,0.37037037037037035,37.03703703703704
6,1,5,25,0.2,20.0
6,2,11,25,0.44,44.0
6,3,9,25,0.36,36.0
7,1,11,22,0.5,50.0
7,2,4,22,0.18181818181818182,18.181818181818183
7,3,7,22,0.3181818181818182,31.818181818181817
8,1,4,18,0.2222222222222222,22.22222222222222
8,2,8,18,0.4444444444444444,44.44444444444444
8,3,6,18,0.3333333333333333,33.33333333333333
9,1,17,17,1.0,100.0
9,2,0,17,0.0,0.0
9,3,0,17,0.0,0.0
