Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,174|76|50|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,174|76|50|,nan|nan|nan|,nan|nan|nan|,0|174|126|,0|0|0|,706|174|126|,0|0|0|,205|51|44|,0|0|0|,0|0|0|,205|51|44|,0|0|0|,0|0|0|,192|49|43|,4|3|25|,0|0|0|
1,0|1|2|,188|46|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,188|46|18|,nan|nan|nan|,nan|nan|nan|,0|188|64|,0|0|0|,389|188|64|,0|0|0|,168|100|32|,0|0|0|,0|0|0|,168|100|32|,0|0|0|,0|0|0|,163|99|32|,1|4|14|,0|0|0|
2,0|1|2|,162|95|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,162|95|18|,nan|nan|nan|,nan|nan|nan|,0|162|113|,0|0|0|,1020|162|113|,0|0|0|,230|44|26|,0|0|0|,0|0|0|,230|44|26|,0|0|0|,0|0|0|,226|40|25|,6|2|14|,0|0|0|
3,0|1|2|,220|38|11|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,220|38|11|,nan|nan|nan|,nan|nan|nan|,0|220|49|,0|0|0|,300|220|49|,0|0|0|,160|116|24|,0|0|0|,0|0|0|,160|116|24|,0|0|0|,0|0|0|,158|113|23|,2|5|11|,0|0|0|
4,0|1|2|,156|108|12|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,156|108|12|,nan|nan|nan|,nan|nan|nan|,0|156|120|,0|0|0|,1174|156|120|,0|0|0|,247|31|22|,0|0|0|,0|0|0|,247|31|22|,0|0|0|,0|0|0|,236|29|21|,6|3|9|,0|0|0|
5,0|1|2|,230|26|12|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,230|26|12|,nan|nan|nan|,nan|nan|nan|,0|230|38|,0|0|0|,324|230|38|,0|0|0|,159|119|22|,0|0|0|,0|0|0|,159|119|22|,0|0|0|,0|0|0|,151|115|22|,1|7|7|,0|0|0|
6,0|1|2|,150|108|15|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,150|108|15|,nan|nan|nan|,nan|nan|nan|,0|150|123|,0|0|0|,799|150|123|,0|0|0|,219|43|40|,0|0|0|,0|0|0|,219|43|40|,0|0|0|,0|0|0|,213|41|39|,2|5|12|,0|0|0|
7,0|1|2|,211|36|27|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,211|36|27|,nan|nan|nan|,nan|nan|nan|,0|211|63|,0|0|0|,280|211|63|,0|0|0|,85|162|43|,0|0|0|,0|0|0|,85|162|43|,0|0|0|,0|0|0|,84|159|40|,1|12|12|,0|0|0|
8,0|1|2|,83|147|28|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,83|147|28|,nan|nan|nan|,nan|nan|nan|,0|83|175|,0|0|0|,1576|83|175|,0|0|0|,254|16|30|,0|0|0|,0|0|0|,254|16|30|,0|0|0|,0|0|0|,248|16|30|,7|0|6|,0|0|0|
9,0|1|2|,241|16|24|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,241|16|24|,nan|nan|nan|,nan|nan|nan|,0|241|40|,0|0|0|,237|241|40|,0|0|0|,122|151|27|,0|0|0|,0|0|0|,122|151|27|,0|0|0|,0|0|0|,122|151|27|,3|8|10|,0|0|0|
10,0|1|2|,119|143|17|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,119|143|17|,nan|nan|nan|,nan|nan|nan|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|
