Year,ID,PatchID,Lineage
9,P2_Y8_UO15,2,0
8,P2_Y6_UO63,2,0
7,P2_Y6_UO63,2,0
6,P2_Y4_UO55,2,0
5,P2_Y4_UO55,2,0
4,P2_Y2_UO175,2,0
3,P2_Y2_UO175,2,0
2,P2_Y0_UO126,2,0
1,P2_Y0_UO126,2,0
0,P2_Y-1_U74,2,0
0,P1_Y-1_U23,1,0
2,P3_Y0_UO4,3,0
1,P3_Y0_UO4,3,0
0,P3_Y-1_U24,3,0
0,P2_Y-1_U2,2,0
4,P3_Y1_UO45,3,0
3,P3_Y1_UO45,3,0
2,P3_Y1_UO45,3,0
1,P3_Y-1_U34,3,0
0,P3_Y-1_U34,3,0
1,P2_Y-1_U94,2,0
0,P2_Y-1_U94,2,0
6,P1_Y4_UO26,1,0
5,P1_Y4_UO26,1,0
4,P1_Y2_UO140,1,0
3,P1_Y2_UO140,1,0
2,P1_Y0_UO38,1,0
1,P1_Y0_UO38,1,0
0,P1_Y-1_U14,1,0
0,P2_Y-1_U44,2,0
2,P3_Y-1_U82,3,0
1,P3_Y-1_U82,3,0
0,P3_Y-1_U82,3,0
4,P2_Y2_UO41,2,0
3,P2_Y2_UO41,2,0
2,P2_Y0_UO141,2,0
1,P2_Y0_UO141,2,0
0,P2_Y-1_U43,2,0
0,P1_Y-1_U90,1,0
2,P1_Y0_UO177,1,0
1,P1_Y0_UO177,1,0
0,P1_Y-1_U56,1,0
0,P3_Y-1_U94,3,0
8,P2_Y5_UO170,3,0
7,P2_Y5_UO170,3,0
6,P2_Y5_UO170,3,0
5,P2_Y3_UO4,2,0
4,P2_Y3_UO4,2,0
3,P3_Y1_UO59,2,0
2,P3_Y1_UO59,3,0
1,P3_Y-1_U60,3,0
0,P3_Y-1_U60,3,0
1,P1_Y-1_U83,1,0
0,P1_Y-1_U83,1,0
3,P1_Y1_UO18,1,0
2,P1_Y1_UO18,1,0
1,P1_Y-1_U42,1,0
0,P1_Y-1_U42,1,0
1,P2_Y-1_U75,2,0
0,P2_Y-1_U75,2,0
5,P1_Y3_UO224,1,0
4,P1_Y3_UO224,1,0
3,P3_Y1_UO140,1,0
2,P3_Y1_UO140,3,0
1,P3_Y-1_U16,3,0
0,P3_Y-1_U16,3,0
1,P1_Y-1_U83,1,0
0,P1_Y-1_U83,1,0
3,P3_Y1_UO35,3,0
2,P3_Y1_UO35,3,0
1,P3_Y-1_U42,3,0
0,P3_Y-1_U42,3,0
1,P2_Y-1_U26,2,0
0,P2_Y-1_U26,2,0
9,P2_Y7_UO21,2,1
8,P2_Y7_UO21,2,1
7,P2_Y5_UO230,2,1
6,P2_Y5_UO230,2,1
5,P2_Y3_UO180,2,1
4,P2_Y3_UO180,2,1
3,P2_Y1_UO53,2,1
2,P2_Y1_UO53,2,1
1,P2_Y-1_U6,2,1
0,P2_Y-1_U6,2,1
1,P3_Y-1_U72,3,1
0,P3_Y-1_U72,3,1
3,P3_Y1_UO45,3,1
2,P3_Y1_UO45,3,1
1,P3_Y-1_U34,3,1
0,P3_Y-1_U34,3,1
1,P2_Y-1_U94,2,1
0,P2_Y-1_U94,2,1
5,P2_Y3_UO36,1,1
4,P2_Y3_UO36,1,1
3,P2_Y1_UO131,2,1
2,P2_Y1_UO131,2,1
1,P2_Y-1_U99,2,1
