Year,1,2,3
0,33.33333333333333,35.18518518518518,31.48148148148148
1,28.888888888888886,37.77777777777778,33.33333333333333
2,25.0,33.33333333333333,41.66666666666667
3,34.090909090909086,45.45454545454545,20.454545454545457
4,31.428571428571427,48.57142857142857,20.0
5,33.33333333333333,45.45454545454545,21.21212121212121
6,26.923076923076923,46.15384615384615,26.923076923076923
7,28.000000000000004,44.0,28.000000000000004
8,4.545454545454546,86.36363636363636,9.090909090909092
9,0.0,100.0,0.0
