Year,PatchID,Count,TotalAncestors,Proportion,Percentage
0,1,12,40,0.3,30.0
0,2,13,40,0.325,32.5
0,3,15,40,0.375,37.5
1,1,11,37,0.2972972972972973,29.72972972972973
1,2,13,37,0.35135135135135137,35.13513513513514
1,3,13,37,0.35135135135135137,35.13513513513514
2,1,10,38,0.2631578947368421,26.31578947368421
2,2,12,38,0.3157894736842105,31.57894736842105
2,3,16,38,0.42105263157894735,42.10526315789473
3,1,11,37,0.2972972972972973,29.72972972972973
3,2,15,37,0.40540540540540543,40.54054054054054
3,3,11,37,0.2972972972972973,29.72972972972973
4,1,10,32,0.3125,31.25
4,2,14,32,0.4375,43.75
4,3,8,32,0.25,25.0
5,1,11,32,0.34375,34.375
5,2,13,32,0.40625,40.625
5,3,8,32,0.25,25.0
6,1,5,20,0.25,25.0
6,2,12,20,0.6,60.0
6,3,3,20,0.15,15.0
7,1,8,20,0.4,40.0
7,2,6,20,0.3,30.0
7,3,6,20,0.3,30.0
8,1,19,19,1.0,100.0
8,2,0,19,0.0,0.0
8,3,0,19,0.0,0.0
9,1,19,19,1.0,100.0
9,2,0,19,0.0,0.0
9,3,0,19,0.0,0.0
