Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,171|82|47|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,171|82|47|,nan|nan|nan|,nan|nan|nan|,0|171|129|,0|0|0|,573|171|129|,0|0|0|,198|65|37|,0|0|0|,0|0|0|,198|65|37|,0|0|0|,0|0|0|,194|64|35|,5|5|17|,0|0|0|
1,0|1|2|,189|59|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,189|59|18|,nan|nan|nan|,nan|nan|nan|,0|189|77|,0|0|0|,650|189|77|,0|0|0|,208|61|31|,0|0|0|,0|0|0|,208|61|31|,0|0|0|,0|0|0|,204|59|30|,5|7|15|,0|0|0|
2,0|1|2|,199|52|15|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,199|52|15|,nan|nan|nan|,nan|nan|nan|,0|199|67|,0|0|0|,596|199|67|,0|0|0|,190|87|23|,0|0|0|,0|0|0|,190|87|23|,0|0|0|,0|0|0|,188|86|23|,3|2|10|,0|0|0|
3,0|1|2|,185|84|13|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,185|84|13|,nan|nan|nan|,nan|nan|nan|,0|185|97|,0|0|0|,909|185|97|,0|0|0|,230|46|24|,0|0|0|,0|0|0|,230|46|24|,0|0|0|,0|0|0|,226|45|24|,5|3|13|,0|0|0|
4,0|1|2|,221|42|11|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,221|42|11|,nan|nan|nan|,nan|nan|nan|,0|221|53|,0|0|0|,484|221|53|,0|0|0|,169|106|25|,0|0|0|,0|0|0|,169|106|25|,0|0|0|,0|0|0|,165|105|25|,3|4|9|,0|0|0|
5,0|1|2|,162|101|16|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,162|101|16|,nan|nan|nan|,nan|nan|nan|,0|162|117|,0|0|0|,1109|162|117|,0|0|0|,234|37|29|,0|0|0|,0|0|0|,234|37|29|,0|0|0|,0|0|0|,229|36|29|,4|1|11|,0|0|0|
6,0|1|2|,225|35|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,225|35|18|,nan|nan|nan|,nan|nan|nan|,0|225|53|,0|0|0|,283|225|53|,0|0|0|,133|143|24|,0|0|0|,0|0|0|,133|143|24|,0|0|0|,0|0|0|,129|141|23|,3|9|8|,0|0|0|
7,0|1|2|,126|132|15|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,126|132|15|,nan|nan|nan|,nan|nan|nan|,0|126|147|,0|0|0|,1280|126|147|,0|0|0|,240|26|34|,0|0|0|,0|0|0|,240|26|34|,0|0|0|,0|0|0|,238|26|34|,8|2|13|,0|0|0|
8,0|1|2|,230|24|21|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,230|24|21|,nan|nan|nan|,nan|nan|nan|,0|230|45|,0|0|0|,271|230|45|,0|0|0|,109|161|23|,0|0|0|,0|0|0|,109|161|23|,0|0|0|,0|0|0|,107|161|23|,3|8|6|,0|0|0|
9,0|1|2|,104|153|17|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,104|153|17|,nan|nan|nan|,nan|nan|nan|,0|104|170|,0|0|0|,1754|104|170|,0|0|0|,246|29|25|,0|0|0|,0|0|0|,246|29|25|,0|0|0|,0|0|0|,244|29|25|,4|3|7|,0|0|0|
10,0|1|2|,240|26|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,240|26|18|,nan|nan|nan|,nan|nan|nan|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|
