Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,300.0|100.0|100.0|100.0|,0.8866666666666667,300|100|100|100|,0.0|0.0|0.0|,0.0|0.0|0.0|,154|49|54|51|,146|51|46|49|,0|0|0|0|,0|0|0|0|,65|23|21|21|,64|23|18|23|,0|0|0|0|,0|0|0|0|,129,171,65,573|187|179|207|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,873|287|279|307|,573|187|179|207|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,7.0|0|6.0|1.0|,0|0|0|0|,0|0|0|0|,0|0|0|,293|93|100|100|,27|9|7|11|,266|84|93|89|,4|4|4|4|,0.4999444444444444|0.4991|0.499575|0.49877499999999997|,0.51|0.55|0.455|0.525|,0.5033333333333333,0.49666666666666665,0.49333333333333335,0.5066666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300|100|100|100|,84|93|89|,0|0|0|,0|0|0|,0|0|0|,5|10|5|,0|0|0|,9,2,4,15,15,20
1,300.0|100.0|100.0|100.0|,1.0,266|84|93|89|,0.0|0.0|0.0|,0.0|0.0|0.0|,133|42|46|45|,133|42|47|44|,0|0|0|0|,0|0|0|0|,42|15|10|17|,35|10|12|13|,0|0|0|0|,0|0|0|0|,77,189,42,650|277|131|242|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,916|361|224|331|,616|261|124|231|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,7.0|0|7.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,293|98|100|95|,27|4|14|9|,266|94|86|86|,4|4|4|4|,0.4986290915258069|0.4908942743764172|0.4960689097005435|0.4899949501325591|,0.5413533834586466|0.5178571428571429|0.5483870967741935|0.5561797752808989|,0.46616541353383456,0.5338345864661654,0.4849624060150376,0.5150375939849624,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266|84|93|89|,94|86|86|,0|0|0|,0|0|0|,0|0|0|,10|11|6|,0|0|0|,3,1,0,14,9,15
2,300.0|100.0|100.0|100.0|,1.0601503759398496,266|94|86|86|,0.0|0.0|0.0|,0.0|0.0|0.0|,141|52|40|49|,125|42|46|37|,0|0|0|0|,0|0|0|0|,32|9|13|10|,35|8|19|8|,0|0|0|0|,0|0|0|0|,67,199,32,596|203|332|61|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,862|297|418|147|,562|197|318|47|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,3.0|3.0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,297|100|98|99|,15|3|5|7|,282|97|93|92|,4|4|4|4|,0.4957530103454124|0.49519013128112255|0.4863439697133586|0.49080584099513247|,0.4699248120300752|0.43617021276595747|0.47674418604651164|0.5|,0.5357142857142857,0.4642857142857143,0.5545112781954887,0.44548872180451127,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266|94|86|86|,97|93|92|,0|0|0|,0|0|0|,0|0|0|,12|8|13|,0|0|0|,1,0,4,6,12,9
3,300.0|100.0|100.0|100.0|,0.9716312056737588,282|97|93|92|,0.0|0.0|0.0|,0.0|0.0|0.0|,158|54|53|51|,124|43|40|41|,0|0|0|0|,0|0|0|0|,55|16|15|24|,42|11|10|21|,0|0|0|0|,0|0|0|0|,97,185,55,909|186|361|362|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1191|283|454|454|,891|183|354|354|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,5.0|5.0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,295|100|100|95|,21|10|4|7|,274|90|96|88|,4|4|4|4|,0.4971549469342589|0.49893718779891594|0.4860966585732456|0.492852079395085|,0.5407801418439716|0.5360824742268041|0.543010752688172|0.5434782608695652|,0.44858156028368795,0.5514184397163121,0.5141843971631206,0.4858156028368794,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282|97|93|92|,90|96|88|,0|0|0|,0|0|0|,0|0|0|,11|9|8|,0|0|0|,10,10,3,11,7,14
4,300.0|100.0|100.0|100.0|,1.0182481751824817,274|90|96|88|,0.0|0.0|0.0|,0.0|0.0|0.0|,137|52|47|38|,137|38|49|50|,0|0|0|0|,0|0|0|0|,25|13|4|8|,28|6|11|11|,0|0|0|0|,0|0|0|0|,53,221,25,484|264|57|163|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,758|354|153|251|,458|254|53|151|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,5.0|4.0|0|1.0|,0|0|0|0|,0|0|0|0|,0|0|0|,295|100|95|100|,16|3|10|3|,279|97|85|97|,4|4|4|4|,0.49494845223506845|0.4892283950617283|0.4944390190972222|0.495964617768595|,0.46897810218978103|0.46111111111111114|0.484375|0.4602272727272727|,0.5474452554744526,0.45255474452554745,0.5529197080291971,0.4470802919708029,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274|90|96|88|,97|85|97|,0|0|0|,0|0|0|,0|0|0|,6|4|9|,0|0|0|,2,1,4,2,9,7
5,300.0|100.0|100.0|100.0|,0.996415770609319,279|97|85|97|,0.0|0.0|0.0|,0.0|0.0|0.0|,158|52|53|53|,121|45|32|44|,0|0|0|0|,0|0|0|0|,63|15|34|14|,54|12|22|20|,0|0|0|0|,0|0|0|0|,117,162,63,1109|242|593|274|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1388|339|678|371|,1088|239|578|271|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,6.0|0|0|6.0|,0|0|0|0|,0|0|0|0|,0|0|0|,294|94|100|100|,16|3|6|7|,278|91|94|93|,4|4|4|4|,0.49291825644583187|0.4599319800191307|0.4826989619377162|0.48732596450207244|,0.43548387096774194|0.4329896907216495|0.49411764705882355|0.3865979381443299|,0.46236559139784944,0.5376344086021505,0.5752688172043011,0.42473118279569894,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279|97|85|97|,91|94|93|,0|0|0|,0|0|0|,0|0|0|,4|9|11|,0|0|0|,9,9,5,18,12,10
6,300.0|100.0|100.0|100.0|,0.9820143884892086,278|91|94|93|,0.0|0.0|0.0|,0.0|0.0|0.0|,132|41|44|47|,146|50|50|46|,0|0|0|0|,0|0|0|0|,32|13|8|11|,21|9|7|5|,0|0|0|0|,0|0|0|0|,53,225,32,283|138|24|121|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,561|229|118|214|,261|129|18|114|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,7.0|7.0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,293|100|96|97|,20|5|7|8|,273|95|89|89|,4|4|4|4|,0.49572356503286574|0.492603550295858|0.48274105930285194|0.49788992947161526|,0.5107913669064749|0.532967032967033|0.5638297872340425|0.43548387096774194|,0.5341726618705036,0.4658273381294964,0.5557553956834532,0.4442446043165468,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278|91|94|93|,95|89|89|,0|0|0|,0|0|0|,0|0|0|,18|11|9|,0|0|0|,2,2,7,4,14,3
7,300.0|100.0|100.0|100.0|,1.0073260073260073,273|95|89|89|,0.0|0.0|0.0|,0.0|0.0|0.0|,127|48|39|40|,146|47|50|49|,0|0|0|0|,0|0|0|0|,62|19|25|18|,85|26|38|21|,0|0|0|0|,0|0|0|0|,147,126,62,1280|373|637|270|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1553|468|726|359|,1253|368|626|259|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,2.0|0|2.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,298|98|100|100|,23|5|8|10|,275|93|92|90|,4|4|4|4|,0.47719008708019695|0.47238227146814404|0.4903736901906325|0.43024870597146836|,0.4908424908424908|0.5210526315789473|0.6235955056179775|0.3258426966292135|,0.38278388278388276,0.6172161172161172,0.5952380952380952,0.40476190476190477,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273|95|89|89|,93|92|90|,0|0|0|,0|0|0|,0|0|0|,10|8|10|,0|0|0|,10,6,3,16,8,19
8,300.0|100.0|100.0|100.0|,0.9963636363636363,275|93|92|90|,0.0|0.0|0.0|,0.0|0.0|0.0|,136|46|45|45|,139|47|47|45|,0|0|0|0|,0|0|0|0|,15|4|3|8|,30|7|12|11|,0|0|0|0|,0|0|0|0|,45,230,15,271|0|54|217|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,546|93|146|307|,253|0|46|207|,0|0|0|0|,0|0|0|0|,293|93|100|100|,0|0|0|0|,293|93|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,2.0|0|2.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,291|94|100|97|,17|5|7|5|,274|89|93|92|,4|4|4|4|,0.4983305785123967|0.4982367903803908|0.49335420604914937|0.4886111111111111|,0.5181818181818182|0.532258064516129|0.5163043478260869|0.5055555555555555|,0.5145454545454545,0.48545454545454547,0.5381818181818182,0.4618181818181818,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275|93|92|90|,89|93|92|,0|0|0|,0|0|0|,0|0|0|,10|9|7|,0|0|0|,2,0,5,0,7,1
9,300.0|100.0|100.0|100.0|,1.0364963503649636,274|89|93|92|,0.0|0.0|0.0|,0.0|0.0|0.0|,128|46|39|43|,146|43|54|49|,0|0|0|0|,0|0|0|0|,80|41|26|13|,90|42|32|16|,0|0|0|0|,0|0|0|0|,170,104,80,1754|950|550|254|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,2028|1039|643|346|,1728|939|543|246|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,2.0|1.0|1.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,298|100|100|98|,14|3|4|7|,284|97|96|91|,4|4|4|4|,0.4864537268900847|0.495896982704204|0.49277373106717537|0.4149338374291115|,0.49635036496350365|0.5168539325842697|0.5268817204301075|0.44565217391304346|,0.4233576642335766,0.5766423357664233,0.5875912408759124,0.4124087591240876,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274|89|93|92|,97|96|91|,0|0|0|,0|0|0|,0|0|0|,6|11|9|,0|0|0|,7,1,1,19,16,36
