Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,575|268|157|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,575|268|157|,nan|nan|nan|,nan|nan|nan|,0|575|425|,0|0|0|,2752|575|425|,0|0|0|,667|193|139|,0|0|0|,0|0|0|,667|193|139|,0|0|0|,0|0|0|,569|179|128|,12|11|51|,0|0|0|
1,0|1|2|,557|168|77|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,557|168|77|,nan|nan|nan|,nan|nan|nan|,0|557|245|,0|0|0|,1929|557|245|,0|0|0|,676|223|101|,0|0|0|,0|0|0|,676|223|101|,0|0|0|,0|0|0|,593|196|91|,13|11|34|,0|0|0|
2,0|1|2|,580|185|57|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,580|185|57|,nan|nan|nan|,nan|nan|nan|,0|580|242|,0|0|0|,1719|580|242|,0|0|0|,645|255|100|,0|0|0|,0|0|0|,645|255|100|,0|0|0|,0|0|0|,552|217|92|,11|9|35|,0|0|0|
3,0|1|2|,541|208|57|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,541|208|57|,nan|nan|nan|,nan|nan|nan|,0|541|265|,0|0|0|,1973|541|265|,0|0|0|,686|220|94|,0|0|0|,0|0|0|,686|220|94|,0|0|0|,0|0|0|,596|193|83|,7|7|36|,0|0|0|
4,0|1|2|,589|186|47|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,589|186|47|,nan|nan|nan|,nan|nan|nan|,0|589|233|,0|0|0|,1716|589|233|,0|0|0|,633|257|110|,0|0|0|,0|0|0|,633|257|110|,0|0|0|,0|0|0|,551|232|97|,13|12|36|,0|0|0|
5,0|1|2|,538|220|61|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,538|220|61|,nan|nan|nan|,nan|nan|nan|,0|538|281|,0|0|0|,2305|538|281|,0|0|0|,738|176|86|,0|0|0|,0|0|0|,738|176|86|,0|0|0|,0|0|0|,650|154|73|,15|9|29|,0|0|0|
6,0|1|2|,635|145|44|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,635|145|44|,nan|nan|nan|,nan|nan|nan|,0|635|189|,0|0|0|,1336|635|189|,0|0|0|,534|346|99|,0|0|0|,0|0|0|,534|346|99|,0|0|0|,0|0|0|,465|302|86|,6|12|32|,0|0|0|
7,0|1|2|,459|290|54|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,459|290|54|,nan|nan|nan|,nan|nan|nan|,0|459|344|,0|0|0|,2408|459|344|,0|0|0|,758|138|104|,0|0|0|,0|0|0|,758|138|104|,0|0|0|,0|0|0|,665|122|93|,16|6|32|,0|0|0|
8,0|1|2|,649|116|61|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,649|116|61|,nan|nan|nan|,nan|nan|nan|,0|649|177|,0|0|0|,879|649|177|,0|0|0|,367|447|107|,0|0|0|,0|0|0|,367|447|107|,0|0|0|,0|0|0|,311|412|99|,7|15|37|,0|0|0|
9,0|1|2|,304|397|62|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,304|397|62|,nan|nan|nan|,nan|nan|nan|,0|304|459|,0|0|0|,4083|304|459|,0|0|0|,837|70|93|,0|0|0|,0|0|0|,837|70|93|,0|0|0|,0|0|0|,732|61|79|,22|3|27|,0|0|0|
10,0|1|2|,710|58|52|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,710|58|52|,nan|nan|nan|,nan|nan|nan|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|
