Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,570|290|140|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,570|290|140|,nan|nan|nan|,nan|nan|nan|,0|570|430|,0|0|0|,3104|570|430|,0|0|0|,741|155|104|,0|0|0|,0|0|0|,741|155|104|,0|0|0|,0|0|0|,722|151|101|,10|8|34|,0|0|0|
1,0|1|2|,712|143|67|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,712|143|67|,nan|nan|nan|,nan|nan|nan|,0|712|210|,0|0|0|,1645|712|210|,0|0|0|,576|322|102|,0|0|0|,0|0|0|,576|322|102|,0|0|0|,0|0|0|,551|308|98|,16|11|40|,0|0|0|
2,0|1|2|,535|297|58|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,535|297|58|,nan|nan|nan|,nan|nan|nan|,0|535|355|,0|0|0|,3144|535|355|,0|0|0|,759|143|98|,0|0|0|,0|0|0|,759|143|98|,0|0|0|,0|0|0|,748|142|98|,8|5|34|,0|0|0|
3,0|1|2|,740|137|64|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,740|137|64|,nan|nan|nan|,nan|nan|nan|,0|740|201|,0|0|0|,1254|740|201|,0|0|0|,550|356|94|,0|0|0|,0|0|0|,550|356|94|,0|0|0|,0|0|0|,524|333|90|,6|17|34|,0|0|0|
4,0|1|2|,518|316|56|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,518|316|56|,nan|nan|nan|,nan|nan|nan|,0|518|372|,0|0|0|,3422|518|372|,0|0|0|,765|129|106|,0|0|0|,0|0|0|,765|129|106|,0|0|0|,0|0|0|,741|128|104|,16|2|38|,0|0|0|
5,0|1|2|,725|126|66|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,725|126|66|,nan|nan|nan|,nan|nan|nan|,0|725|192|,0|0|0|,1171|725|192|,0|0|0|,542|365|93|,0|0|0|,0|0|0|,542|365|93|,0|0|0|,0|0|0|,522|345|88|,17|18|33|,0|0|0|
6,0|1|2|,505|327|55|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,505|327|55|,nan|nan|nan|,nan|nan|nan|,0|505|382|,0|0|0|,4100|505|382|,0|0|0|,817|107|76|,0|0|0|,0|0|0|,817|107|76|,0|0|0|,0|0|0|,787|106|72|,16|5|31|,0|0|0|
7,0|1|2|,771|101|41|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,771|101|41|,nan|nan|nan|,nan|nan|nan|,0|771|142|,0|0|0|,907|771|142|,0|0|0|,445|450|78|,0|0|0|,0|0|0|,445|450|78|,0|0|0|,0|0|0|,434|439|77|,9|15|40|,0|0|0|
8,0|1|2|,425|424|37|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,425|424|37|,nan|nan|nan|,nan|nan|nan|,0|425|461|,0|0|0|,4386|425|461|,0|0|0|,820|87|93|,0|0|0|,0|0|0|,820|87|93|,0|0|0|,0|0|0|,798|85|89|,11|4|39|,0|0|0|
9,0|1|2|,787|81|50|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,787|81|50|,nan|nan|nan|,nan|nan|nan|,0|787|131|,0|0|0|,688|787|131|,0|0|0|,399|519|82|,0|0|0|,0|0|0|,399|519|82|,0|0|0|,0|0|0|,388|498|77|,8|22|28|,0|0|0|
10,0|1|2|,380|476|49|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,380|476|49|,nan|nan|nan|,nan|nan|nan|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|
