Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,575|268|157|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,575|268|157|,nan|nan|nan|,nan|nan|nan|,0|575|425|,0|0|0|,2553|575|425|,0|0|0|,682|182|136|,0|0|0|,0|0|0|,682|182|136|,0|0|0|,0|0|0|,666|177|132|,20|8|53|,0|0|0|
1,0|1|2|,646|169|79|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,646|169|79|,nan|nan|nan|,nan|nan|nan|,0|646|248|,0|0|0|,1745|646|248|,0|0|0|,658|250|92|,0|0|0|,0|0|0|,658|250|92|,0|0|0|,0|0|0|,641|243|90|,13|14|33|,0|0|0|
2,0|1|2|,628|229|57|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,628|229|57|,nan|nan|nan|,nan|nan|nan|,0|628|286|,0|0|0|,2083|628|286|,0|0|0|,663|225|112|,0|0|0|,0|0|0|,663|225|112|,0|0|0|,0|0|0|,644|219|106|,15|17|39|,0|0|0|
3,0|1|2|,629|202|67|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,629|202|67|,nan|nan|nan|,nan|nan|nan|,0|629|269|,0|0|0|,1862|629|269|,0|0|0|,583|309|108|,0|0|0|,0|0|0|,583|309|108|,0|0|0|,0|0|0|,566|301|106|,20|8|40|,0|0|0|
4,0|1|2|,546|293|66|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,546|293|66|,nan|nan|nan|,nan|nan|nan|,0|546|359|,0|0|0|,3114|546|359|,0|0|0|,762|149|89|,0|0|0|,0|0|0|,762|149|89|,0|0|0|,0|0|0|,741|145|88|,16|11|34|,0|0|0|
5,0|1|2|,725|134|54|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,725|134|54|,nan|nan|nan|,nan|nan|nan|,0|725|188|,0|0|0|,1102|725|188|,0|0|0|,487|407|106|,0|0|0|,0|0|0|,487|407|106|,0|0|0|,0|0|0|,469|387|102|,16|22|36|,0|0|0|
6,0|1|2|,453|365|66|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,453|365|66|,nan|nan|nan|,nan|nan|nan|,0|453|431|,0|0|0|,4254|453|431|,0|0|0|,825|91|84|,0|0|0|,0|0|0|,825|91|84|,0|0|0|,0|0|0|,784|85|79|,10|1|30|,0|0|0|
7,0|1|2|,774|84|49|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,774|84|49|,nan|nan|nan|,nan|nan|nan|,0|774|133|,0|0|0|,902|774|133|,0|0|0|,464|461|75|,0|0|0|,0|0|0|,464|461|75|,0|0|0|,0|0|0|,441|433|71|,11|26|28|,0|0|0|
8,0|1|2|,430|407|43|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,430|407|43|,nan|nan|nan|,nan|nan|nan|,0|430|450|,0|0|0|,3413|430|450|,0|0|0|,785|99|116|,0|0|0|,0|0|0|,785|99|116|,0|0|0|,0|0|0|,751|95|107|,12|6|48|,0|0|0|
9,0|1|2|,739|89|59|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,739|89|59|,nan|nan|nan|,nan|nan|nan|,0|739|148|,0|0|0|,1016|739|148|,0|0|0|,471|444|85|,0|0|0|,0|0|0|,471|444|85|,0|0|0|,0|0|0|,460|431|84|,3|24|39|,0|0|0|
10,0|1|2|,457|407|45|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,457|407|45|,nan|nan|nan|,nan|nan|nan|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|
