Year,ID,PatchID,Lineage
19,P17_Y17_UO290,1,0
18,P17_Y17_UO290,3,0
17,P2_Y15_UO101,17,0
16,P2_Y15_UO101,2,0
15,P6_Y13_UO287,2,0
14,P6_Y13_UO287,6,0
13,P2_Y11_UO234,6,0
12,P2_Y11_UO234,2,0
11,P6_Y9_UO591,2,0
10,P6_Y9_UO591,2,0
9,P6_Y7_UO372,6,0
8,P6_Y7_UO372,6,0
7,P2_Y5_UO449,6,0
6,P2_Y5_UO449,2,0
5,P1_Y3_UO418,2,0
4,P1_Y3_UO418,1,0
3,P1_Y1_UO606,1,0
2,P1_Y1_UO606,1,0
1,P1_Y-1_U8,1,0
0,P1_Y-1_U8,1,0
1,P12_Y-1_U71,12,0
0,P12_Y-1_U71,12,0
3,P15_Y0_UO846,19,0
2,P15_Y0_UO846,17,0
1,P15_Y0_UO846,15,0
0,P15_Y-1_U19,15,0
0,P17_Y-1_U28,17,0
5,P1_Y3_UO417,15,0
4,P1_Y3_UO417,17,0
3,P1_Y1_UO606,1,0
2,P1_Y1_UO606,1,0
1,P1_Y-1_U8,1,0
0,P1_Y-1_U8,1,0
1,P12_Y-1_U71,12,0
0,P12_Y-1_U71,12,0
3,P15_Y0_UO846,19,0
2,P15_Y0_UO846,17,0
1,P15_Y0_UO846,15,0
0,P15_Y-1_U19,15,0
0,P17_Y-1_U28,17,0
7,P2_Y5_UO675,2,0
6,P2_Y5_UO675,6,0
5,P6_Y3_UO268,2,0
4,P6_Y3_UO268,6,0
3,P6_Y1_UO807,6,0
2,P6_Y1_UO807,6,0
1,P6_Y-1_U17,6,0
0,P6_Y-1_U17,6,0
1,P19_Y-1_U10,2,0
0,P19_Y-1_U10,19,0
3,P17_Y0_UO959,2,0
2,P17_Y0_UO959,17,0
1,P17_Y0_UO959,19,0
0,P17_Y-1_U65,17,0
0,P2_Y-1_U33,2,0
5,P6_Y3_UO176,6,0
4,P6_Y3_UO176,6,0
3,P2_Y1_UO146,6,0
2,P2_Y1_UO146,6,0
1,P15_Y-1_U5,2,0
0,P15_Y-1_U5,15,0
1,P1_Y-1_U94,1,0
0,P1_Y-1_U94,1,0
3,P1_Y0_UO18,2,0
2,P1_Y0_UO18,2,0
1,P1_Y0_UO18,2,0
0,P1_Y-1_U72,1,0
0,P3_Y-1_U55,3,0
9,P2_Y6_UO500,2,0
8,P2_Y6_UO500,6,0
7,P2_Y6_UO500,6,0
6,P6_Y4_UO391,2,0
5,P6_Y4_UO391,6,0
4,P6_Y2_UO743,6,0
3,P6_Y2_UO743,6,0
2,P2_Y0_UO781,6,0
1,P2_Y0_UO781,2,0
0,P2_Y-1_U43,2,0
0,P15_Y-1_U62,15,0
2,P17_Y0_UO145,2,0
1,P17_Y0_UO145,17,0
0,P17_Y-1_U65,17,0
0,P1_Y-1_U15,1,0
4,P1_Y1_UO155,2,0
3,P1_Y1_UO155,2,0
2,P1_Y1_UO155,1,0
1,P1_Y-1_U77,1,0
0,P1_Y-1_U77,1,0
1,P6_Y-1_U92,2,0
0,P6_Y-1_U92,6,0
6,P15_Y4_UO1015,15,0
5,P15_Y4_UO1015,17,0
4,P2_Y2_UO383,15,0
3,P2_Y2_UO383,15,0
2,P6_Y0_UO43,2,0
1,P6_Y0_UO43,2,0
0,P6_Y-1_U18,6,0
0,P2_Y-1_U92,2,0
2,P15_Y-1_U46,15,0
1,P15_Y-1_U46,15,0
0,P15_Y-1_U46,15,0
4,P15_Y2_UO728,17,0
3,P15_Y2_UO728,15,0
2,P17_Y0_UO349,15,0
1,P17_Y0_UO349,17,0
0,P17_Y-1_U65,17,0
0,P3_Y-1_U55,3,0
2,P6_Y0_UO566,2,0
1,P6_Y0_UO566,6,0
0,P6_Y-1_U10,6,0
0,P2_Y-1_U52,2,0
11,P17_Y8_UO309,1,0
10,P17_Y8_UO309,19,0
9,P17_Y8_UO309,1,0
8,P17_Y6_UO1049,17,0
7,P17_Y6_UO1049,17,0
6,P15_Y4_UO149,17,0
5,P15_Y4_UO149,15,0
4,P17_Y2_UO1280,15,0
3,P17_Y2_UO1280,15,0
2,P15_Y0_UO0,17,0
1,P15_Y0_UO0,17,0
0,P15_Y-1_U34,15,0
0,P17_Y-1_U5,17,0
2,P3_Y0_UO647,3,0
1,P3_Y0_UO647,3,0
0,P3_Y-1_U33,3,0
0,P12_Y-1_U45,12,0
4,P17_Y2_UO429,17,0
3,P17_Y2_UO429,3,0
2,P3_Y0_UO743,17,0
1,P3_Y0_UO743,3,0
0,P3_Y-1_U6,3,0
0,P1_Y-1_U70,1,0
2,P6_Y-1_U15,2,0
1,P6_Y-1_U15,6,0
0,P6_Y-1_U15,6,0
6,P19_Y2_UO90,3,0
5,P19_Y2_UO90,3,0
