Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,11.11111111111111,9.333333333333334,7.555555555555555,7.111111111111111,0.0,5.777777777777778,6.222222222222222,0.0,0.0,0.0,0.0,8.88888888888889,4.444444444444445,0.0,7.555555555555555,5.777777777777778,11.11111111111111,4.888888888888889,10.222222222222223,0.0
1,8.095238095238095,8.095238095238095,10.952380952380953,6.666666666666667,0.0,8.095238095238095,4.761904761904762,0.0,0.0,0.0,0.0,8.095238095238095,6.190476190476191,0.0,10.0,3.8095238095238098,11.428571428571429,1.9047619047619049,11.904761904761903,0.0
2,11.557788944723619,12.562814070351758,8.040201005025125,7.035175879396985,0.0,6.030150753768844,6.030150753768844,0.0,0.0,0.0,0.0,9.547738693467336,4.522613065326634,0.0,8.040201005025125,3.5175879396984926,12.060301507537687,2.512562814070352,8.542713567839195,0.0
3,10.05586592178771,7.82122905027933,10.05586592178771,6.70391061452514,0.0,7.82122905027933,5.58659217877095,0.0,0.0,0.0,0.0,8.379888268156424,3.35195530726257,0.0,13.966480446927374,2.2346368715083798,9.497206703910614,2.2346368715083798,12.290502793296088,0.0
4,10.526315789473683,12.280701754385964,11.11111111111111,5.263157894736842,0.0,5.263157894736842,6.432748538011696,0.0,0.0,0.0,0.0,7.017543859649122,2.923976608187134,0.0,8.187134502923977,4.678362573099415,15.789473684210526,2.3391812865497075,8.187134502923977,0.0
5,8.9171974522293,7.006369426751593,12.738853503184714,5.095541401273886,0.0,11.464968152866243,7.006369426751593,0.0,0.0,0.0,0.0,8.280254777070063,1.2738853503184715,0.0,11.464968152866243,1.910828025477707,11.464968152866243,1.910828025477707,11.464968152866243,0.0
6,10.596026490066226,15.894039735099339,12.582781456953644,6.622516556291391,0.0,7.28476821192053,5.298013245033113,0.0,0.0,0.0,0.0,7.28476821192053,1.3245033112582782,0.0,7.9470198675496695,1.9867549668874174,13.245033112582782,1.3245033112582782,8.609271523178808,0.0
7,11.016949152542372,11.016949152542372,6.779661016949152,7.627118644067797,0.0,10.16949152542373,4.23728813559322,0.0,0.0,0.0,0.0,6.779661016949152,1.694915254237288,0.0,10.16949152542373,0.847457627118644,15.254237288135593,0.847457627118644,13.559322033898304,0.0
8,16.379310344827587,12.068965517241379,8.620689655172415,3.4482758620689653,0.0,6.896551724137931,6.896551724137931,0.0,0.0,0.0,0.0,5.172413793103448,1.7241379310344827,0.0,6.896551724137931,0.8620689655172413,16.379310344827587,0.8620689655172413,13.793103448275861,0.0
9,14.285714285714285,15.384615384615385,12.087912087912088,0.0,0.0,6.593406593406594,6.593406593406594,0.0,0.0,0.0,0.0,6.593406593406594,0.0,0.0,8.791208791208792,1.098901098901099,12.087912087912088,1.098901098901099,15.384615384615385,0.0
10,11.11111111111111,17.28395061728395,12.345679012345679,1.2345679012345678,0.0,3.7037037037037033,1.2345679012345678,0.0,0.0,0.0,0.0,8.641975308641975,1.2345679012345678,0.0,7.4074074074074066,2.4691358024691357,22.22222222222222,0.0,11.11111111111111,0.0
11,12.5,12.5,6.25,1.5625,0.0,6.25,1.5625,0.0,0.0,0.0,0.0,3.125,0.0,0.0,12.5,1.5625,26.5625,0.0,15.625,0.0
12,15.517241379310345,15.517241379310345,12.068965517241379,1.7241379310344827,0.0,5.172413793103448,0.0,0.0,0.0,0.0,0.0,5.172413793103448,0.0,0.0,17.24137931034483,0.0,18.96551724137931,0.0,8.620689655172415,0.0
13,11.904761904761903,9.523809523809524,21.428571428571427,0.0,0.0,9.523809523809524,0.0,0.0,0.0,0.0,0.0,2.380952380952381,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,11.904761904761903,0.0
14,12.82051282051282,17.94871794871795,17.94871794871795,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.256410256410255,0.0,20.51282051282051,0.0,12.82051282051282,0.0
15,0.0,15.384615384615385,15.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.076923076923077,0.0,19.230769230769234,0.0,26.923076923076923,0.0
16,4.166666666666666,20.833333333333336,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,0.0,37.5,0.0,20.833333333333336,0.0
17,12.5,18.75,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,25.0,0.0,25.0,0.0
18,28.57142857142857,21.428571428571427,21.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,14.285714285714285,0.0
19,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
