Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,1142|560|298|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1142|560|298|,nan|nan|nan|,nan|nan|nan|,0|1142|858|,0|0|0|,4179|1142|858|,0|0|0|,1184|459|358|,0|0|0|,0|0|0|,1184|459|358|,0|0|0|,0|0|0|,1097|352|268|,17|23|105|,0|0|0|
1,0|1|2|,1080|329|163|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1080|329|163|,nan|nan|nan|,nan|nan|nan|,0|1080|492|,0|0|0|,2009|1080|492|,0|0|0|,924|555|316|,0|0|0|,0|0|0|,924|555|316|,0|0|0|,0|0|0|,852|527|242|,13|25|94|,0|0|0|
2,0|1|2|,839|502|148|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,839|502|148|,nan|nan|nan|,nan|nan|nan|,0|839|650|,0|0|0|,5250|839|650|,0|0|0|,1306|237|195|,0|0|0|,0|0|0|,1306|237|195|,0|0|0|,0|0|0|,1197|215|164|,16|7|55|,0|0|0|
3,0|1|2|,1181|208|109|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1181|208|109|,nan|nan|nan|,nan|nan|nan|,0|1181|317|,0|0|0|,2139|1181|317|,0|0|0|,908|628|159|,0|0|0|,0|0|0|,908|628|159|,0|0|0|,0|0|0|,830|575|139|,14|22|52|,0|0|0|
4,0|1|2|,816|553|87|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,816|553|87|,nan|nan|nan|,nan|nan|nan|,0|816|640|,0|0|0|,5685|816|640|,0|0|0|,1267|266|168|,0|0|0|,0|0|0|,1267|266|168|,0|0|0|,0|0|0|,1192|238|158|,22|12|63|,0|0|0|
5,0|1|2|,1170|226|95|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1170|226|95|,nan|nan|nan|,nan|nan|nan|,0|1170|321|,0|0|0|,2526|1170|321|,0|0|0|,894|639|168|,0|0|0|,0|0|0|,894|639|168|,0|0|0|,0|0|0|,823|601|152|,20|33|71|,0|0|0|
6,0|1|2|,803|568|81|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,803|568|81|,nan|nan|nan|,nan|nan|nan|,0|803|649|,0|0|0|,5135|803|649|,0|0|0|,1252|272|176|,0|0|0|,0|0|0|,1252|272|176|,0|0|0|,0|0|0|,1160|246|159|,25|12|64|,0|0|0|
7,0|1|2|,1135|234|95|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1135|234|95|,nan|nan|nan|,nan|nan|nan|,0|1135|329|,0|0|0|,2492|1135|329|,0|0|0|,903|652|131|,0|0|0|,0|0|0|,903|652|131|,0|0|0|,0|0|0|,817|613|125|,9|45|53|,0|0|0|
8,0|1|2|,808|568|72|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,808|568|72|,nan|nan|nan|,nan|nan|nan|,0|808|640|,0|0|0|,5984|808|640|,0|0|0|,1217|306|171|,0|0|0|,0|0|0|,1217|306|171|,0|0|0|,0|0|0|,1117|291|158|,24|17|64|,0|0|0|
9,0|1|2|,1093|274|94|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1093|274|94|,nan|nan|nan|,nan|nan|nan|,0|1093|368|,0|0|0|,2482|1093|368|,0|0|0|,830|696|155|,0|0|0|,0|0|0|,830|696|155|,0|0|0|,0|0|0|,746|653|146|,15|35|63|,0|0|0|
