Year,ID,PatchID,Lineage
19,P1_Y17_UO468,1,0
18,P1_Y17_UO468,1,0
17,P1_Y15_UO570,1,0
16,P1_Y15_UO570,1,0
15,P7_Y13_UO408,1,0
14,P7_Y13_UO408,7,0
13,P7_Y11_UO682,7,0
12,P7_Y11_UO682,1,0
11,P19_Y9_UO33,7,0
10,P19_Y9_UO33,1,0
9,P7_Y7_UO436,19,0
8,P7_Y7_UO436,19,0
7,P7_Y5_UO1299,7,0
6,P7_Y5_UO1299,7,0
5,P20_Y3_UO748,7,0
4,P20_Y3_UO748,20,0
3,P13_Y1_UO1159,20,0
2,P13_Y1_UO1159,20,0
1,P16_Y-1_U64,13,0
0,P16_Y-1_U64,16,0
1,P6_Y-1_U34,11,0
0,P6_Y-1_U34,6,0
3,P11_Y1_UO797,11,0
2,P11_Y1_UO797,11,0
1,P14_Y-1_U18,11,0
0,P14_Y-1_U18,14,0
1,P4_Y-1_U90,7,0
0,P4_Y-1_U90,4,0
5,P14_Y3_UO554,14,0
4,P14_Y3_UO554,14,0
3,P14_Y1_UO639,14,0
2,P14_Y1_UO639,14,0
1,P14_Y-1_U97,14,0
0,P14_Y-1_U97,14,0
1,P2_Y-1_U67,15,0
0,P2_Y-1_U67,2,0
3,P1_Y0_UO867,1,0
2,P1_Y0_UO867,1,0
1,P1_Y0_UO867,1,0
0,P1_Y-1_U21,1,0
0,P17_Y-1_U42,17,0
7,P6_Y5_UO633,20,0
6,P6_Y5_UO633,6,0
5,P6_Y3_UO637,6,0
4,P6_Y3_UO637,6,0
3,P5_Y1_UO589,6,0
2,P5_Y1_UO589,5,0
1,P5_Y-1_U72,5,0
0,P5_Y-1_U72,5,0
1,P8_Y-1_U5,8,0
0,P8_Y-1_U5,8,0
3,P14_Y-1_U44,8,0
2,P14_Y-1_U44,8,0
1,P14_Y-1_U44,8,0
0,P14_Y-1_U44,14,0
5,P7_Y2_UO108,11,0
4,P7_Y2_UO108,11,0
3,P7_Y2_UO108,11,0
2,P19_Y0_UO1066,7,0
1,P19_Y0_UO1066,7,0
0,P19_Y-1_U56,19,0
0,P11_Y-1_U54,11,0
2,P2_Y-1_U81,3,0
1,P2_Y-1_U81,2,0
0,P2_Y-1_U81,2,0
9,P4_Y7_UO779,4,0
8,P4_Y7_UO779,4,0
7,P3_Y5_UO99,4,0
6,P3_Y5_UO99,4,0
5,P8_Y3_UO989,3,0
4,P8_Y3_UO989,3,0
3,P18_Y1_UO137,8,0
2,P18_Y1_UO137,18,0
1,P18_Y-1_U34,18,0
0,P18_Y-1_U34,18,0
1,P6_Y-1_U45,6,0
0,P6_Y-1_U45,6,0
3,P9_Y0_UO963,9,0
2,P9_Y0_UO963,9,0
1,P9_Y0_UO963,9,0
0,P9_Y-1_U17,9,0
0,P6_Y-1_U15,6,0
5,P14_Y3_UO624,17,0
4,P14_Y3_UO624,16,0
3,P3_Y1_UO944,14,0
2,P3_Y1_UO944,3,0
1,P3_Y-1_U56,3,0
0,P3_Y-1_U56,3,0
1,P10_Y-1_U20,7,0
0,P10_Y-1_U20,10,0
3,P11_Y1_UO676,1,0
2,P11_Y1_UO676,11,0
1,P11_Y-1_U2,11,0
0,P11_Y-1_U2,11,0
1,P14_Y-1_U25,19,0
0,P14_Y-1_U25,14,0
7,P18_Y5_UO474,3,0
6,P18_Y5_UO474,18,0
5,P13_Y3_UO297,18,0
4,P13_Y3_UO297,13,0
3,P20_Y1_UO323,13,0
2,P20_Y1_UO323,20,0
1,P20_Y-1_U35,20,0
0,P20_Y-1_U35,20,0
1,P19_Y-1_U88,6,0
0,P19_Y-1_U88,19,0
3,P13_Y1_UO548,6,0
2,P13_Y1_UO548,20,0
1,P16_Y-1_U64,13,0
0,P16_Y-1_U64,16,0
1,P3_Y-1_U83,3,0
0,P3_Y-1_U83,3,0
5,P11_Y3_UO210,19,0
4,P11_Y3_UO210,17,0
3,P11_Y1_UO612,11,0
2,P11_Y1_UO612,11,0
1,P4_Y-1_U64,11,0
0,P4_Y-1_U64,4,0
1,P18_Y-1_U11,4,0
0,P18_Y-1_U11,18,0
3,P13_Y1_UO1162,13,0
2,P13_Y1_UO1162,13,0
1,P16_Y-1_U64,13,0
0,P16_Y-1_U64,16,0
1,P6_Y-1_U34,11,0
0,P6_Y-1_U34,6,0
11,P20_Y9_UO555,20,0
10,P20_Y9_UO555,20,0
9,P20_Y7_UO1141,20,0
8,P20_Y7_UO1141,20,0
7,P5_Y5_UO42,20,0
6,P5_Y5_UO42,20,0
5,P5_Y3_UO781,5,0
4,P5_Y3_UO781,5,0
3,P5_Y1_UO1224,5,0
2,P5_Y1_UO1224,5,0
1,P5_Y-1_U35,5,0
0,P5_Y-1_U35,5,0
1,P17_Y-1_U23,17,0
0,P17_Y-1_U23,17,0
3,P18_Y0_UO744,1,0
2,P18_Y0_UO744,1,0
1,P18_Y0_UO744,18,0
0,P18_Y-1_U50,18,0
0,P3_Y-1_U93,3,0
5,P17_Y3_UO1013,13,0
4,P17_Y3_UO1013,6,0
3,P18_Y1_UO1,17,0
2,P18_Y1_UO1,17,0
1,P5_Y-1_U81,18,0
0,P5_Y-1_U81,5,0
1,P6_Y-1_U26,19,0
0,P6_Y-1_U26,6,0
3,P11_Y1_UO616,10,0
2,P11_Y1_UO616,10,0
1,P4_Y-1_U64,11,0
0,P4_Y-1_U64,4,0
1,P18_Y-1_U11,4,0
0,P18_Y-1_U11,18,0
7,P20_Y5_UO54,15,0
6,P20_Y5_UO54,5,0
5,P17_Y3_UO939,20,0
4,P17_Y3_UO939,15,0
3,P18_Y1_UO644,17,0
2,P18_Y1_UO644,17,0
1,P5_Y-1_U81,18,0
0,P5_Y-1_U81,5,0
1,P20_Y-1_U40,8,0
0,P20_Y-1_U40,20,0
3,P14_Y1_UO625,4,0
2,P14_Y1_UO625,4,0
1,P14_Y-1_U71,14,0
0,P14_Y-1_U71,14,0
1,P17_Y-1_U85,2,0
0,P17_Y-1_U85,17,0
5,P1_Y3_UO319,10,0
4,P1_Y3_UO319,1,0
3,P16_Y1_UO408,1,0
2,P16_Y1_UO408,12,0
1,P16_Y-1_U21,16,0
0,P16_Y-1_U21,16,0
1,P6_Y-1_U60,11,0
0,P6_Y-1_U60,6,0
3,P11_Y1_UO189,3,0
2,P11_Y1_UO189,3,0
1,P4_Y-1_U64,11,0
0,P4_Y-1_U64,4,0
1,P18_Y-1_U65,9,0
0,P18_Y-1_U65,18,0
9,P3_Y7_UO650,7,0
8,P3_Y7_UO650,5,0
7,P15_Y5_UO165,3,0
6,P15_Y5_UO165,15,0
5,P15_Y3_UO34,15,0
4,P15_Y3_UO34,15,0
3,P15_Y1_UO22,15,0
2,P15_Y1_UO22,15,0
1,P15_Y-1_U81,15,0
0,P15_Y-1_U81,15,0
1,P11_Y-1_U4,4,0
0,P11_Y-1_U4,11,0
3,P8_Y0_UO1093,19,0
2,P8_Y0_UO1093,19,0
1,P8_Y0_UO1093,1,0
0,P8_Y-1_U21,8,0
0,P19_Y-1_U25,19,0
5,P19_Y3_UO335,19,0
4,P19_Y3_UO335,19,0
3,P2_Y1_UO357,19,0
2,P2_Y1_UO357,2,0
1,P2_Y-1_U39,2,0
0,P2_Y-1_U39,2,0
1,P5_Y-1_U21,6,0
0,P5_Y-1_U21,5,0
3,P15_Y1_UO187,6,0
2,P15_Y1_UO187,6,0
1,P15_Y-1_U5,15,0
0,P15_Y-1_U5,15,0
1,P16_Y-1_U53,12,0
0,P16_Y-1_U53,16,0
7,P16_Y4_UO676,9,0
6,P16_Y4_UO676,9,0
5,P16_Y4_UO676,9,0
4,P5_Y2_UO503,16,0
3,P5_Y2_UO503,16,0
2,P2_Y0_UO890,5,0
1,P2_Y0_UO890,5,0
0,P2_Y-1_U74,2,0
0,P9_Y-1_U82,9,0
2,P4_Y0_UO1159,4,0
1,P4_Y0_UO1159,4,0
0,P4_Y-1_U20,4,0
0,P18_Y-1_U14,18,0
4,P3_Y2_UO1333,18,0
3,P3_Y2_UO1333,18,0
2,P19_Y0_UO1102,3,0
1,P19_Y0_UO1102,3,0
0,P19_Y-1_U64,19,0
0,P12_Y-1_U35,12,0
2,P15_Y0_UO0,16,0
1,P15_Y0_UO0,15,0
0,P15_Y-1_U34,15,0
0,P14_Y-1_U9,14,0
13,P19_Y11_UO62,13,0
12,P19_Y11_UO62,19,0
11,P10_Y9_UO699,19,0
10,P10_Y9_UO699,19,0
9,P10_Y7_UO362,10,0
8,P10_Y7_UO362,10,0
7,P17_Y5_UO888,10,0
6,P17_Y5_UO888,10,0
5,P9_Y3_UO1142,17,0
4,P9_Y3_UO1142,17,0
3,P8_Y1_UO173,9,0
2,P8_Y1_UO173,8,0
1,P8_Y-1_U47,8,0
0,P8_Y-1_U47,8,0
1,P8_Y-1_U61,6,0
0,P8_Y-1_U61,8,0
3,P5_Y1_UO821,3,0
2,P5_Y1_UO821,5,0
1,P4_Y-1_U70,5,0
0,P4_Y-1_U70,4,0
1,P13_Y-1_U9,3,0
0,P13_Y-1_U9,13,0
5,P10_Y3_UO1045,10,0
4,P10_Y3_UO1045,10,0
3,P1_Y1_UO1112,10,0
2,P1_Y1_UO1112,1,0
1,P3_Y-1_U11,1,0
0,P3_Y-1_U11,3,0
1,P5_Y-1_U98,6,0
0,P5_Y-1_U98,5,0
3,P6_Y1_UO402,6,0
2,P6_Y1_UO402,19,0
1,P6_Y-1_U59,6,0
0,P6_Y-1_U59,6,0
1,P5_Y-1_U20,5,0
0,P5_Y-1_U20,5,0
7,P5_Y4_UO186,1,0
6,P5_Y4_UO186,13,0
5,P5_Y4_UO186,13,0
4,P14_Y2_UO644,5,0
3,P14_Y2_UO644,14,0
2,P16_Y0_UO9,14,0
1,P16_Y0_UO9,16,0
0,P16_Y-1_U13,16,0
0,P6_Y-1_U60,6,0
2,P12_Y0_UO810,12,0
1,P12_Y0_UO810,12,0
0,P12_Y-1_U66,12,0
0,P14_Y-1_U99,14,0
4,P4_Y2_UO177,14,0
3,P4_Y2_UO177,14,0
2,P11_Y0_UO1107,4,0
1,P11_Y0_UO1107,13,0
0,P11_Y-1_U98,11,0
0,P14_Y-1_U70,14,0
