Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,4.749340369393139,6.068601583113456,6.068601583113456,5.540897097625329,5.013192612137203,5.013192612137203,2.638522427440633,3.95778364116095,5.804749340369393,4.221635883905013,5.804749340369393,5.540897097625329,4.749340369393139,5.013192612137203,4.485488126649076,5.277044854881266,5.540897097625329,5.013192612137203,5.277044854881266,4.221635883905013
1,4.40771349862259,7.43801652892562,5.785123966942149,4.683195592286501,5.5096418732782375,6.0606060606060606,4.40771349862259,3.3057851239669422,4.40771349862259,4.40771349862259,6.0606060606060606,5.5096418732782375,5.5096418732782375,4.132231404958678,6.0606060606060606,4.958677685950414,4.683195592286501,4.132231404958678,4.683195592286501,3.8567493112947657
2,5.49738219895288,4.973821989528796,6.020942408376963,6.282722513089005,4.450261780104712,3.1413612565445024,4.18848167539267,4.712041884816754,4.712041884816754,3.926701570680628,6.282722513089005,4.973821989528796,4.712041884816754,4.18848167539267,5.2356020942408374,5.7591623036649215,5.49738219895288,4.973821989528796,6.282722513089005,4.18848167539267
3,2.9810298102981028,7.588075880758807,5.420054200542006,7.588075880758807,2.9810298102981028,3.523035230352303,3.7940379403794036,4.607046070460704,4.336043360433604,4.0650406504065035,7.046070460704606,5.691056910569105,3.7940379403794036,4.878048780487805,8.672086720867208,5.149051490514905,5.420054200542006,5.149051490514905,4.336043360433604,2.9810298102981028
4,3.943661971830986,6.197183098591549,6.197183098591549,7.323943661971831,6.197183098591549,3.943661971830986,4.225352112676056,4.225352112676056,5.070422535211268,3.943661971830986,5.633802816901409,3.943661971830986,3.6619718309859155,4.225352112676056,5.352112676056338,5.352112676056338,5.915492957746479,5.633802816901409,5.915492957746479,3.0985915492957745
5,4.5592705167173255,4.86322188449848,5.775075987841945,5.775075987841945,3.343465045592705,3.64741641337386,4.86322188449848,4.25531914893617,4.25531914893617,3.64741641337386,6.079027355623101,6.079027355623101,3.951367781155015,4.5592705167173255,6.079027355623101,5.47112462006079,5.775075987841945,5.47112462006079,5.775075987841945,5.775075987841945
6,6.333333333333334,5.666666666666666,4.666666666666667,7.000000000000001,2.666666666666667,3.6666666666666665,5.0,4.666666666666667,5.666666666666666,5.0,3.6666666666666665,7.000000000000001,5.0,3.3333333333333335,6.0,5.0,7.000000000000001,5.0,3.0,4.666666666666667
7,4.363636363636364,4.7272727272727275,6.545454545454546,6.181818181818182,2.181818181818182,6.181818181818182,5.818181818181818,4.363636363636364,5.454545454545454,4.363636363636364,6.181818181818182,6.545454545454546,4.7272727272727275,4.7272727272727275,5.454545454545454,5.818181818181818,4.0,5.818181818181818,3.272727272727273,3.272727272727273
8,4.918032786885246,3.278688524590164,6.147540983606557,6.147540983606557,5.327868852459016,4.918032786885246,4.918032786885246,3.6885245901639343,4.918032786885246,4.508196721311475,5.327868852459016,6.147540983606557,6.147540983606557,4.918032786885246,4.508196721311475,6.147540983606557,3.278688524590164,5.327868852459016,4.098360655737705,5.327868852459016
9,6.666666666666667,3.8095238095238098,5.714285714285714,4.761904761904762,4.285714285714286,6.190476190476191,8.571428571428571,2.857142857142857,3.3333333333333335,4.285714285714286,6.666666666666667,5.238095238095238,5.238095238095238,5.714285714285714,3.8095238095238098,2.857142857142857,6.666666666666667,4.285714285714286,5.238095238095238,3.8095238095238098
10,4.519774011299435,4.519774011299435,4.519774011299435,5.084745762711865,5.084745762711865,5.084745762711865,3.389830508474576,2.824858757062147,5.649717514124294,3.389830508474576,7.344632768361582,5.649717514124294,6.214689265536723,5.649717514124294,5.084745762711865,5.649717514124294,3.389830508474576,3.954802259887006,6.214689265536723,6.779661016949152
11,5.369127516778524,3.3557046979865772,4.697986577181208,4.697986577181208,4.697986577181208,4.697986577181208,5.369127516778524,5.369127516778524,8.724832214765101,2.684563758389262,6.0402684563758395,7.38255033557047,3.3557046979865772,6.7114093959731544,4.026845637583892,5.369127516778524,4.026845637583892,6.0402684563758395,4.026845637583892,3.3557046979865772
12,4.724409448818897,1.574803149606299,5.511811023622047,5.511811023622047,4.724409448818897,4.724409448818897,3.937007874015748,5.511811023622047,2.3622047244094486,7.874015748031496,5.511811023622047,7.874015748031496,6.299212598425196,7.874015748031496,3.149606299212598,5.511811023622047,2.3622047244094486,5.511811023622047,5.511811023622047,3.937007874015748
13,4.166666666666666,6.25,2.083333333333333,3.125,6.25,8.333333333333332,4.166666666666666,7.291666666666667,4.166666666666666,4.166666666666666,2.083333333333333,6.25,2.083333333333333,5.208333333333334,1.0416666666666665,8.333333333333332,2.083333333333333,13.541666666666666,8.333333333333332,1.0416666666666665
14,5.263157894736842,9.210526315789473,5.263157894736842,0.0,5.263157894736842,6.578947368421052,5.263157894736842,5.263157894736842,2.631578947368421,6.578947368421052,5.263157894736842,2.631578947368421,1.3157894736842104,6.578947368421052,3.9473684210526314,6.578947368421052,3.9473684210526314,7.894736842105263,7.894736842105263,2.631578947368421
15,1.8867924528301887,3.7735849056603774,7.547169811320755,0.0,5.660377358490567,1.8867924528301887,5.660377358490567,7.547169811320755,3.7735849056603774,9.433962264150944,0.0,1.8867924528301887,11.320754716981133,9.433962264150944,1.8867924528301887,0.0,0.0,11.320754716981133,9.433962264150944,7.547169811320755
16,2.1739130434782608,4.3478260869565215,4.3478260869565215,8.695652173913043,2.1739130434782608,6.521739130434782,8.695652173913043,6.521739130434782,4.3478260869565215,8.695652173913043,4.3478260869565215,2.1739130434782608,6.521739130434782,4.3478260869565215,4.3478260869565215,2.1739130434782608,0.0,4.3478260869565215,8.695652173913043,6.521739130434782
