Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,1142|560|298|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1142|560|298|,nan|nan|nan|,nan|nan|nan|,0|1142|858|,0|0|0|,4804|1142|858|,0|0|0|,1290|392|318|,0|0|0|,0|0|0|,1290|392|318|,0|0|0|,0|0|0|,1249|375|310|,13|24|125|,0|0|0|
1,0|1|2|,1236|351|185|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1236|351|185|,nan|nan|nan|,nan|nan|nan|,0|1236|536|,0|0|0|,3254|1236|536|,0|0|0|,1236|542|223|,0|0|0|,0|0|0|,1236|542|223|,0|0|0|,0|0|0|,1206|525|218|,23|32|74|,0|0|0|
2,0|1|2|,1183|493|144|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1183|493|144|,nan|nan|nan|,nan|nan|nan|,0|1183|637|,0|0|0|,4119|1183|637|,0|0|0|,1346|441|212|,0|0|0|,0|0|0|,1346|441|212|,0|0|0|,0|0|0|,1305|431|206|,26|26|85|,0|0|0|
3,0|1|2|,1279|405|121|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1279|405|121|,nan|nan|nan|,nan|nan|nan|,0|1279|526|,0|0|0|,4181|1279|526|,0|0|0|,1286|509|205|,0|0|0|,0|0|0|,1286|509|205|,0|0|0|,0|0|0|,1248|500|198|,30|28|75|,0|0|0|
4,0|1|2|,1218|472|123|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1218|472|123|,nan|nan|nan|,nan|nan|nan|,0|1218|595|,0|0|0|,4594|1218|595|,0|0|0|,1351|449|200|,0|0|0|,0|0|0|,1351|449|200|,0|0|0|,0|0|0|,1311|435|193|,33|27|84|,0|0|0|
5,0|1|2|,1278|408|109|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1278|408|109|,nan|nan|nan|,nan|nan|nan|,0|1278|517|,0|0|0|,3985|1278|517|,0|0|0|,1314|504|182|,0|0|0|,0|0|0|,1314|504|182|,0|0|0|,0|0|0|,1264|479|180|,19|28|83|,0|0|0|
6,0|1|2|,1245|451|97|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1245|451|97|,nan|nan|nan|,nan|nan|nan|,0|1245|548|,0|0|0|,4486|1245|548|,0|0|0|,1387|417|196|,0|0|0|,0|0|0|,1387|417|196|,0|0|0|,0|0|0|,1348|409|190|,34|18|70|,0|0|0|
7,0|1|2|,1314|391|120|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1314|391|120|,nan|nan|nan|,nan|nan|nan|,0|1314|511|,0|0|0|,3989|1314|511|,0|0|0|,1360|463|177|,0|0|0|,0|0|0|,1360|463|177|,0|0|0|,0|0|0|,1318|449|171|,29|30|72|,0|0|0|
8,0|1|2|,1289|419|99|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1289|419|99|,nan|nan|nan|,nan|nan|nan|,0|1289|518|,0|0|0|,4669|1289|518|,0|0|0|,1387|434|167|,0|0|0|,0|0|0|,1387|434|167|,0|0|0|,0|0|0|,1334|417|162|,23|17|72|,0|0|0|
9,0|1|2|,1311|400|90|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1311|400|90|,nan|nan|nan|,nan|nan|nan|,0|1311|490|,0|0|0|,4587|1311|490|,0|0|0|,1378|462|161|,0|0|0|,0|0|0|,1378|462|161|,0|0|0|,0|0|0|,1333|447|152|,27|21|56|,0|0|0|
10,0|1|2|,1306|426|96|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1306|426|96|,nan|nan|nan|,nan|nan|nan|,0|1306|522|,0|0|0|,4564|1306|522|,0|0|0|,1338|477|185|,0|0|0|,0|0|0|,1338|477|185|,0|0|0|,0|0|0|,1280|465|179|,23|21|66|,0|0|0|
11,0|1|2|,1257|444|113|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1257|444|113|,nan|nan|nan|,nan|nan|nan|,0|1257|557|,0|0|0|,4658|1257|557|,0|0|0|,1417|398|185|,0|0|0|,0|0|0|,1417|398|185|,0|0|0|,0|0|0|,1367|386|182|,35|21|80|,0|0|0|
12,0|1|2|,1332|365|102|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1332|365|102|,nan|nan|nan|,nan|nan|nan|,0|1332|467|,0|0|0|,3653|1332|467|,0|0|0|,1308|532|160|,0|0|0|,0|0|0|,1308|532|160|,0|0|0|,0|0|0|,1254|506|156|,28|18|59|,0|0|0|
13,0|1|2|,1226|488|97|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1226|488|97|,nan|nan|nan|,nan|nan|nan|,0|1226|585|,0|0|0|,5039|1226|585|,0|0|0|,1422|416|162|,0|0|0|,0|0|0|,1422|416|162|,0|0|0|,0|0|0|,1390|400|156|,35|24|71|,0|0|0|
14,0|1|2|,1355|376|85|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1355|376|85|,nan|nan|nan|,nan|nan|nan|,0|1355|461|,0|0|0|,4123|1355|461|,0|0|0|,1324|520|156|,0|0|0|,0|0|0|,1324|520|156|,0|0|0|,0|0|0|,1285|501|151|,24|21|56|,0|0|0|
15,0|1|2|,1261|480|95|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1261|480|95|,nan|nan|nan|,nan|nan|nan|,0|1261|575|,0|0|0|,4944|1261|575|,0|0|0|,1427|383|190|,0|0|0|,0|0|0|,1427|383|190|,0|0|0|,0|0|0|,1377|369|183|,35|17|52|,0|0|0|
16,0|1|2|,1342|352|131|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1342|352|131|,nan|nan|nan|,nan|nan|nan|,0|1342|483|,0|0|0|,3328|1342|483|,0|0|0|,1210|594|196|,0|0|0|,0|0|0|,1210|594|196|,0|0|0|,0|0|0|,1160|575|191|,18|38|73|,0|0|0|
17,0|1|2|,1142|537|118|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1142|537|118|,nan|nan|nan|,nan|nan|nan|,0|1142|655|,0|0|0|,5355|1142|655|,0|0|0|,1454|362|184|,0|0|0|,0|0|0|,1454|362|184|,0|0|0|,0|0|0|,1413|352|176|,32|12|74|,0|0|0|
18,0|1|2|,1381|340|102|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1381|340|102|,nan|nan|nan|,nan|nan|nan|,0|1381|442|,0|0|0|,3634|1381|442|,0|0|0|,1244|575|181|,0|0|0|,0|0|0|,1244|575|181|,0|0|0|,0|0|0|,1201|559|178|,28|27|73|,0|0|0|
19,0|1|2|,1173|532|105|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1173|532|105|,nan|nan|nan|,nan|nan|nan|,0|1173|637|,0|0|0|,4489|1173|637|,0|0|0|,1299|473|228|,0|0|0|,0|0|0|,1299|473|228|,0|0|0|,0|0|0|,1266|451|226|,24|22|97|,0|0|0|
20,0|1|2|,1242|429|129|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1242|429|129|,nan|nan|nan|,nan|nan|nan|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|
