Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,5.851063829787234,6.382978723404255,6.117021276595745,5.319148936170213,3.1914893617021276,4.521276595744681,6.382978723404255,3.1914893617021276,4.521276595744681,3.1914893617021276,3.723404255319149,4.25531914893617,6.382978723404255,3.4574468085106385,5.053191489361701,4.25531914893617,7.180851063829788,4.521276595744681,8.24468085106383,4.25531914893617
1,5.084745762711865,5.649717514124294,7.344632768361582,2.824858757062147,3.954802259887006,4.23728813559322,7.344632768361582,4.23728813559322,5.367231638418079,5.084745762711865,3.1073446327683616,5.084745762711865,5.084745762711865,6.214689265536723,5.649717514124294,5.367231638418079,6.779661016949152,2.824858757062147,3.954802259887006,4.80225988700565
2,6.158357771260997,4.69208211143695,6.451612903225806,4.398826979472141,3.519061583577713,2.932551319648094,6.451612903225806,3.225806451612903,4.105571847507331,4.105571847507331,4.398826979472141,5.278592375366569,7.038123167155426,4.69208211143695,5.278592375366569,5.278592375366569,6.744868035190615,4.9853372434017595,5.278592375366569,4.9853372434017595
3,9.912536443148689,4.373177842565598,5.539358600583091,6.705539358600583,2.3323615160349855,3.206997084548105,2.623906705539359,4.664723032069971,3.206997084548105,7.288629737609329,3.498542274052478,6.997084548104956,8.454810495626822,5.830903790087463,5.247813411078718,3.7900874635568513,5.247813411078718,2.9154518950437316,4.373177842565598,3.7900874635568513
4,6.325301204819277,4.518072289156627,5.120481927710843,6.626506024096386,1.8072289156626504,4.819277108433735,4.819277108433735,3.313253012048193,4.518072289156627,3.91566265060241,3.91566265060241,7.83132530120482,6.626506024096386,3.91566265060241,5.72289156626506,5.120481927710843,5.72289156626506,6.024096385542169,6.024096385542169,3.313253012048193
5,10.0,4.0625,5.9375,6.25,1.5625,3.75,4.375,3.125,4.6875,2.1875,4.0625,7.187499999999999,5.625,4.6875,4.6875,6.25,6.875000000000001,5.3125,6.875000000000001,2.5
6,6.0,5.333333333333334,7.333333333333333,5.333333333333334,3.0,3.6666666666666665,6.0,2.0,6.0,4.333333333333334,1.6666666666666667,6.333333333333334,6.0,6.0,4.333333333333334,6.0,5.333333333333334,5.333333333333334,7.666666666666666,2.3333333333333335
7,6.451612903225806,7.168458781362006,6.093189964157706,7.885304659498208,3.225806451612903,7.168458781362006,4.659498207885305,5.376344086021505,2.5089605734767026,3.584229390681003,0.7168458781362007,5.734767025089606,6.810035842293908,6.093189964157706,5.734767025089606,5.017921146953405,5.017921146953405,3.942652329749104,4.659498207885305,2.1505376344086025
8,7.03125,7.8125,6.25,5.46875,2.734375,5.078125,5.859375,4.6875,4.296875,3.125,2.734375,7.8125,5.078125,4.6875,4.296875,4.6875,5.078125,4.6875,6.25,2.34375
9,4.716981132075472,7.547169811320755,7.0754716981132075,6.60377358490566,3.30188679245283,2.358490566037736,3.30188679245283,6.60377358490566,2.8301886792452833,4.245283018867925,1.8867924528301887,8.962264150943396,5.660377358490567,5.188679245283019,7.547169811320755,7.547169811320755,5.188679245283019,1.8867924528301887,5.188679245283019,2.358490566037736
10,6.467661691542288,6.467661691542288,7.462686567164178,5.970149253731343,1.4925373134328357,3.482587064676617,4.975124378109453,1.9900497512437811,3.482587064676617,4.975124378109453,1.9900497512437811,6.965174129353234,6.467661691542288,5.970149253731343,5.472636815920398,7.462686567164178,6.467661691542288,3.9800995024875623,6.467661691542288,1.9900497512437811
11,8.783783783783784,6.756756756756757,3.3783783783783785,6.756756756756757,1.3513513513513513,2.7027027027027026,4.054054054054054,4.054054054054054,3.3783783783783785,4.054054054054054,1.3513513513513513,5.405405405405405,3.3783783783783785,6.081081081081082,8.108108108108109,10.81081081081081,8.108108108108109,4.054054054054054,6.081081081081082,1.3513513513513513
12,9.420289855072465,7.971014492753622,6.521739130434782,5.072463768115942,0.7246376811594203,1.4492753623188406,7.246376811594203,2.898550724637681,5.072463768115942,5.072463768115942,1.4492753623188406,5.072463768115942,3.6231884057971016,6.521739130434782,6.521739130434782,10.144927536231885,6.521739130434782,3.6231884057971016,4.3478260869565215,0.7246376811594203
13,10.638297872340425,4.25531914893617,7.446808510638298,3.1914893617021276,0.0,2.127659574468085,4.25531914893617,6.382978723404255,3.1914893617021276,5.319148936170213,0.0,8.51063829787234,1.0638297872340425,11.702127659574469,8.51063829787234,7.446808510638298,6.382978723404255,6.382978723404255,3.1914893617021276,0.0
