Year,PatchID,Count,TotalAncestors,Proportion,Percentage
0,1,22,376,0.05851063829787234,5.851063829787234
0,2,24,376,0.06382978723404255,6.382978723404255
0,3,23,376,0.061170212765957445,6.117021276595745
0,4,20,376,0.05319148936170213,5.319148936170213
0,5,12,376,0.031914893617021274,3.1914893617021276
0,6,17,376,0.04521276595744681,4.521276595744681
0,7,24,376,0.06382978723404255,6.382978723404255
0,8,12,376,0.031914893617021274,3.1914893617021276
0,9,17,376,0.04521276595744681,4.521276595744681
0,10,12,376,0.031914893617021274,3.1914893617021276
0,11,14,376,0.03723404255319149,3.723404255319149
0,12,16,376,0.0425531914893617,4.25531914893617
0,13,24,376,0.06382978723404255,6.382978723404255
0,14,13,376,0.034574468085106384,3.4574468085106385
0,15,19,376,0.05053191489361702,5.053191489361701
0,16,16,376,0.0425531914893617,4.25531914893617
0,17,27,376,0.07180851063829788,7.180851063829788
0,18,17,376,0.04521276595744681,4.521276595744681
0,19,31,376,0.08244680851063829,8.24468085106383
0,20,16,376,0.0425531914893617,4.25531914893617
1,1,18,354,0.05084745762711865,5.084745762711865
1,2,20,354,0.05649717514124294,5.649717514124294
1,3,26,354,0.07344632768361582,7.344632768361582
1,4,10,354,0.02824858757062147,2.824858757062147
1,5,14,354,0.03954802259887006,3.954802259887006
1,6,15,354,0.0423728813559322,4.23728813559322
1,7,26,354,0.07344632768361582,7.344632768361582
1,8,15,354,0.0423728813559322,4.23728813559322
1,9,19,354,0.05367231638418079,5.367231638418079
1,10,18,354,0.05084745762711865,5.084745762711865
1,11,11,354,0.031073446327683617,3.1073446327683616
1,12,18,354,0.05084745762711865,5.084745762711865
1,13,18,354,0.05084745762711865,5.084745762711865
1,14,22,354,0.062146892655367235,6.214689265536723
1,15,20,354,0.05649717514124294,5.649717514124294
1,16,19,354,0.05367231638418079,5.367231638418079
1,17,24,354,0.06779661016949153,6.779661016949152
1,18,10,354,0.02824858757062147,2.824858757062147
1,19,14,354,0.03954802259887006,3.954802259887006
1,20,17,354,0.0480225988700565,4.80225988700565
2,1,21,341,0.06158357771260997,6.158357771260997
2,2,16,341,0.0469208211143695,4.69208211143695
2,3,22,341,0.06451612903225806,6.451612903225806
2,4,15,341,0.04398826979472141,4.398826979472141
2,5,12,341,0.03519061583577713,3.519061583577713
2,6,10,341,0.02932551319648094,2.932551319648094
2,7,22,341,0.06451612903225806,6.451612903225806
2,8,11,341,0.03225806451612903,3.225806451612903
2,9,14,341,0.04105571847507331,4.105571847507331
2,10,14,341,0.04105571847507331,4.105571847507331
2,11,15,341,0.04398826979472141,4.398826979472141
2,12,18,341,0.05278592375366569,5.278592375366569
2,13,24,341,0.07038123167155426,7.038123167155426
2,14,16,341,0.0469208211143695,4.69208211143695
2,15,18,341,0.05278592375366569,5.278592375366569
2,16,18,341,0.05278592375366569,5.278592375366569
2,17,23,341,0.06744868035190615,6.744868035190615
2,18,17,341,0.04985337243401759,4.9853372434017595
2,19,18,341,0.05278592375366569,5.278592375366569
2,20,17,341,0.04985337243401759,4.9853372434017595
3,1,34,343,0.09912536443148688,9.912536443148689
3,2,15,343,0.043731778425655975,4.373177842565598
3,3,19,343,0.05539358600583091,5.539358600583091
3,4,23,343,0.06705539358600583,6.705539358600583
3,5,8,343,0.023323615160349854,2.3323615160349855
