Year,ID,PatchID,Lineage
19,P19_Y17_UO26,1,0
18,P19_Y17_UO26,19,0
17,P19_Y15_UO540,19,0
16,P19_Y15_UO540,2,0
15,P19_Y13_UO337,19,0
14,P19_Y13_UO337,19,0
13,P19_Y11_UO431,19,0
12,P19_Y11_UO431,19,0
11,P2_Y9_UO684,19,0
10,P2_Y9_UO684,2,0
9,P2_Y7_UO726,2,0
8,P2_Y7_UO726,19,0
7,P15_Y5_UO765,2,0
6,P15_Y5_UO765,2,0
5,P2_Y3_UO193,15,0
4,P2_Y3_UO193,15,0
3,P2_Y1_UO406,2,0
2,P2_Y1_UO406,2,0
1,P19_Y-1_U48,2,0
0,P19_Y-1_U48,19,0
1,P2_Y-1_U2,19,0
0,P2_Y-1_U2,2,0
3,P19_Y1_UO733,19,0
2,P19_Y1_UO733,19,0
1,P2_Y-1_U29,19,0
0,P2_Y-1_U29,2,0
1,P17_Y-1_U54,2,0
0,P17_Y-1_U54,17,0
5,P2_Y3_UO113,2,0
4,P2_Y3_UO113,2,0
3,P19_Y1_UO1015,2,0
2,P19_Y1_UO1015,19,0
1,P19_Y-1_U49,19,0
0,P19_Y-1_U49,19,0
1,P2_Y-1_U78,2,0
0,P2_Y-1_U78,2,0
3,P19_Y0_UO889,19,0
2,P19_Y0_UO889,2,0
1,P19_Y0_UO889,19,0
0,P19_Y-1_U91,19,0
0,P1_Y-1_U7,1,0
7,P19_Y5_UO957,19,0
6,P19_Y5_UO957,19,0
5,P2_Y3_UO359,19,0
4,P2_Y3_UO359,2,0
3,P2_Y1_UO406,2,0
2,P2_Y1_UO406,2,0
1,P19_Y-1_U48,2,0
0,P19_Y-1_U48,19,0
1,P2_Y-1_U2,19,0
0,P2_Y-1_U2,2,0
3,P19_Y1_UO733,19,0
2,P19_Y1_UO733,19,0
1,P2_Y-1_U29,19,0
0,P2_Y-1_U29,2,0
1,P17_Y-1_U54,2,0
0,P17_Y-1_U54,17,0
5,P3_Y3_UO808,17,0
4,P3_Y3_UO808,3,0
3,P3_Y1_UO837,3,0
2,P3_Y1_UO837,3,0
1,P3_Y-1_U84,3,0
0,P3_Y-1_U84,3,0
1,P17_Y-1_U71,17,0
