Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,1142|560|298|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1142|560|298|,nan|nan|nan|,nan|nan|nan|,0|1142|858|,0|0|0|,5160|1142|858|,0|0|0|,1371|366|263|,0|0|0|,0|0|0|,1371|366|263|,0|0|0|,0|0|0|,1263|346|245|,17|18|95|,0|0|0|
1,0|1|2|,1246|328|150|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1246|328|150|,nan|nan|nan|,nan|nan|nan|,0|1246|478|,0|0|0|,2582|1246|478|,0|0|0|,1041|696|257|,0|0|0|,0|0|0|,1041|696|257|,0|0|0|,0|0|0|,977|664|246|,24|29|95|,0|0|0|
2,0|1|2|,953|635|151|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,953|635|151|,nan|nan|nan|,nan|nan|nan|,0|953|786|,0|0|0|,5548|953|786|,0|0|0|,1459|313|228|,0|0|0|,0|0|0|,1459|313|228|,0|0|0|,0|0|0|,1354|290|208|,19|10|87|,0|0|0|
3,0|1|2|,1335|280|121|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1335|280|121|,nan|nan|nan|,nan|nan|nan|,0|1335|401|,0|0|0|,3186|1335|401|,0|0|0|,1157|662|170|,0|0|0|,0|0|0|,1157|662|170|,0|0|0|,0|0|0|,1073|622|158|,19|32|71|,0|0|0|
4,0|1|2|,1054|590|87|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1054|590|87|,nan|nan|nan|,nan|nan|nan|,0|1054|677|,0|0|0|,6181|1054|677|,0|0|0|,1474|330|196|,0|0|0|,0|0|0|,1474|330|196|,0|0|0|,0|0|0|,1379|308|184|,18|19|65|,0|0|0|
5,0|1|2|,1361|289|119|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1361|289|119|,nan|nan|nan|,nan|nan|nan|,0|1361|408|,0|0|0|,3015|1361|408|,0|0|0|,1051|760|186|,0|0|0|,0|0|0|,1051|760|186|,0|0|0|,0|0|0|,968|723|174|,21|33|59|,0|0|0|
6,0|1|2|,947|690|115|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,947|690|115|,nan|nan|nan|,nan|nan|nan|,0|947|805|,0|0|0|,7304|947|805|,0|0|0|,1545|251|204|,0|0|0|,0|0|0|,1545|251|204|,0|0|0|,0|0|0|,1435|239|187|,31|10|78|,0|0|0|
7,0|1|2|,1404|229|109|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1404|229|109|,nan|nan|nan|,nan|nan|nan|,0|1404|338|,0|0|0|,2065|1404|338|,0|0|0|,816|943|191|,0|0|0|,0|0|0|,816|943|191|,0|0|0|,0|0|0|,761|890|171|,21|40|65|,0|0|0|
8,0|1|2|,740|850|106|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,740|850|106|,nan|nan|nan|,nan|nan|nan|,0|740|956|,0|0|0|,8543|740|956|,0|0|0|,1633|181|186|,0|0|0|,0|0|0|,1633|181|186|,0|0|0|,0|0|0|,1539|169|178|,27|4|75|,0|0|0|
9,0|1|2|,1512|165|103|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1512|165|103|,nan|nan|nan|,nan|nan|nan|,0|1512|268|,0|0|0|,1634|1512|268|,0|0|0|,713|1059|174|,0|0|0|,0|0|0|,713|1059|174|,0|0|0|,0|0|0|,651|996|158|,5|50|65|,0|0|0|
