Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,599|269|132|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,599|269|132|,nan|nan|nan|,nan|nan|nan|,0|599|401|,0|0|0|,2074|599|401|,0|0|0|,599|245|156|,0|0|0|,0|0|0|,599|245|156|,0|0|0|,0|0|0|,508|160|103|,10|11|39|,0|0|0|
1,0|1|2|,498|149|64|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,498|149|64|,nan|nan|nan|,nan|nan|nan|,0|498|213|,0|0|0|,1527|498|213|,0|0|0|,572|228|100|,0|0|0|,0|0|0|,572|228|100|,0|0|0|,0|0|0|,492|199|81|,5|11|32|,0|0|0|
2,0|1|2|,487|188|49|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,487|188|49|,nan|nan|nan|,nan|nan|nan|,0|487|237|,0|0|0|,1868|487|237|,0|0|0|,590|206|85|,0|0|0|,0|0|0|,590|206|85|,0|0|0|,0|0|0|,515|174|73|,5|6|30|,0|0|0|
3,0|1|2|,510|168|43|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,510|168|43|,nan|nan|nan|,nan|nan|nan|,0|510|211|,0|0|0|,1444|510|211|,0|0|0|,543|259|98|,0|0|0|,0|0|0|,543|259|98|,0|0|0|,0|0|0|,451|233|90|,9|10|27|,0|0|0|
4,0|1|2|,442|223|63|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,442|223|63|,nan|nan|nan|,nan|nan|nan|,0|442|286|,0|0|0|,2122|442|286|,0|0|0|,612|158|96|,0|0|0|,0|0|0|,612|158|96|,0|0|0|,0|0|0|,564|139|86|,8|8|32|,0|0|0|
5,0|1|2|,556|131|54|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,556|131|54|,nan|nan|nan|,nan|nan|nan|,0|556|185|,0|0|0|,1475|556|185|,0|0|0|,545|268|76|,0|0|0|,0|0|0|,545|268|76|,0|0|0|,0|0|0|,483|227|66|,15|8|34|,0|0|0|
6,0|1|2|,468|219|32|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,468|219|32|,nan|nan|nan|,nan|nan|nan|,0|468|251|,0|0|0|,2477|468|251|,0|0|0|,573|212|80|,0|0|0|,0|0|0|,573|212|80|,0|0|0|,0|0|0|,526|183|77|,13|9|31|,0|0|0|
7,0|1|2|,513|174|46|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,513|174|46|,nan|nan|nan|,nan|nan|nan|,0|513|220|,0|0|0|,1320|513|220|,0|0|0|,469|314|91|,0|0|0|,0|0|0|,469|314|91|,0|0|0|,0|0|0|,421|270|83|,3|17|38|,0|0|0|
8,0|1|2|,418|253|45|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,418|253|45|,nan|nan|nan|,nan|nan|nan|,0|418|298|,0|0|0|,2875|418|298|,0|0|0|,590|166|88|,0|0|0|,0|0|0|,590|166|88|,0|0|0|,0|0|0|,531|148|83|,13|7|31|,0|0|0|
9,0|1|2|,518|141|52|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,518|141|52|,nan|nan|nan|,nan|nan|nan|,0|518|193|,0|0|0|,1945|518|193|,0|0|0|,465|339|73|,0|0|0|,0|0|0|,465|339|73|,0|0|0|,0|0|0|,410|304|67|,8|18|25|,0|0|0|
10,0|1|2|,402|286|42|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,402|286|42|,nan|nan|nan|,nan|nan|nan|,0|402|328|,0|0|0|,2616|402|328|,0|0|0|,553|189|88|,0|0|0|,0|0|0|,553|189|88|,0|0|0|,0|0|0|,515|183|83|,9|7|31|,0|0|0|
11,0|1|2|,506|176|52|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,506|176|52|,nan|nan|nan|,nan|nan|nan|,0|506|228|,0|0|0|,1366|506|228|,0|0|0|,420|362|93|,0|0|0|,0|0|0|,420|362|93|,0|0|0|,0|0|0|,355|322|80|,9|7|29|,0|0|0|
12,0|1|2|,346|315|51|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,346|315|51|,nan|nan|nan|,nan|nan|nan|,0|346|366|,0|0|0|,3100|346|366|,0|0|0|,627|151|91|,0|0|0|,0|0|0|,627|151|91|,0|0|0|,0|0|0|,566|129|81|,17|5|31|,0|0|0|
13,0|1|2|,549|124|50|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,549|124|50|,nan|nan|nan|,nan|nan|nan|,0|549|174|,0|0|0|,1425|549|174|,0|0|0|,472|357|71|,0|0|0|,0|0|0|,472|357|71|,0|0|0|,0|0|0|,397|323|66|,9|13|23|,0|0|0|
14,0|1|2|,388|310|43|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,388|310|43|,nan|nan|nan|,nan|nan|nan|,0|388|353|,0|0|0|,3676|388|353|,0|0|0|,652|134|71|,0|0|0|,0|0|0|,652|134|71|,0|0|0|,0|0|0|,583|117|66|,9|5|20|,0|0|0|
15,0|1|2|,574|112|46|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,574|112|46|,nan|nan|nan|,nan|nan|nan|,0|574|158|,0|0|0|,880|574|158|,0|0|0|,398|390|91|,0|0|0|,0|0|0|,398|390|91|,0|0|0|,0|0|0|,350|349|78|,5|20|30|,0|0|0|
16,0|1|2|,345|329|48|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,345|329|48|,nan|nan|nan|,nan|nan|nan|,0|345|377|,0|0|0|,3564|345|377|,0|0|0|,734|94|72|,0|0|0|,0|0|0|,734|94|72|,0|0|0|,0|0|0|,658|68|62|,18|5|27|,0|0|0|
17,0|1|2|,640|63|35|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,640|63|35|,nan|nan|nan|,nan|nan|nan|,0|640|98|,0|0|0|,706|640|98|,0|0|0|,369|467|64|,0|0|0|,0|0|0|,369|467|64|,0|0|0|,0|0|0|,321|412|55|,14|21|20|,0|0|0|
18,0|1|2|,307|391|35|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,307|391|35|,nan|nan|nan|,nan|nan|nan|,0|307|426|,0|0|0|,3793|307|426|,0|0|0|,719|89|92|,0|0|0|,0|0|0|,719|89|92|,0|0|0|,0|0|0|,622|66|76|,16|2|29|,0|0|0|
19,0|1|2|,606|64|47|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,606|64|47|,nan|nan|nan|,nan|nan|nan|,0|606|111|,0|0|0|,488|606|111|,0|0|0|,280|462|79|,0|0|0|,0|0|0|,280|462|79|,0|0|0|,0|0|0|,257|433|76|,9|38|27|,0|0|0|
20,0|1|2|,248|395|49|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,248|395|49|,nan|nan|nan|,nan|nan|nan|,0|248|444|,0|0|0|,4486|248|444|,0|0|0|,756|57|86|,0|0|0|,0|0|0|,756|57|86|,0|0|0|,0|0|0|,648|49|73|,12|3|27|,0|0|0|
21,0|1|2|,636|46|46|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,636|46|46|,nan|nan|nan|,nan|nan|nan|,0|636|92|,0|0|0|,431|636|92|,0|0|0|,287|499|69|,0|0|0|,0|0|0|,287|499|69|,0|0|0|,0|0|0|,248|466|64|,5|24|26|,0|0|0|
22,0|1|2|,243|442|38|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,243|442|38|,nan|nan|nan|,nan|nan|nan|,0|243|480|,0|0|0|,3965|243|480|,0|0|0|,768|42|90|,0|0|0|,0|0|0|,768|42|90|,0|0|0|,0|0|0|,660|35|82|,13|2|32|,0|0|0|
23,0|1|2|,647|33|50|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,647|33|50|,nan|nan|nan|,nan|nan|nan|,0|647|83|,0|0|0|,345|647|83|,0|0|0|,230|529|64|,0|0|0|,0|0|0|,230|529|64|,0|0|0|,0|0|0|,223|493|60|,4|25|30|,0|0|0|
24,0|1|2|,219|468|30|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,219|468|30|,nan|nan|nan|,nan|nan|nan|,0|219|498|,0|0|0|,5095|219|498|,0|0|0|,772|41|87|,0|0|0|,0|0|0|,772|41|87|,0|0|0|,0|0|0|,666|35|77|,11|2|31|,0|0|0|
25,0|1|2|,655|33|46|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,655|33|46|,nan|nan|nan|,nan|nan|nan|,0|655|79|,0|0|0|,307|655|79|,0|0|0|,201|525|64|,0|0|0|,0|0|0|,201|525|64|,0|0|0|,0|0|0|,196|512|64|,4|30|22|,0|0|0|
26,0|1|2|,192|482|42|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,192|482|42|,nan|nan|nan|,nan|nan|nan|,0|192|524|,0|0|0|,3871|192|524|,0|0|0|,743|55|102|,0|0|0|,0|0|0|,743|55|102|,0|0|0|,0|0|0|,647|49|90|,17|6|34|,0|0|0|
27,0|1|2|,630|43|56|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,630|43|56|,nan|nan|nan|,nan|nan|nan|,0|630|99|,0|0|0|,433|630|99|,0|0|0|,242|481|73|,0|0|0|,0|0|0|,242|481|73|,0|0|0|,0|0|0|,237|463|73|,9|23|24|,0|0|0|
28,0|1|2|,228|440|49|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,228|440|49|,nan|nan|nan|,nan|nan|nan|,0|228|489|,0|0|0|,4755|228|489|,0|0|0|,747|72|81|,0|0|0|,0|0|0|,747|72|81|,0|0|0|,0|0|0|,647|57|70|,16|4|35|,0|0|0|
29,0|1|2|,631|53|35|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,631|53|35|,nan|nan|nan|,nan|nan|nan|,0|631|88|,0|0|0|,623|631|88|,0|0|0|,293|467|48|,0|0|0|,0|0|0|,293|467|48|,0|0|0|,0|0|0|,272|447|43|,8|17|17|,0|0|0|
30,0|1|2|,264|430|26|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,264|430|26|,nan|nan|nan|,nan|nan|nan|,0|264|456|,0|0|0|,4985|264|456|,0|0|0|,716|89|79|,0|0|0|,0|0|0|,716|89|79|,0|0|0|,0|0|0|,634|70|72|,11|2|28|,0|0|0|
31,0|1|2|,623|68|44|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,623|68|44|,nan|nan|nan|,nan|nan|nan|,0|623|112|,0|0|0|,694|623|112|,0|0|0|,265|465|57|,0|0|0|,0|0|0|,265|465|57|,0|0|0|,0|0|0|,255|437|52|,8|25|20|,0|0|0|
32,0|1|2|,247|412|32|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,247|412|32|,nan|nan|nan|,nan|nan|nan|,0|247|444|,0|0|0|,3579|247|444|,0|0|0|,718|88|94|,0|0|0|,0|0|0|,718|88|94|,0|0|0|,0|0|0|,641|59|81|,21|2|42|,0|0|0|
33,0|1|2|,620|57|39|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,620|57|39|,nan|nan|nan|,nan|nan|nan|,0|620|96|,0|0|0|,294|620|96|,0|0|0|,156|532|71|,0|0|0|,0|0|0|,156|532|71|,0|0|0|,0|0|0|,156|526|70|,4|14|25|,0|0|0|
34,0|1|2|,152|512|45|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,152|512|45|,nan|nan|nan|,nan|nan|nan|,0|152|557|,0|0|0|,3933|152|557|,0|0|0|,735|44|121|,0|0|0|,0|0|0|,735|44|121|,0|0|0|,0|0|0|,621|32|105|,15|2|41|,0|0|0|
35,0|1|2|,606|30|64|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,606|30|64|,nan|nan|nan|,nan|nan|nan|,0|606|94|,0|0|0|,351|606|94|,0|0|0|,200|512|68|,0|0|0|,0|0|0|,200|512|68|,0|0|0|,0|0|0|,195|492|64|,1|23|27|,0|0|0|
36,0|1|2|,194|469|37|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,194|469|37|,nan|nan|nan|,nan|nan|nan|,0|194|506|,0|0|0|,3959|194|506|,0|0|0|,757|54|87|,0|0|0|,0|0|0|,757|54|87|,0|0|0|,0|0|0|,652|36|75|,16|1|38|,0|0|0|
37,0|1|2|,636|35|37|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,636|35|37|,nan|nan|nan|,nan|nan|nan|,0|636|72|,0|0|0|,440|636|72|,0|0|0|,219|526|54|,0|0|0|,0|0|0|,219|526|54|,0|0|0|,0|0|0|,214|503|50|,7|21|20|,0|0|0|
