Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,232|108|60|,31.0|53.0|92.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,232|108|60|,31.0|53.0|92.0|,0.0|0.0|0.0|,0|232|168|,0|0|0|,923|232|168|,0|0|0|,279|61|60|,0|0|0|,0|0|0|,279|61|60|,0|0|0|,0|0|0|,265|60|56|,7|5|33|,0|0|0|
1,0|1|2|,258|55|23|,31.0|31.0|66.56521739130434|,0.0|0.0|18.574938906696936|,31.0|53.0|92.0|,258|55|23|,31.0|31.0|66.56521739130434|,0.0|0.0|18.574938906696936|,0|258|78|,0|0|0|,651|258|78|,0|0|0|,256|119|25|,0|0|0|,0|0|0|,256|119|25|,0|0|0|,0|0|0|,253|111|25|,7|4|11|,0|0|0|
2,0|1|2|,246|107|14|,31.0|31.0|38.5|,0.0|0.0|16.693668603053418|,31.0|53.0|92.0|,246|107|14|,31.0|31.0|38.5|,0.0|0.0|16.693668603053418|,0|246|121|,0|0|0|,1669|246|121|,0|0|0|,324|50|26|,0|0|0|,0|0|0|,324|50|26|,0|0|0|,0|0|0|,317|48|26|,13|1|8|,0|0|0|
3,0|1|2|,304|47|18|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,304|47|18|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|304|65|,0|0|0|,459|304|65|,0|0|0|,211|151|38|,0|0|0|,0|0|0|,211|151|38|,0|0|0|,0|0|0|,209|148|37|,8|7|18|,0|0|0|
4,0|1|2|,201|141|19|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,201|141|19|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|201|160|,0|0|0|,1802|201|160|,0|0|0|,318|46|36|,0|0|0|,0|0|0|,318|46|36|,0|0|0|,0|0|0|,312|44|35|,5|2|17|,0|0|0|
5,0|1|2|,307|42|18|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,307|42|18|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|307|60|,0|0|0|,374|307|60|,0|0|0|,206|164|30|,0|0|0|,0|0|0|,206|164|30|,0|0|0|,0|0|0|,204|160|30|,2|11|10|,0|0|0|
6,0|1|2|,202|149|20|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,202|149|20|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|202|169|,0|0|0|,1633|202|169|,0|0|0|,310|52|38|,0|0|0|,0|0|0|,310|52|38|,0|0|0|,0|0|0|,302|52|38|,7|3|14|,0|0|0|
7,0|1|2|,295|49|24|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,295|49|24|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|295|73|,0|0|0|,551|295|73|,0|0|0|,225|146|29|,0|0|0|,0|0|0|,225|146|29|,0|0|0|,0|0|0|,219|143|29|,2|9|11|,0|0|0|
8,0|1|2|,217|134|18|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,217|134|18|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|217|152|,0|0|0|,1117|217|152|,0|0|0|,267|88|45|,0|0|0|,0|0|0|,267|88|45|,0|0|0|,0|0|0|,263|86|45|,8|4|13|,0|0|0|
9,0|1|2|,255|82|32|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,255|82|32|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|255|114|,0|0|0|,973|255|114|,0|0|0|,287|85|28|,0|0|0|,0|0|0|,287|85|28|,0|0|0|,0|0|0|,276|79|27|,12|3|11|,0|0|0|
10,0|1|2|,264|76|16|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,264|76|16|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|264|92|,0|0|0|,906|264|92|,0|0|0|,280|91|29|,0|0|0|,0|0|0|,280|91|29|,0|0|0|,0|0|0|,275|86|28|,4|2|8|,0|0|0|
11,0|1|2|,271|84|20|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,271|84|20|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|271|104|,0|0|0|,710|271|104|,0|0|0|,252|111|37|,0|0|0|,0|0|0|,252|111|37|,0|0|0|,0|0|0|,248|106|37|,3|6|13|,0|0|0|
12,0|1|2|,245|100|24|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,245|100|24|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|245|124|,0|0|0|,564|245|124|,0|0|0|,218|129|53|,0|0|0|,0|0|0|,218|129|53|,0|0|0|,0|0|0|,213|122|52|,3|6|22|,0|0|0|
13,0|1|2|,210|116|30|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,210|116|30|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|210|146|,0|0|0|,849|210|146|,0|0|0|,258|92|50|,0|0|0|,0|0|0|,258|92|50|,0|0|0|,0|0|0|,250|89|46|,4|1|22|,0|0|0|
14,0|1|2|,246|88|24|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,246|88|24|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|246|112|,0|0|0|,952|246|112|,0|0|0|,246|114|40|,0|0|0|,0|0|0|,246|114|40|,0|0|0|,0|0|0|,240|114|39|,13|6|16|,0|0|0|
15,0|1|2|,227|108|23|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,227|108|23|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|227|131|,0|0|0|,1381|227|131|,0|0|0|,297|81|22|,0|0|0|,0|0|0|,297|81|22|,0|0|0|,0|0|0|,288|80|21|,4|2|4|,0|0|0|
16,0|1|2|,284|78|17|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,284|78|17|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|284|95|,0|0|0|,591|284|95|,0|0|0|,201|162|37|,0|0|0|,0|0|0|,201|162|37|,0|0|0|,0|0|0|,194|150|34|,5|8|21|,0|0|0|
17,0|1|2|,189|142|13|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,189|142|13|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|189|155|,0|0|0|,1502|189|155|,0|0|0|,315|54|31|,0|0|0|,0|0|0|,315|54|31|,0|0|0|,0|0|0|,306|51|31|,6|3|10|,0|0|0|
18,0|1|2|,300|48|21|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,300|48|21|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|300|69|,0|0|0|,474|300|69|,0|0|0|,212|155|33|,0|0|0|,0|0|0|,212|155|33|,0|0|0|,0|0|0|,211|147|32|,8|5|11|,0|0|0|
19,0|1|2|,203|142|21|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,203|142|21|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|203|163|,0|0|0|,1628|203|163|,0|0|0|,268|80|52|,0|0|0|,0|0|0|,268|80|52|,0|0|0|,0|0|0|,262|70|46|,9|3|17|,0|0|0|
20,0|1|2|,253|67|29|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,253|67|29|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|253|96|,0|0|0|,704|253|96|,0|0|0|,191|178|31|,0|0|0|,0|0|0|,191|178|31|,0|0|0|,0|0|0|,182|165|30|,3|10|10|,0|0|0|
21,0|1|2|,179|155|20|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,179|155|20|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|179|175|,0|0|0|,1731|179|175|,0|0|0|,278|81|41|,0|0|0|,0|0|0|,278|81|41|,0|0|0|,0|0|0|,268|73|39|,2|1|17|,0|0|0|
22,0|1|2|,266|72|22|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,266|72|22|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|266|94|,0|0|0|,758|266|94|,0|0|0|,215|146|29|,0|0|0|,0|0|0|,215|146|29|,0|0|0|,0|0|0|,211|133|27|,5|6|12|,0|0|0|
23,0|1|2|,206|127|15|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,206|127|15|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|206|142|,0|0|0|,1090|206|142|,0|0|0|,279|87|34|,0|0|0|,0|0|0|,279|87|34|,0|0|0|,0|0|0|,275|82|33|,4|7|14|,0|0|0|
24,0|1|2|,271|75|19|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,271|75|19|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|271|94|,0|0|0|,693|271|94|,0|0|0|,178|170|40|,0|0|0|,0|0|0|,178|170|40|,0|0|0|,0|0|0|,173|154|39|,4|7|17|,0|0|0|
25,0|1|2|,169|147|22|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,169|147|22|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|169|169|,0|0|0|,1685|169|169|,0|0|0|,319|48|33|,0|0|0|,0|0|0|,319|48|33|,0|0|0|,0|0|0|,316|48|33|,11|1|14|,0|0|0|
26,0|1|2|,305|47|19|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,305|47|19|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|305|66|,0|0|0|,369|305|66|,0|0|0|,153|210|37|,0|0|0|,0|0|0|,153|210|37|,0|0|0|,0|0|0|,139|194|35|,3|11|17|,0|0|0|
27,0|1|2|,136|183|18|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,136|183|18|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|136|201|,0|0|0|,1681|136|201|,0|0|0|,291|54|55|,0|0|0|,0|0|0|,291|54|55|,0|0|0|,0|0|0|,280|51|52|,3|0|18|,0|0|0|
28,0|1|2|,277|51|34|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,277|51|34|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|277|85|,0|0|0|,395|277|85|,0|0|0|,179|166|41|,0|0|0|,0|0|0|,179|166|41|,0|0|0|,0|0|0|,179|166|40|,5|6|11|,0|0|0|
29,0|1|2|,174|160|29|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,174|160|29|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|174|189|,0|0|0|,2139|174|189|,0|0|0|,320|54|26|,0|0|0|,0|0|0|,320|54|26|,0|0|0|,0|0|0|,311|54|26|,2|4|9|,0|0|0|
30,0|1|2|,309|50|17|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,309|50|17|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|309|67|,0|0|0|,184|309|67|,0|0|0|,101|248|42|,0|0|0|,0|0|0|,101|248|42|,0|0|0|,0|0|0|,101|246|41|,3|8|23|,0|0|0|
31,0|1|2|,98|238|18|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,98|238|18|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|98|256|,0|0|0|,2666|98|256|,0|0|0|,344|18|38|,0|0|0|,0|0|0|,344|18|38|,0|0|0|,0|0|0|,334|17|36|,4|1|16|,0|0|0|
32,0|1|2|,330|16|20|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,330|16|20|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|330|36|,0|0|0|,182|330|36|,0|0|0|,122|241|30|,0|0|0|,0|0|0|,122|241|30|,0|0|0|,0|0|0|,120|234|30|,6|14|13|,0|0|0|
33,0|1|2|,114|220|17|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,114|220|17|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|114|237|,0|0|0|,2263|114|237|,0|0|0|,340|19|41|,0|0|0|,0|0|0|,340|19|41|,0|0|0|,0|0|0|,337|19|40|,4|0|13|,0|0|0|
34,0|1|2|,333|19|27|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,333|19|27|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|333|46|,0|0|0|,345|333|46|,0|0|0|,133|237|24|,0|0|0|,0|0|0|,133|237|24|,0|0|0|,0|0|0|,133|223|23|,1|8|10|,0|0|0|
35,0|1|2|,132|215|13|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,132|215|13|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|132|228|,0|0|0|,2212|132|228|,0|0|0|,335|31|34|,0|0|0|,0|0|0|,335|31|34|,0|0|0|,0|0|0|,329|30|34|,7|2|15|,0|0|0|
36,0|1|2|,322|28|19|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,322|28|19|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|322|47|,0|0|0|,350|322|47|,0|0|0|,125|235|24|,0|0|0|,0|0|0|,125|235|24|,0|0|0|,0|0|0|,125|229|24|,1|14|13|,0|0|0|
