Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,400.0|100.0|100.0|100.0|100.0|,0.9025,400|100|100|100|100|,41.75|45.92|43.04|45.09|,15.488302037344184|20.945013726421855|18.916088390573776|20.511506526825375|,185|42|54|44|45|,215|58|46|56|55|,0|0|0|0|0|,0|0|0|0|0|,77|20|23|17|17|,84|20|20|20|24|,0|0|0|0|0|,0|0|0|0|0|,161,239,77,1202|240|307|319|336|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1602|340|407|419|436|,1202|240|307|319|336|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,17.0|0|14.0|3.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,383|100|100|100|83|,22|8|4|5|5|,361|92|96|95|78|,4|4|4|4|4|,0.4999187500000001|0.49975|0.49817500000000003|0.49887499999999996|0.49975|,0.4925|0.49|0.495|0.515|0.47|,0.495,0.505,0.5075,0.4925,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400|100|100|100|100|,92|96|95|78|,0|0|0|0|,0|0|0|0|,0|0|0|0|,33|42|40|25|,0|0|0|0|,13,1,1,27,15,20
1,400.0|100.0|100.0|100.0|100.0|,1.0470914127423823,361|92|96|95|78|,32.43478260869565|33.822916666666664|32.97894736842105|34.53846153846154|,5.431999287287219|11.33486030614062|9.47126284845893|11.23945923018462|,171|44|42|44|41|,190|48|54|51|37|,0|0|0|0|0|,0|0|0|0|0|,36|10|11|7|8|,45|13|10|11|11|,0|0|0|0|0|,0|0|0|0|0|,81,280,36,468|63|132|133|140|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,829|155|228|228|218|,429|55|128|128|118|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,6.0|1.0|5.0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,394|100|100|95|99|,16|7|5|2|2|,378|93|95|93|97|,4|4|4|4|4|,0.4970822047099086|0.4923204158790171|0.4827202690972222|0.4943213296398892|0.4973290598290597|,0.538781163434903|0.5434782608695652|0.5885416666666666|0.5105263157894737|0.5064102564102564|,0.554016620498615,0.44598337950138506,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361|92|96|95|78|,93|95|93|97|,0|0|0|0|,0|0|0|0|,0|0|0|0|,27|38|20|30|,0|0|0|0|,1,2,1,16,4,12
2,400.0|100.0|100.0|100.0|100.0|,0.9497354497354498,378|93|95|93|97|,31.70967741935484|31.873684210526317|32.31182795698925|32.30927835051546|,3.8870633113269863|6.59544037915694|8.848763347926395|7.184405828465428|,178|42|42|43|51|,200|51|53|50|46|,0|0|0|0|0|,0|0|0|0|0|,71|20|16|16|19|,93|28|19|28|18|,0|0|0|0|0|,0|0|0|0|0|,164,214,71,1092|201|448|192|251|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1470|294|543|285|348|,1070|194|443|185|248|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,10.0|0|0|0|10.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,390|98|93|99|100|,31|7|8|9|7|,359|91|85|90|93|,4|4|4|4|4|,0.48884934632289134|0.49161752803792347|0.44875346260387816|0.49719620765406414|0.4782123498777767|,0.5383597883597884|0.5591397849462365|0.5052631578947369|0.521505376344086|0.5670103092783505|,0.6031746031746031,0.3968253968253968,0.5224867724867724,0.4775132275132275,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378|93|95|93|97|,91|85|90|93|,0|0|0|0|,0|0|0|0|,0|0|0|0|,35|45|31|34|,0|0|0|0|,5,4,3,27,14,18
3,400.0|100.0|100.0|100.0|100.0|,0.9972144846796658,359|91|85|90|93|,31.24175824175824|31.0|31.0|31.0|,2.2935200612210225|0.0|0.0|0.0|,172|44|42|45|41|,187|47|43|45|52|,0|0|0|0|0|,0|0|0|0|0|,34|9|3|14|8|,46|16|4|15|11|,0|0|0|0|0|,0|0|0|0|0|,80,279,34,378|153|0|114|111|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,737|244|85|204|204|,352|144|0|104|104|,0|0|0|0|0|,0|0|0|0|0|,385|100|85|100|100|,0|0|0|0|0|,385|100|85|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,6.0|0|6.0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,379|90|100|99|90|,21|6|6|7|2|,358|84|94|92|88|,4|4|4|4|4|,0.49731341314856337|0.48085979954111824|0.4876816608996539|0.4790123456790123|0.4975430685628397|,0.4777158774373259|0.5164835164835165|0.43529411764705883|0.43333333333333335|0.521505376344086|,0.5515320334261838,0.44846796657381616,0.49442896935933145,0.5055710306406686,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359|91|85|90|93|,84|94|92|88|,0|0|0|0|,0|0|0|0|,0|0|0|0|,13|21|27|16|,0|0|0|0|,1,1,1,13,4,14
4,400.0|100.0|100.0|100.0|100.0|,0.9497206703910615,358|84|94|92|88|,31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|,179|40|49|48|42|,179|44|45|44|46|,0|0|0|0|0|,0|0|0|0|0|,86|20|37|15|14|,108|22|36|25|25|,0|0|0|0|0|,0|0|0|0|0|,194,164,86,1117|273|520|56|268|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1475|357|614|148|356|,1075|257|514|48|256|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,21.0|0|0|16.0|5.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,379|98|81|100|100|,39|9|6|15|9|,340|89|75|85|91|,4|4|4|4|4|,0.4972593708061547|0.48976048752834467|0.48627772747849707|0.48567462192816635|0.49315599173553715|,0.4483240223463687|0.4583333333333333|0.4627659574468085|0.45108695652173914|0.42045454545454547|,0.5516759776536313,0.4483240223463687,0.5083798882681564,0.49162011173184356,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358|84|94|92|88|,89|75|85|91|,0|0|0|0|,0|0|0|0|,0|0|0|0|,36|24|29|35|,0|0|0|0|,16,8,7,29,11,15
5,400.0|100.0|100.0|100.0|100.0|,1.0911764705882352,340|89|75|85|91|,31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|,167|46|35|43|43|,173|43|40|42|48|,0|0|0|0|0|,0|0|0|0|0|,44|7|6|25|6|,41|9|2|21|9|,0|0|0|0|0|,0|0|0|0|0|,85,255,44,518|59|63|336|60|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,858|148|138|421|151|,458|48|38|321|51|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,4.0|0|2.0|0|2.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,396|98|100|98|100|,25|6|3|9|7|,371|92|97|89|93|,4|4|4|4|4|,0.49432525951557094|0.481536422168918|0.49644444444444447|0.49197231833910027|0.4945356840961236|,0.4676470588235294|0.47752808988764045|0.44|0.4823529411764706|0.46703296703296704|,0.5588235294117647,0.4411764705882353,0.5470588235294118,0.45294117647058824,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340|89|75|85|91|,92|97|89|93|,0|0|0|0|,0|0|0|0|,0|0|0|0|,22|29|33|25|,0|0|0|0|,4,6,1,18,9,6
6,400.0|100.0|100.0|100.0|100.0|,0.9245283018867925,371|92|97|89|93|,31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|,183|48|47|48|40|,188|44|50|41|53|,0|0|0|0|0|,0|0|0|0|0|,79|27|24|5|23|,90|29|25|8|28|,0|0|0|0|0|,0|0|0|0|0|,169,202,79,1324|536|318|17|453|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1695|628|415|106|546|,1295|528|315|6|446|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,32.0|0|4.0|28.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,368|79|100|100|89|,25|5|8|5|7|,343|74|92|95|82|,4|4|4|4|4|,0.4912871164841871|0.48062381852551983|0.4786906153682644|0.4764865547279383|0.49277373106717537|,0.46226415094339623|0.4673913043478261|0.4329896907216495|0.5337078651685393|0.41935483870967744|,0.5929919137466307,0.40700808625336926,0.5080862533692723,0.4919137466307278,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371|92|97|89|93|,74|92|95|82|,0|0|0|0|,0|0|0|0|,0|0|0|0|,24|42|25|30|,0|0|0|0|,7,10,3,25,18,16
7,400.0|100.0|100.0|100.0|100.0|,1.0349854227405249,343|74|92|95|82|,31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|,161|39|34|50|38|,182|35|58|45|44|,0|0|0|0|0|,0|0|0|0|0|,53|6|6|36|5|,51|4|13|26|8|,0|0|0|0|0|,0|0|0|0|0|,104,239,53,754|101|29|611|13|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1097|175|121|706|95|,702|75|21|606|0|,0|0|0|0|0|,0|0|0|0|0|,395|100|100|100|95|,0|0|0|0|0|,395|100|100|100|95|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,13.0|0|5.0|0|8.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,382|96|100|86|100|,27|6|9|4|8|,355|90|91|82|92|,4|4|4|4|4|,0.4930024904589074|0.4745708546384222|0.482484640831758|0.4953185595567867|0.496951219512195|,0.47667638483965014|0.5878378378378378|0.42934782608695654|0.46842105263157896|0.43902439024390244|,0.5626822157434402,0.43731778425655976,0.5553935860058309,0.4446064139941691,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343|74|92|95|82|,90|91|82|92|,0|0|0|0|,0|0|0|0|,0|0|0|0|,26|17|28|18|,0|0|0|0|,6,3,0,19,12,13
8,400.0|100.0|100.0|100.0|100.0|,0.9915492957746479,355|90|91|82|92|,31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|,176|51|39|42|44|,179|39|52|40|48|,0|0|0|0|0|,0|0|0|0|0|,86|24|26|6|30|,97|15|37|8|37|,0|0|0|0|0|,0|0|0|0|0|,183,172,86,1529|442|567|43|477|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1884|532|658|125|569|,1484|432|558|25|469|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,20.0|0|0|20.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,380|96|99|100|85|,28|6|8|7|7|,352|90|91|93|78|,4|4|4|4|4|,0.4943562785161675|0.490216049382716|0.48200700398502594|0.4956870910172516|0.4931474480151228|,0.528169014084507|0.6055555555555555|0.5164835164835165|0.5|0.4891304347826087|,0.5647887323943662,0.4352112676056338,0.5380281690140845,0.4619718309859155,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355|90|91|82|92|,90|91|93|78|,0|0|0|0|,0|0|0|0|,0|0|0|0|,33|40|29|30|,0|0|0|0|,7,6,3,26,14,30
9,400.0|100.0|100.0|100.0|100.0|,0.9460227272727273,352|90|91|93|78|,31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|,166|51|35|42|38|,186|39|56|51|40|,0|0|0|0|0|,0|0|0|0|0|,39|7|5|20|7|,39|5|2|27|5|,0|0|0|0|0|,0|0|0|0|0|,78,274,39,439|109|11|319|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,791|199|102|412|78|,413|99|2|312|0|,0|0|0|0|0|,0|0|0|0|0|,378|100|100|100|78|,0|0|0|0|0|,378|100|100|100|78|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,9.0|0|9.0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,369|84|100|94|91|,36|5|14|9|8|,333|79|86|85|83|,4|4|4|4|4|,0.49526044356921495|0.4910493827160495|0.49332810047095765|0.49572204879176784|0.4972057856673241|,0.5298295454545454|0.5|0.4340659340659341|0.6021505376344086|0.5897435897435898|,0.5639204545454546,0.43607954545454547,0.5255681818181818,0.4744318181818182,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352|90|91|93|78|,79|86|85|83|,0|0|0|0|,0|0|0|0|,0|0|0|0|,17|14|22|13|,0|0|0|0|,3,1,0,14,4,17
