Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,400.0|100.0|100.0|100.0|100.0|,0.84,400|100|100|100|100|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,194|49|54|51|40|,206|51|46|49|60|,0|0|0|0|0|,0|0|0|0|0|,78|23|21|21|13|,90|23|18|23|26|,0|0|0|0|0|,0|0|0|0|0|,168,232,78,923|229|291|264|139|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1323|329|391|364|239|,923|229|291|264|139|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,19.0|5.0|0|0|14.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,381|100|95|86|100|,45|14|4|14|13|,336|86|91|72|87|,4|4|4|4|4|,0.49997187499999995|0.4991|0.499575|0.49877499999999997|0.49934999999999996|,0.5125|0.55|0.455|0.525|0.52|,0.49625,0.50375,0.49625,0.50375,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400|100|100|100|100|,86|91|72|87|,0|0|0|0|,0|0|0|0|,0|0|0|0|,34|30|26|40|,0|0|0|0|,6,4,4,21,20,23
1,400.0|100.0|100.0|100.0|100.0|,1.0922619047619047,336|86|91|72|87|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,174|41|51|37|45|,162|45|40|35|42|,0|0|0|0|0|,0|0|0|0|0|,42|13|13|8|8|,36|10|7|9|10|,0|0|0|0|0|,0|0|0|0|0|,78,258,42,651|126|104|267|154|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,987|212|195|339|241|,587|112|95|239|141|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,11.0|0|2.0|0|9.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,389|98|100|91|100|,22|7|6|3|6|,367|91|94|88|94|,4|4|4|4|4|,0.49749769699546487|0.4915494862087615|0.4972829368433763|0.4999035493827161|0.49299775399656487|,0.5327380952380952|0.5232558139534884|0.4835164835164835|0.6388888888888888|0.5057471264367817|,0.4806547619047619,0.5193452380952381,0.4538690476190476,0.5461309523809523,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336|86|91|72|87|,91|94|88|94|,0|0|0|0|,0|0|0|0|,0|0|0|0|,22|31|33|42|,0|0|0|0|,6,1,3,9,11,12
2,400.0|100.0|100.0|100.0|100.0|,1.005449591280654,367|91|94|88|94|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,170|38|48|41|43|,197|53|46|47|51|,0|0|0|0|0|,0|0|0|0|0|,64|15|20|13|16|,57|19|16|8|14|,0|0|0|0|0|,0|0|0|0|0|,121,246,64,1669|339|321|447|562|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,2036|430|415|535|656|,1636|330|315|435|556|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,9.0|2.0|7.0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,391|100|100|96|95|,22|6|6|6|4|,369|94|94|90|91|,4|4|4|4|4|,0.49166598608646594|0.49199975848327493|0.4735174287007696|0.49506069214876025|0.47679945676776825|,0.5177111716621253|0.554945054945055|0.46808510638297873|0.5397727272727273|0.5106382978723404|,0.5013623978201635,0.4986376021798365,0.4087193460490463,0.5912806539509536,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367|91|94|88|94|,94|94|90|91|,0|0|0|0|,0|0|0|0|,0|0|0|0|,37|37|40|38|,0|0|0|0|,4,6,1,20,13,20
3,400.0|100.0|100.0|100.0|100.0|,0.978319783197832,369|94|94|90|91|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,189|44|52|52|41|,180|50|42|38|50|,0|0|0|0|0|,0|0|0|0|0|,34|8|11|7|8|,31|11|4|10|6|,0|0|0|0|0|,0|0|0|0|0|,65,304,34,459|51|173|61|174|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,828|145|267|151|265|,428|45|167|51|165|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,6.0|0|0|6.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,394|100|99|100|95|,33|7|5|12|9|,361|93|94|88|86|,4|4|4|4|4|,0.4955842715608728|0.49071978270710737|0.493832050701675|0.46783950617283954|0.4818560560318803|,0.5|0.5106382978723404|0.5106382978723404|0.4666666666666667|0.510989010989011|,0.5623306233062331,0.43766937669376693,0.47696476964769646,0.5230352303523035,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369|94|94|90|91|,93|94|88|86|,0|0|0|0|,0|0|0|0|,0|0|0|0|,20|31|20|21|,0|0|0|0|,5,3,3,6,9,8
4,400.0|100.0|100.0|100.0|100.0|,1.0166204986149585,361|93|94|88|86|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,174|42|47|43|42|,187|51|47|45|44|,0|0|0|0|0|,0|0|0|0|0|,76|26|12|25|13|,84|32|16|21|15|,0|0|0|0|0|,0|0|0|0|0|,160,201,76,1802|538|316|673|275|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,2163|631|410|761|361|,1763|531|310|661|261|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,9.0|2.0|7.0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,391|100|100|97|94|,24|4|7|5|8|,367|96|93|92|86|,4|4|4|4|4|,0.4963839289139893|0.4952595675800672|0.4672928927116343|0.49054106404958675|0.4852623039480801|,0.47506925207756234|0.5483870967741935|0.4787234042553192|0.4602272727272727|0.4069767441860465|,0.5152354570637119,0.48476454293628807,0.44182825484764543,0.5581717451523546,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361|93|94|88|86|,96|93|92|86|,0|0|0|0|,0|0|0|0|,0|0|0|0|,31|38|43|37|,0|0|0|0|,10,13,0,24,15,14
5,400.0|100.0|100.0|100.0|100.0|,1.0108991825613078,367|96|93|92|86|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,183|40|41|48|54|,184|56|52|44|32|,0|0|0|0|0|,0|0|0|0|0|,31|8|9|5|9|,29|7|11|6|5|,0|0|0|0|0|,0|0|0|0|0|,60,307,31,374|110|137|45|82|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,741|206|230|137|168|,341|106|130|37|68|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,6.0|3.0|0|0|3.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,394|100|97|97|100|,23|6|4|5|8|,371|94|93|92|92|,4|4|4|4|4|,0.48848272687450345|0.4912109375|0.49439241530812805|0.4521207466918714|0.4575446187128177|,0.4427792915531335|0.4791666666666667|0.43010752688172044|0.41847826086956524|0.4418604651162791|,0.6062670299727521,0.39373297002724794,0.48501362397820164,0.5149863760217984,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367|96|93|92|86|,94|93|92|92|,0|0|0|0|,0|0|0|0|,0|0|0|0|,30|26|17|28|,0|0|0|0|,3,2,3,12,4,7
6,400.0|100.0|100.0|100.0|100.0|,0.9919137466307277,371|94|93|92|92|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,190|44|47|47|52|,181|50|46|45|40|,0|0|0|0|0|,0|0|0|0|0|,87|12|17|30|28|,82|22|18|28|14|,0|0|0|0|0|,0|0|0|0|0|,169,202,87,1633|313|168|455|697|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,2004|407|261|547|789|,1604|307|161|447|689|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,8.0|7.0|0|1.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,392|100|100|100|92|,24|7|10|6|1|,368|93|90|94|91|,4|4|4|4|4|,0.49266207016804586|0.49496378451788137|0.4963868655335877|0.46573724007561434|0.481539461247637|,0.5202156334231806|0.5106382978723404|0.510752688172043|0.5108695652173914|0.5489130434782609|,0.578167115902965,0.42183288409703507,0.46495956873315364,0.5350404312668463,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371|94|93|92|92|,93|90|94|91|,0|0|0|0|,0|0|0|0|,0|0|0|0|,38|32|42|36|,0|0|0|0|,8,17,2,40,6,14
7,400.0|100.0|100.0|100.0|100.0|,1.002717391304348,368|93|90|94|91|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,180|42|44|45|49|,188|51|46|49|42|,0|0|0|0|0|,0|0|0|0|0|,40|11|14|8|7|,33|17|13|2|1|,0|0|0|0|0|,0|0|0|0|0|,73,295,40,551|185|235|68|63|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,919|278|325|162|154|,519|178|225|62|54|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,9.0|2.0|0|0|7.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,391|100|94|97|100|,22|9|4|5|4|,369|91|90|92|96|,4|4|4|4|4|,0.4840168655482041|0.47959301653370334|0.48910493827160495|0.46463331824354914|0.4625347180292235|,0.48641304347826086|0.4946236559139785|0.5388888888888889|0.44680851063829785|0.46703296703296704|,0.6182065217391305,0.38179347826086957,0.45516304347826086,0.5448369565217391,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368|93|90|94|91|,91|90|92|96|,0|0|0|0|,0|0|0|0|,0|0|0|0|,31|34|22|19|,0|0|0|0|,3,1,3,11,13,9
8,400.0|100.0|100.0|100.0|100.0|,1.0,369|91|90|92|96|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,176|38|34|49|55|,193|53|56|43|41|,0|0|0|0|0|,0|0|0|0|0|,71|12|5|24|30|,81|14|16|29|22|,0|0|0|0|0|,0|0|0|0|0|,152,217,71,1117|211|47|341|518|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1486|302|137|433|614|,1086|202|37|333|514|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,6.0|3.0|2.0|1.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,394|100|100|100|94|,25|5|9|4|7|,369|95|91|96|87|,4|4|4|4|4|,0.49221509830274457|0.4973131264340056|0.486358024691358|0.4680411153119093|0.45266384548611105|,0.5013550135501355|0.5989010989010989|0.5|0.4782608695652174|0.4322916666666667|,0.5650406504065041,0.4349593495934959,0.44037940379403795,0.559620596205962,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369|91|90|92|96|,95|91|96|87|,0|0|0|0|,0|0|0|0|,0|0|0|0|,28|20|38|31|,0|0|0|0|,4,9,0,36,5,17
9,400.0|100.0|100.0|100.0|100.0|,0.964769647696477,369|95|91|96|87|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,184|48|34|57|45|,185|47|57|39|42|,0|0|0|0|0|,0|0|0|0|0|,53|12|16|17|8|,61|12|36|8|5|,0|0|0|0|0|,0|0|0|0|0|,114,255,53,973|420|189|253|111|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1342|515|280|349|198|,942|415|180|249|98|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,18.0|7.0|0|0|11.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,382|100|97|85|100|,26|4|13|4|5|,356|96|84|81|95|,4|4|4|4|4|,0.4860606194137822|0.478005540166205|0.4864448738075111|0.46242947048611105|0.4785308495177697|,0.5176151761517616|0.5894736842105263|0.489010989010989|0.4635416666666667|0.5287356321839081|,0.6002710027100271,0.3997289972899729,0.43766937669376693,0.5623306233062331,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369|95|91|96|87|,96|84|81|95|,0|0|0|0|,0|0|0|0|,0|0|0|0|,51|28|26|29|,0|0|0|0|,4,6,2,24,6,11
