Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,232|108|60|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,232|108|60|,nan|nan|nan|,nan|nan|nan|,0|232|168|,0|0|0|,923|232|168|,0|0|0|,279|61|60|,0|0|0|,0|0|0|,279|61|60|,0|0|0|,0|0|0|,275|61|60|,4|1|26|,0|0|0|
1,0|1|2|,271|60|34|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,271|60|34|,nan|nan|nan|,nan|nan|nan|,0|271|94|,0|0|0|,588|271|94|,0|0|0|,233|128|39|,0|0|0|,0|0|0|,233|128|39|,0|0|0|,0|0|0|,222|125|38|,6|7|15|,0|0|0|
2,0|1|2|,216|118|23|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,216|118|23|,nan|nan|nan|,nan|nan|nan|,0|216|141|,0|0|0|,1329|216|141|,0|0|0|,306|60|34|,0|0|0|,0|0|0|,306|60|34|,0|0|0|,0|0|0|,300|60|33|,8|1|12|,0|0|0|
3,0|1|2|,292|59|21|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,292|59|21|,nan|nan|nan|,nan|nan|nan|,0|292|80|,0|0|0|,434|292|80|,0|0|0|,210|145|45|,0|0|0|,0|0|0|,210|145|45|,0|0|0|,0|0|0|,204|137|42|,3|11|19|,0|0|0|
4,0|1|2|,201|126|23|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,201|126|23|,nan|nan|nan|,nan|nan|nan|,0|201|149|,0|0|0|,1561|201|149|,0|0|0|,323|49|28|,0|0|0|,0|0|0|,323|49|28|,0|0|0|,0|0|0|,318|48|25|,9|2|10|,0|0|0|
5,0|1|2|,309|46|15|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,309|46|15|,nan|nan|nan|,nan|nan|nan|,0|309|61|,0|0|0|,539|309|61|,0|0|0|,238|133|29|,0|0|0|,0|0|0|,238|133|29|,0|0|0|,0|0|0|,229|131|28|,5|2|10|,0|0|0|
6,0|1|2|,224|129|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,224|129|18|,nan|nan|nan|,nan|nan|nan|,0|224|147|,0|0|0|,1058|224|147|,0|0|0|,292|62|46|,0|0|0|,0|0|0|,292|62|46|,0|0|0|,0|0|0|,285|61|46|,6|5|13|,0|0|0|
7,0|1|2|,279|56|33|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,279|56|33|,nan|nan|nan|,nan|nan|nan|,0|279|89|,0|0|0|,409|279|89|,0|0|0|,196|144|60|,0|0|0|,0|0|0|,196|144|60|,0|0|0|,0|0|0|,186|138|57|,6|10|19|,0|0|0|
8,0|1|2|,180|128|38|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,180|128|38|,nan|nan|nan|,nan|nan|nan|,0|180|166|,0|0|0|,1074|180|166|,0|0|0|,300|44|56|,0|0|0|,0|0|0|,300|44|56|,0|0|0|,0|0|0|,297|44|54|,9|3|18|,0|0|0|
9,0|1|2|,288|41|36|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,288|41|36|,nan|nan|nan|,nan|nan|nan|,0|288|77|,0|0|0|,486|288|77|,0|0|0|,199|160|41|,0|0|0|,0|0|0|,199|160|41|,0|0|0|,0|0|0|,181|147|36|,4|6|10|,0|0|0|
10,0|1|2|,177|141|26|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,177|141|26|,nan|nan|nan|,nan|nan|nan|,0|177|167|,0|0|0|,1432|177|167|,0|0|0|,323|39|38|,0|0|0|,0|0|0|,323|39|38|,0|0|0|,0|0|0|,318|38|37|,8|0|11|,0|0|0|
11,0|1|2|,310|38|26|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,310|38|26|,nan|nan|nan|,nan|nan|nan|,0|310|64|,0|0|0|,418|310|64|,0|0|0|,163|196|36|,0|0|0|,0|0|0|,163|196|36|,0|0|0|,0|0|0|,141|171|32|,6|9|13|,0|0|0|
12,0|1|2|,135|162|19|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,135|162|19|,nan|nan|nan|,nan|nan|nan|,0|135|181|,0|0|0|,1695|135|181|,0|0|0|,309|36|55|,0|0|0|,0|0|0|,309|36|55|,0|0|0|,0|0|0|,302|36|55|,3|2|28|,0|0|0|
13,0|1|2|,299|34|27|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,299|34|27|,nan|nan|nan|,nan|nan|nan|,0|299|61|,0|0|0|,119|299|61|,0|0|0|,96|256|45|,0|0|0|,0|0|0|,96|256|45|,0|0|0|,0|0|0|,85|245|43|,1|16|16|,0|0|0|
14,0|1|2|,84|229|27|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,84|229|27|,nan|nan|nan|,nan|nan|nan|,0|84|256|,0|0|0|,2715|84|256|,0|0|0|,357|11|32|,0|0|0|,0|0|0|,357|11|32|,0|0|0|,0|0|0|,354|11|32|,2|0|17|,0|0|0|
15,0|1|2|,352|11|15|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,352|11|15|,nan|nan|nan|,nan|nan|nan|,0|352|26|,0|0|0|,110|352|26|,0|0|0|,72|297|20|,0|0|0|,0|0|0|,72|297|20|,0|0|0|,0|0|0|,65|282|20|,1|13|7|,0|0|0|
16,0|1|2|,64|269|13|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,64|269|13|,nan|nan|nan|,nan|nan|nan|,0|64|282|,0|0|0|,3064|64|282|,0|0|0|,364|14|22|,0|0|0|,0|0|0|,364|14|22|,0|0|0|,0|0|0|,358|14|21|,9|0|8|,0|0|0|
17,0|1|2|,349|14|13|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,349|14|13|,nan|nan|nan|,nan|nan|nan|,0|349|27|,0|0|0|,91|349|27|,0|0|0|,67|306|21|,0|0|0|,0|0|0|,67|306|21|,0|0|0|,0|0|0|,62|286|20|,0|17|4|,0|0|0|
18,0|1|2|,62|269|16|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,62|269|16|,nan|nan|nan|,nan|nan|nan|,0|62|285|,0|0|0|,3305|62|285|,0|0|0|,366|4|29|,0|0|0|,0|0|0|,366|4|29|,0|0|0|,0|0|0|,364|4|28|,8|0|16|,0|0|0|
19,0|1|2|,356|4|12|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,356|4|12|,nan|nan|nan|,nan|nan|nan|,0|356|16|,0|0|0|,89|356|16|,0|0|0|,74|306|13|,0|0|0|,0|0|0|,74|306|13|,0|0|0|,0|0|0|,65|292|12|,1|19|4|,0|0|0|
20,0|1|2|,64|273|8|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,64|273|8|,nan|nan|nan|,nan|nan|nan|,0|64|281|,0|0|0|,2503|64|281|,0|0|0|,353|8|39|,0|0|0|,0|0|0|,353|8|39|,0|0|0|,0|0|0|,352|8|39|,8|0|14|,0|0|0|
21,0|1|2|,344|8|25|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,344|8|25|,nan|nan|nan|,nan|nan|nan|,0|344|33|,0|0|0|,56|344|33|,0|0|0|,46|311|31|,0|0|0|,0|0|0|,46|311|31|,0|0|0|,0|0|0|,38|282|28|,1|12|9|,0|0|0|
22,0|1|2|,37|270|19|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,37|270|19|,nan|nan|nan|,nan|nan|nan|,0|37|289|,0|0|0|,2946|37|289|,0|0|0|,357|5|38|,0|0|0|,0|0|0|,357|5|38|,0|0|0|,0|0|0|,354|5|38|,7|0|21|,0|0|0|
23,0|1|2|,347|5|17|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,347|5|17|,nan|nan|nan|,nan|nan|nan|,0|347|22|,0|0|0|,148|347|22|,0|0|0|,98|277|16|,0|0|0|,0|0|0|,98|277|16|,0|0|0|,0|0|0|,88|261|16|,2|12|5|,0|0|0|
24,0|1|2|,86|249|11|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,86|249|11|,nan|nan|nan|,nan|nan|nan|,0|86|260|,0|0|0|,2741|86|260|,0|0|0|,350|11|38|,0|0|0|,0|0|0|,350|11|38|,0|0|0|,0|0|0|,350|11|38|,5|1|12|,0|0|0|
25,0|1|2|,345|10|26|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,345|10|26|,nan|nan|nan|,nan|nan|nan|,0|345|36|,0|0|0|,176|345|36|,0|0|0|,106|265|25|,0|0|0|,0|0|0|,106|265|25|,0|0|0|,0|0|0|,101|260|25|,2|11|10|,0|0|0|
26,0|1|2|,99|249|15|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,99|249|15|,nan|nan|nan|,nan|nan|nan|,0|99|264|,0|0|0|,2668|99|264|,0|0|0|,348|20|32|,0|0|0|,0|0|0|,348|20|32|,0|0|0|,0|0|0|,345|20|28|,8|1|15|,0|0|0|
27,0|1|2|,337|19|13|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,337|19|13|,nan|nan|nan|,nan|nan|nan|,0|337|32|,0|0|0|,98|337|32|,0|0|0|,62|294|28|,0|0|0|,0|0|0|,62|294|28|,0|0|0|,0|0|0|,60|281|28|,2|16|10|,0|0|0|
28,0|1|2|,58|265|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,58|265|18|,nan|nan|nan|,nan|nan|nan|,0|58|283|,0|0|0|,1880|58|283|,0|0|0|,326|18|57|,0|0|0|,0|0|0|,326|18|57|,0|0|0|,0|0|0|,313|16|57|,10|0|24|,0|0|0|
29,0|1|2|,303|16|33|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,303|16|33|,nan|nan|nan|,nan|nan|nan|,0|303|49|,0|0|0|,115|303|49|,0|0|0|,68|262|37|,0|0|0|,0|0|0|,68|262|37|,0|0|0|,0|0|0|,54|252|36|,2|15|16|,0|0|0|
