Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,400.0|100.0|100.0|100.0|100.0|,0.9125,400|100|100|100|100|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,194|49|54|51|40|,206|51|46|49|60|,0|0|0|0|0|,0|0|0|0|0|,78|23|21|21|13|,90|23|18|23|26|,0|0|0|0|0|,0|0|0|0|0|,168,232,78,923|229|291|264|139|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1323|329|391|364|239|,923|229|291|264|139|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,4.0|0|1.0|3.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,396|96|100|100|100|,31|7|6|8|10|,365|89|94|92|90|,4|4|4|4|4|,0.49997187499999995|0.4991|0.499575|0.49877499999999997|0.49934999999999996|,0.5125|0.55|0.455|0.525|0.52|,0.49625,0.50375,0.49625,0.50375,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400|100|100|100|100|,89|94|92|90|,0|0|0|0|,0|0|0|0|,0|0|0|0|,13|11|18|18|,0|0|0|0|,6,4,4,21,20,23
1,400.0|100.0|100.0|100.0|100.0|,0.9780821917808219,365|89|94|92|90|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,189|47|52|46|44|,176|42|42|46|46|,0|0|0|0|0|,0|0|0|0|0|,48|14|14|11|9|,46|13|5|13|15|,0|0|0|0|0|,0|0|0|0|0|,94,271,48,588|43|175|181|189|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,953|132|269|273|279|,553|32|169|173|179|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,15.0|0|0|5.0|10.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,385|93|92|100|100|,28|10|7|6|5|,357|83|85|94|95|,4|4|4|4|4|,0.4988647025708388|0.499747506627951|0.4880885015844273|0.4981982514177693|0.49317901234567896|,0.5191780821917809|0.5168539325842697|0.4946808510638298|0.6032608695652174|0.46111111111111114|,0.4849315068493151,0.5150684931506849,0.46986301369863015,0.5301369863013699,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365|89|94|92|90|,83|85|94|95|,0|0|0|0|,0|0|0|0|,0|0|0|0|,42|19|33|24|,0|0|0|0|,6,5,3,11,9,14
2,400.0|100.0|100.0|100.0|100.0|,1.0420168067226891,357|83|85|94|95|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,165|39|32|49|45|,192|44|53|45|50|,0|0|0|0|0|,0|0|0|0|0|,72|29|10|20|13|,69|26|11|17|15|,0|0|0|0|0|,0|0|0|0|0|,141,216,72,1329|418|312|422|177|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1686|501|397|516|272|,1286|401|297|416|172|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,7.0|5.0|0|2.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,393|100|96|100|97|,21|3|6|3|9|,372|97|90|97|88|,4|4|4|4|4|,0.49920556457877274|0.4773189142110611|0.4877854671280277|0.4806190583974649|0.49706371191135723|,0.47478991596638653|0.42771084337349397|0.4294117647058823|0.5585106382978723|0.47368421052631576|,0.47478991596638653,0.5252100840336135,0.48739495798319327,0.5126050420168067,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357|83|85|94|95|,97|90|97|88|,0|0|0|0|,0|0|0|0|,0|0|0|0|,9|16|13|21|,0|0|0|0|,4,2,9,17,18,22
3,400.0|100.0|100.0|100.0|100.0|,0.9408602150537635,372|97|90|97|88|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,189|50|45|50|44|,183|47|45|47|44|,0|0|0|0|0|,0|0|0|0|0|,36|10|7|9|10|,44|9|13|6|16|,0|0|0|0|0|,0|0|0|0|0|,80,292,36,434|119|97|79|139|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,806|216|187|176|227|,406|116|87|76|127|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,17.0|0|1.0|0|16.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,383|91|100|92|100|,33|7|8|8|10|,350|84|92|84|90|,4|4|4|4|4|,0.49346564631749334|0.4820384738016793|0.496141975308642|0.49774152407269645|0.47414127066115697|,0.4771505376344086|0.5051546391752577|0.5166666666666667|0.4793814432989691|0.4034090909090909|,0.44489247311827956,0.5551075268817204,0.44086021505376344,0.5591397849462365,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372|97|90|97|88|,84|92|84|90|,0|0|0|0|,0|0|0|0|,0|0|0|0|,23|39|33|31|,0|0|0|0|,6,1,4,7,10,8
4,400.0|100.0|100.0|100.0|100.0|,1.0571428571428572,350|84|92|84|90|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,179|45|53|38|43|,171|39|39|46|47|,0|0|0|0|0|,0|0|0|0|0|,79|19|23|20|17|,70|10|21|18|21|,0|0|0|0|0|,0|0|0|0|0|,149,201,79,1561|462|454|265|380|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1911|546|546|349|470|,1511|446|446|249|370|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,9.0|5.0|0|0|4.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,391|100|98|93|100|,21|4|5|8|4|,370|96|93|85|96|,4|4|4|4|4|,0.49278979591836736|0.41319444444444453|0.49701677693761814|0.49631519274376423|0.49777777777777776|,0.4757142857142857|0.36904761904761907|0.5271739130434783|0.5|0.5|,0.41714285714285715,0.5828571428571429,0.48142857142857143,0.5185714285714286,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350|84|92|84|90|,96|93|85|96|,0|0|0|0|,0|0|0|0|,0|0|0|0|,13|7|12|14|,0|0|0|0|,12,7,11,21,12,16
5,400.0|100.0|100.0|100.0|100.0|,1.0027027027027027,370|96|93|85|96|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,169|42|47|42|38|,201|54|46|43|58|,0|0|0|0|0|,0|0|0|0|0|,33|7|8|10|8|,28|7|4|7|10|,0|0|0|0|0|,0|0|0|0|0|,61,309,33,539|154|143|107|135|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,909|250|236|192|231|,509|150|136|92|131|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,12.0|0|5.0|7.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,388|90|100|100|98|,17|3|5|4|5|,371|87|95|96|93|,4|4|4|4|4|,0.4970416362308254|0.4552680121527777|0.4946525609897098|0.382871972318339|0.45895724826388884|,0.46756756756756757|0.4322916666666667|0.543010752688172|0.38235294117647056|0.5052083333333334|,0.4756756756756757,0.5243243243243243,0.45135135135135135,0.5486486486486486,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370|96|93|85|96|,87|95|96|93|,0|0|0|0|,0|0|0|0|,0|0|0|0|,29|37|31|32|,0|0|0|0|,1,0,1,8,7,16
6,400.0|100.0|100.0|100.0|100.0|,0.9919137466307277,371|87|95|96|93|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,172|36|44|47|45|,199|51|51|49|48|,0|0|0|0|0|,0|0|0|0|0|,65|17|14|18|16|,82|15|25|20|22|,0|0|0|0|0|,0|0|0|0|0|,147,224,65,1058|332|186|298|242|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1429|419|281|394|335|,1029|319|181|294|235|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,8.0|0|0|0|8.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,392|98|96|98|100|,24|4|8|5|7|,368|94|88|93|93|,4|4|4|4|4|,0.496596217696762|0.49412075571409697|0.46254847645429364|0.4852430555555556|0.49803445485027176|,0.4797843665768194|0.5172413793103449|0.4631578947368421|0.4375|0.5053763440860215|,0.49326145552560646,0.5067385444743935,0.5579514824797843,0.4420485175202156,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371|87|95|96|93|,94|88|93|93|,0|0|0|0|,0|0|0|0|,0|0|0|0|,10|11|20|15|,0|0|0|0|,4,5,5,21,17,13
7,400.0|100.0|100.0|100.0|100.0|,0.9402173913043478,368|94|88|93|93|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,181|41|44|51|45|,187|53|44|42|48|,0|0|0|0|0|,0|0|0|0|0|,43|7|10|12|14|,46|9|14|11|12|,0|0|0|0|0|,0|0|0|0|0|,89,279,43,409|165|93|114|37|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,777|259|181|207|130|,377|159|81|107|30|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,19.0|10.0|8.0|1.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,381|100|100|100|81|,35|4|9|14|8|,346|96|91|86|73|,4|4|4|4|4|,0.49994646443761814|0.4955579447713898|0.48408445247933884|0.48933402705515083|0.44791305353220023|,0.4904891304347826|0.4946808510638298|0.5284090909090909|0.478494623655914|0.46236559139784944|,0.49320652173913043,0.5067934782608695,0.49728260869565216,0.5027173913043478,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368|94|88|93|93|,96|91|86|73|,0|0|0|0|,0|0|0|0|,0|0|0|0|,33|34|28|33|,0|0|0|0|,5,1,5,8,8,16
8,400.0|100.0|100.0|100.0|100.0|,1.0549132947976878,346|96|91|86|73|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,171|50|46|37|38|,175|46|45|49|35|,0|0|0|0|0|,0|0|0|0|0|,74|17|17|15|25|,92|18|28|23|23|,0|0|0|0|0|,0|0|0|0|0|,166,180,74,1074|339|205|234|296|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1420|435|296|320|369|,1020|335|196|220|269|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,5.0|0|0|0|5.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,395|98|98|99|100|,30|5|6|8|11|,365|93|92|91|89|,4|4|4|4|4|,0.4987783587824518|0.49606662326388884|0.4958640260838063|0.475662520281233|0.45379057984612503|,0.4725433526011561|0.453125|0.554945054945055|0.47674418604651164|0.3904109589041096|,0.4956647398843931,0.5043352601156069,0.5346820809248555,0.4653179190751445,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346|96|91|86|73|,93|92|91|89|,0|0|0|0|,0|0|0|0|,0|0|0|0|,10|9|12|10|,0|0|0|0|,2,4,2,20,19,27
9,400.0|100.0|100.0|100.0|100.0|,0.9424657534246575,365|93|92|91|89|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,184|49|50|40|45|,181|44|42|51|44|,0|0|0|0|0|,0|0|0|0|0|,42|9|9|14|10|,35|6|13|11|5|,0|0|0|0|0|,0|0|0|0|0|,77,288,42,486|26|200|145|115|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,851|119|292|236|204|,451|19|192|136|104|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,36.0|0|20.0|16.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,364|76|100|100|88|,20|4|5|6|5|,344|72|95|94|83|,4|4|4|4|4|,0.4994257834490524|0.49673372644236335|0.467804820415879|0.4945356840961237|0.47670748642848126|,0.5013698630136987|0.521505376344086|0.5217391304347826|0.4340659340659341|0.5280898876404494|,0.5205479452054794,0.4794520547945205,0.4876712328767123,0.5123287671232877,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365|93|92|91|89|,72|95|94|83|,0|0|0|0|,0|0|0|0|,0|0|0|0|,42|39|36|24|,0|0|0|0|,4,0,1,17,10,10
