Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,232|108|60|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,232|108|60|,nan|nan|nan|,nan|nan|nan|,0|232|168|,0|0|0|,923|232|168|,0|0|0|,279|61|60|,0|0|0|,0|0|0|,279|61|60|,0|0|0|,0|0|0|,273|58|59|,3|2|25|,0|0|0|
1,0|1|2|,270|56|34|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,270|56|34|,nan|nan|nan|,nan|nan|nan|,0|270|90|,0|0|0|,776|270|90|,0|0|0|,255|105|40|,0|0|0|,0|0|0|,255|105|40|,0|0|0|,0|0|0|,247|103|40|,4|5|16|,0|0|0|
2,0|1|2|,243|98|24|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,243|98|24|,nan|nan|nan|,nan|nan|nan|,0|243|122|,0|0|0|,1017|243|122|,0|0|0|,283|81|36|,0|0|0|,0|0|0|,283|81|36|,0|0|0|,0|0|0|,264|79|33|,4|4|13|,0|0|0|
3,0|1|2|,260|75|20|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,260|75|20|,nan|nan|nan|,nan|nan|nan|,0|260|95|,0|0|0|,751|260|95|,0|0|0|,244|123|35|,0|0|0|,0|0|0|,244|123|35|,0|0|0|,0|0|0|,238|119|35|,4|10|14|,0|0|0|
4,0|1|2|,234|109|21|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,234|109|21|,nan|nan|nan|,nan|nan|nan|,0|234|130|,0|0|0|,1328|234|130|,0|0|0|,306|65|29|,0|0|0|,0|0|0|,306|65|29|,0|0|0|,0|0|0|,297|65|29|,9|3|13|,0|0|0|
5,0|1|2|,288|62|16|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,288|62|16|,nan|nan|nan|,nan|nan|nan|,0|288|78|,0|0|0|,528|288|78|,0|0|0|,213|152|35|,0|0|0|,0|0|0|,213|152|35|,0|0|0|,0|0|0|,209|150|35|,3|7|10|,0|0|0|
6,0|1|2|,206|143|25|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,206|143|25|,nan|nan|nan|,nan|nan|nan|,0|206|168|,0|0|0|,1589|206|168|,0|0|0|,323|49|28|,0|0|0|,0|0|0|,323|49|28|,0|0|0|,0|0|0|,310|46|26|,2|2|13|,0|0|0|
7,0|1|2|,308|44|13|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,308|44|13|,nan|nan|nan|,nan|nan|nan|,0|308|57|,0|0|0|,345|308|57|,0|0|0|,177|189|34|,0|0|0|,0|0|0|,177|189|34|,0|0|0|,0|0|0|,169|183|34|,1|12|13|,0|0|0|
8,0|1|2|,168|171|21|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,168|171|21|,nan|nan|nan|,nan|nan|nan|,0|168|192|,0|0|0|,1970|168|192|,0|0|0|,334|27|39|,0|0|0|,0|0|0|,334|27|39|,0|0|0|,0|0|0|,325|27|38|,6|2|13|,0|0|0|
9,0|1|2|,319|25|25|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,319|25|25|,nan|nan|nan|,nan|nan|nan|,0|319|50|,0|0|0|,89|319|50|,0|0|0|,64|281|41|,0|0|0|,0|0|0|,64|281|41|,0|0|0|,0|0|0|,64|279|40|,0|11|12|,0|0|0|
