Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,400.0|100.0|100.0|100.0|100.0|,0.91,400|100|100|100|100|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,200|53|52|43|52|,200|47|48|57|48|,0|0|0|0|0|,0|0|0|0|0|,76|23|16|14|23|,84|23|22|23|16|,0|0|0|0|0|,0|0|0|0|0|,160,240,76,929|285|244|210|190|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1329|385|344|310|290|,929|285|244|210|190|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,7.0|3.0|0|0|4.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,393|100|98|95|100|,29|9|8|4|8|,364|91|90|91|92|,4|4|4|4|4|,0.499|0.4997750000000001|0.49987500000000007|0.49870000000000003|0.4950000000000001|,0.485|0.455|0.505|0.53|0.45|,0.53,0.47,0.49,0.51,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400|100|100|100|100|,91|90|91|92|,0|0|0|0|,0|0|0|0|,0|0|0|0|,91|90|91|92|,0|0|0|0|,13,7,3,24,11,18
1,400.0|100.0|100.0|100.0|100.0|,1.0192307692307692,364|91|90|91|92|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,190|46|51|42|51|,174|45|39|49|41|,0|0|0|0|0|,0|0|0|0|0|,44|11|13|10|10|,46|9|10|14|13|,0|0|0|0|0|,0|0|0|0|0|,90,274,44,647|89|279|175|104|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1011|180|369|266|196|,611|80|269|166|96|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,6.0|1.0|3.0|0|2.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,394|100|100|94|100|,23|9|3|2|9|,371|91|97|92|91|,4|4|4|4|4|,0.4967810348991668|0.49526023427122334|0.4961419753086419|0.49707160970897224|0.49099125708884683|,0.5439560439560439|0.521978021978022|0.5944444444444444|0.5|0.5597826086956522|,0.5563186813186813,0.44368131868131866,0.49313186813186816,0.5068681318681318,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364|91|90|91|92|,91|97|92|91|,0|0|0|0|,0|0|0|0|,0|0|0|0|,91|97|92|91|,0|0|0|0|,2,6,0,17,11,8
2,400.0|100.0|100.0|100.0|100.0|,0.9784366576819407,371|91|97|92|91|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,199|48|54|46|51|,172|43|43|46|40|,0|0|0|0|0|,0|0|0|0|0|,66|18|20|15|13|,60|16|15|16|13|,0|0|0|0|0|,0|0|0|0|0|,126,245,66,1257|207|384|292|374|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1628|298|481|384|465|,1228|198|381|284|365|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,21.0|3.0|0|10.0|8.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,379|100|79|100|100|,16|5|4|4|3|,363|95|75|96|97|,4|4|4|4|4|,0.4853513851250718|0.4825504166163507|0.4887076203634818|0.48153946124763713|0.4766634464436662|,0.5|0.5384615384615384|0.5515463917525774|0.4945652173913043|0.41208791208791207|,0.6199460916442049,0.38005390835579517,0.5161725067385444,0.4838274932614555,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371|91|97|92|91|,95|75|96|97|,0|0|0|0|,0|0|0|0|,0|0|0|0|,95|75|96|97|,0|0|0|0|,7,7,5,21,9,17
3,400.0|100.0|100.0|100.0|100.0|,1.0165289256198347,363|95|75|96|97|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,182|44|35|52|51|,181|51|40|44|46|,0|0|0|0|0|,0|0|0|0|0|,27|6|4|9|8|,36|12|4|8|12|,0|0|0|0|0|,0|0|0|0|0|,63,300,27,495|74|54|179|188|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,858|169|129|275|285|,458|69|29|175|185|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,10.0|10.0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,390|100|95|98|97|,21|5|6|7|3|,369|95|89|91|94|,4|4|4|4|4|,0.49449794716511475|0.4903324099722992|0.49|0.4955512152777778|0.49080667446062287|,0.4738292011019284|0.531578947368421|0.44666666666666666|0.4479166666666667|0.4639175257731959|,0.571625344352617,0.4283746556473829,0.5192837465564738,0.4807162534435262,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363|95|75|96|97|,95|89|91|94|,0|0|0|0|,0|0|0|0|,0|0|0|0|,95|89|91|94|,0|0|0|0|,6,5,1,9,4,2
4,400.0|100.0|100.0|100.0|100.0|,1.002710027100271,369|95|89|91|94|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,172|38|44|46|44|,197|57|45|45|50|,0|0|0|0|0|,0|0|0|0|0|,73|17|26|18|12|,78|31|14|17|16|,0|0|0|0|0|,0|0|0|0|0|,151,218,73,1030|199|338|289|204|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1399|294|427|380|298|,999|194|327|280|198|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,2.0|0|0|0|2.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,398|99|99|100|100|,28|8|7|7|6|,370|91|92|93|94|,4|4|4|4|4|,0.4933534565697961|0.4889196675900277|0.4908786769347304|0.488829851467214|0.49883997283838843|,0.5040650406504065|0.49473684210526314|0.5449438202247191|0.46153846153846156|0.5159574468085106|,0.5785907859078591,0.42140921409214094,0.521680216802168,0.47831978319783197,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369|95|89|91|94|,91|92|93|94|,0|0|0|0|,0|0|0|0|,0|0|0|0|,91|92|93|94|,0|0|0|0|,13,6,1,22,17,14
5,400.0|100.0|100.0|100.0|100.0|,0.9648648648648649,370|91|92|93|94|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,165|40|43|42|40|,205|51|49|51|54|,0|0|0|0|0|,0|0|0|0|0|,32|10|7|5|10|,48|10|13|13|12|,0|0|0|0|0|,0|0|0|0|0|,80,290,32,325|76|87|38|124|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,695|167|179|131|218|,295|67|79|31|118|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,15.0|0|15.0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,385|95|100|95|95|,28|9|4|6|9|,357|86|96|89|86|,4|4|4|4|4|,0.491745799853908|0.49803767660910525|0.46384688090737247|0.47566192623424675|0.49816093254866445|,0.5054054054054054|0.5|0.4782608695652174|0.4946236559139785|0.5478723404255319|,0.5837837837837838,0.41621621621621624,0.5351351351351351,0.4648648648648649,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370|91|92|93|94|,86|96|89|86|,0|0|0|0|,0|0|0|0|,0|0|0|0|,86|96|89|86|,0|0|0|0|,5,7,2,7,7,4
6,400.0|100.0|100.0|100.0|100.0|,1.0140056022408963,357|86|96|89|86|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,168|39|45|41|43|,189|47|51|48|43|,0|0|0|0|0|,0|0|0|0|0|,84|20|20|23|21|,108|34|25|26|23|,0|0|0|0|0|,0|0|0|0|0|,192,165,84,1626|406|355|330|535|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1983|492|451|419|621|,1583|392|351|319|521|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,14.0|11.0|3.0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,386|100|100|87|99|,24|6|5|8|5|,362|94|95|79|94|,4|4|4|4|4|,0.4866044456998486|0.4948282855597619|0.4807671440972222|0.4896477717459916|0.4754935100054083|,0.46638655462184875|0.48255813953488375|0.4427083333333333|0.47191011235955055|0.47093023255813954|,0.6078431372549019,0.39215686274509803,0.542016806722689,0.4579831932773109,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357|86|96|89|86|,94|95|79|94|,0|0|0|0|,0|0|0|0|,0|0|0|0|,94|95|79|94|,0|0|0|0|,8,5,1,40,13,17
7,400.0|100.0|100.0|100.0|100.0|,0.9640883977900553,362|94|95|79|94|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,189|50|52|40|47|,173|44|43|39|47|,0|0|0|0|0|,0|0|0|0|0|,25|5|14|3|3|,29|11|3|5|10|,0|0|0|0|0|,0|0|0|0|0|,54,308,25,168|33|95|0|40|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,530|127|190|79|134|,151|27|90|0|34|,0|0|0|0|0|,0|0|0|0|0|,379|100|100|79|100|,0|0|0|0|0|,379|100|100|79|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,2.0|0|2.0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,377|98|100|100|79|,28|10|8|7|3|,349|88|92|93|76|,4|4|4|4|4|,0.4810273648545528|0.47210276143051155|0.48501385041551237|0.4937109437590129|0.46590651878678124|,0.4599447513812155|0.46808510638297873|0.48947368421052634|0.4873417721518987|0.39893617021276595|,0.5953038674033149,0.4046961325966851,0.5994475138121547,0.4005524861878453,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362|94|95|79|94|,88|92|93|76|,0|0|0|0|,0|0|0|0|,0|0|0|0|,88|92|93|76|,0|0|0|0|,1,5,0,12,1,6
8,400.0|100.0|100.0|100.0|100.0|,1.0515759312320916,349|88|92|93|76|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,177|45|48|52|32|,172|43|44|41|44|,0|0|0|0|0|,0|0|0|0|0|,134|36|34|41|23|,113|30|24|32|27|,0|0|0|0|0|,0|0|0|0|0|,247,102,134,2211|616|405|707|483|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,2560|704|497|800|559|,2160|604|397|700|459|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,14.0|13.0|0|1.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,386|100|88|100|98|,19|7|5|3|4|,367|93|83|97|94|,4|4|4|4|4|,0.4743310810256073|0.4870867768595041|0.4573192344045369|0.474534628280726|0.4707409972299168|,0.4584527220630373|0.5|0.45108695652173914|0.43548387096774194|0.4473684210526316|,0.6361031518624641,0.3638968481375358,0.5845272206303725,0.4154727793696275,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349|88|92|93|76|,93|83|97|94|,0|0|0|0|,0|0|0|0|,0|0|0|0|,93|83|97|94|,0|0|0|0|,16,18,3,39,28,30
9,400.0|100.0|100.0|100.0|100.0|,0.9918256130790191,367|93|83|97|94|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,182|49|41|44|48|,185|44|42|53|46|,0|0|0|0|0|,0|0|0|0|0|,24|8|7|5|4|,18|3|4|1|10|,0|0|0|0|0|,0|0|0|0|0|,42,325,24,145|36|43|20|46|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,512|129|126|117|140|,112|29|26|17|40|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,4.0|1.0|0|2.0|1.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,396|100|96|100|100|,32|10|8|5|9|,364|90|88|95|91|,4|4|4|4|4|,0.48070183905144437|0.47242455775234127|0.48512120772245615|0.4877510893825061|0.47532820280669974|,0.45095367847411444|0.3978494623655914|0.46987951807228917|0.4793814432989691|0.4574468085106383|,0.5626702997275205,0.4373297002724796,0.6239782016348774,0.3760217983651226,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367|93|83|97|94|,90|88|95|91|,0|0|0|0|,0|0|0|0|,0|0|0|0|,90|88|95|91|,0|0|0|0|,1,3,0,10,4,6
