Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,400.0|100.0|100.0|100.0|100.0|,0.9125,400|100|100|100|100|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,195|45|48|48|54|,205|55|52|52|46|,0|0|0|0|0|,0|0|0|0|0|,82|18|22|19|23|,93|24|24|25|20|,0|0|0|0|0|,0|0|0|0|0|,175,225,82,1065|192|272|216|385|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1465|292|372|316|485|,1065|192|272|216|385|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,2.0|1.0|0|1.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,398|100|99|100|99|,33|9|10|6|8|,365|91|89|94|91|,4|4|4|4|4|,0.49999218749999996|0.499675|0.49995|0.49975|0.49975|,0.49875|0.485|0.48|0.55|0.48|,0.49875,0.50125,0.4975,0.5025,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400|100|100|100|100|,91|89|94|91|,0|0|0|0|,0|0|0|0|,0|0|0|0|,69|66|68|71|,0|0|0|0|,10,4,6,16,21,25
1,400.0|100.0|100.0|100.0|100.0|,0.958904109589041,365|91|89|94|91|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,176|42|43|50|41|,189|49|46|44|50|,0|0|0|0|0|,0|0|0|0|0|,42|8|8|13|13|,49|14|15|13|7|,0|0|0|0|0|,0|0|0|0|0|,91,274,42,429|86|96|142|105|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,794|177|185|236|196|,394|77|85|136|96|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,23.0|9.0|0|0|14.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,377|100|80|97|100|,27|7|11|4|5|,350|93|69|93|95|,4|4|4|4|4|,0.49972790392193656|0.4893430745079097|0.4990847115263225|0.4982741059302852|0.49033933099867166|,0.5|0.5659340659340659|0.46629213483146065|0.4946808510638298|0.4725274725274725|,0.4876712328767123,0.5123287671232877,0.48904109589041095,0.510958904109589,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365|91|89|94|91|,93|69|93|95|,0|0|0|0|,0|0|0|0|,0|0|0|0|,56|35|60|67|,0|0|0|0|,2,1,7,9,9,14
2,400.0|100.0|100.0|100.0|100.0|,1.062857142857143,350|93|69|93|95|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,181|50|36|48|47|,169|43|33|45|48|,0|0|0|0|0|,0|0|0|0|0|,61|19|19|14|9|,71|18|15|19|19|,0|0|0|0|0|,0|0|0|0|0|,132,218,61,954|215|303|212|224|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1304|308|372|305|319|,904|208|272|205|219|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,11.0|0|0|0|11.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,389|95|94|100|100|,17|7|4|5|1|,372|88|90|95|99|,4|4|4|4|4|,0.4951163265306122|0.4918776737195051|0.494066372610796|0.4818187073650133|0.48559556786703606|,0.48428571428571426|0.5645161290322581|0.4855072463768116|0.41397849462365593|0.47368421052631576|,0.4542857142857143,0.5457142857142857,0.5528571428571428,0.4471428571428571,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350|93|69|93|95|,88|90|95|99|,0|0|0|0|,0|0|0|0|,0|0|0|0|,61|77|74|71|,0|0|0|0|,10,1,12,7,22,9
3,400.0|100.0|100.0|100.0|100.0|,0.946236559139785,372|88|90|95|99|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,197|49|49|41|58|,175|39|41|54|41|,0|0|0|0|0|,0|0|0|0|0|,46|14|6|10|16|,43|13|7|11|12|,0|0|0|0|0|,0|0|0|0|0|,89,283,46,794|209|19|216|350|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1166|297|109|311|449|,766|197|9|211|349|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,35.0|0|35.0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,365|89|100|97|79|,13|3|4|4|2|,352|86|96|93|77|,4|4|4|4|4|,0.4879285177477165|0.48912060950413216|0.4910802469135802|0.48722991689750683|0.4753851647791042|,0.45161290322580644|0.4715909090909091|0.4166666666666667|0.41578947368421054|0.5|,0.3911290322580645,0.6088709677419355,0.4852150537634409,0.5147849462365591,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372|88|90|95|99|,86|96|93|77|,0|0|0|0|,0|0|0|0|,0|0|0|0|,54|38|65|64|,0|0|0|0|,5,5,11,7,10,8
4,400.0|100.0|100.0|100.0|100.0|,1.03125,352|86|96|93|77|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,179|52|46|46|35|,173|34|50|47|42|,0|0|0|0|0|,0|0|0|0|0|,67|20|30|10|7|,64|12|28|18|6|,0|0|0|0|0|,0|0|0|0|0|,131,221,67,1210|312|666|125|107|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1562|398|762|218|184|,1162|298|662|118|84|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,16.0|0|0|0|16.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,384|100|88|96|100|,21|6|4|7|4|,363|94|84|89|96|,4|4|4|4|4|,0.4878191987345041|0.49459167117360725|0.49294704861111116|0.4790438200948086|0.47259234272221284|,0.4133522727272727|0.43023255813953487|0.3958333333333333|0.42473118279569894|0.4025974025974026|,0.40625,0.59375,0.5582386363636364,0.44176136363636365,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352|86|96|93|77|,94|84|89|96|,0|0|0|0|,0|0|0|0|,0|0|0|0|,75|71|58|65|,0|0|0|0|,5,0,16,10,21,15
5,400.0|100.0|100.0|100.0|100.0|,0.9972451790633609,363|94|84|89|96|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,177|47|47|44|39|,186|47|37|45|57|,0|0|0|0|0|,0|0|0|0|0|,47|12|7|18|10|,47|7|6|13|21|,0|0|0|0|0|,0|0|0|0|0|,94,269,47,682|222|76|310|74|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1045|316|160|399|170|,645|216|60|299|70|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,19.0|0|1.0|0|18.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,381|90|100|91|100|,19|3|4|4|8|,362|87|96|87|92|,4|4|4|4|4|,0.4659536765096495|0.4689339067451336|0.4732851473922902|0.4573286201237218|0.46188693576388884|,0.4283746556473829|0.4148936170212766|0.4166666666666667|0.4606741573033708|0.421875|,0.31955922865013775,0.6804407713498623,0.5385674931129476,0.46143250688705234,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363|94|84|89|96|,87|96|87|92|,0|0|0|0|,0|0|0|0|,0|0|0|0|,59|49|69|55|,0|0|0|0|,7,1,8,9,14,8
6,400.0|100.0|100.0|100.0|100.0|,0.919889502762431,362|87|96|87|92|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,187|49|47|43|48|,175|38|49|44|44|,0|0|0|0|0|,0|0|0|0|0|,66|15|25|9|17|,64|13|22|9|20|,0|0|0|0|0|,0|0|0|0|0|,130,232,66,1007|180|363|37|427|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1369|267|459|124|519|,969|167|359|24|419|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,35.0|0|3.0|32.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,365|84|100|100|81|,32|6|10|10|6|,333|78|90|90|75|,4|4|4|4|4|,0.48049128536979957|0.4701083366362795|0.4774034288194444|0.4952107279693486|0.4694884215500945|,0.4558011049723757|0.41954022988505746|0.453125|0.5114942528735632|0.44021739130434784|,0.36049723756906077,0.6395027624309392,0.5069060773480663,0.4930939226519337,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362|87|96|87|92|,78|90|90|75|,0|0|0|0|,0|0|0|0|,0|0|0|0|,55|68|45|62|,0|0|0|0|,10,1,18,3,20,14
7,400.0|100.0|100.0|100.0|100.0|,1.057057057057057,333|78|90|90|75|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,174|47|46|44|37|,159|31|44|46|38|,0|0|0|0|0|,0|0|0|0|0|,60|16|13|23|8|,43|7|9|22|5|,0|0|0|0|0|,0|0|0|0|0|,103,230,60,828|281|63|292|192|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1161|359|153|382|267|,761|259|53|282|167|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,20.0|0|20.0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,380|91|100|96|93|,28|8|8|8|4|,352|83|92|88|89|,4|4|4|4|4|,0.47604586568550533|0.4785913872452334|0.4772222222222222|0.4670987654320987|0.47368888888888894|,0.487987987987988|0.4551282051282051|0.5111111111111111|0.5111111111111111|0.4666666666666667|,0.34984984984984985,0.6501501501501501,0.5375375375375375,0.4624624624624625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333|78|90|90|75|,83|92|88|89|,0|0|0|0|,0|0|0|0|,0|0|0|0|,65|47|74|67|,0|0|0|0|,2,0,6,3,36,13
8,400.0|100.0|100.0|100.0|100.0|,1.0056818181818181,352|83|92|88|89|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,171|40|38|50|43|,181|43|54|38|46|,0|0|0|0|0|,0|0|0|0|0|,48|10|21|7|10|,51|8|24|7|12|,0|0|0|0|0|,0|0|0|0|0|,99,253,48,883|104|349|78|352|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1235|187|441|166|441|,835|87|341|66|341|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,25.0|11.0|0|14.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,375|100|86|100|89|,21|4|5|8|4|,354|96|81|92|85|,4|4|4|4|4|,0.47784575154958686|0.48718972274640726|0.4828686200378072|0.4585162706611571|0.47108950890039136|,0.5284090909090909|0.4879518072289157|0.5434782608695652|0.5170454545454546|0.5617977528089888|,0.35511363636363635,0.6448863636363636,0.5340909090909091,0.4659090909090909,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352|83|92|88|89|,96|81|92|85|,0|0|0|0|,0|0|0|0|,0|0|0|0|,60|65|58|71|,0|0|0|0|,7,0,5,12,18,6
9,400.0|100.0|100.0|100.0|100.0|,0.940677966101695,354|96|81|92|85|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,169|45|36|48|40|,185|51|45|44|45|,0|0|0|0|0|,0|0|0|0|0|,51|18|5|20|8|,49|18|11|14|6|,0|0|0|0|0|,0|0|0|0|0|,100,254,51,610|254|22|325|9|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,964|350|103|417|94|,570|250|3|317|0|,0|0|0|0|0|,0|0|0|0|0|,394|100|100|100|94|,0|0|0|0|0|,394|100|100|100|94|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,31.0|0|13.0|0|18.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,363|83|100|80|100|,30|6|11|6|7|,333|77|89|74|93|,4|4|4|4|4|,0.4772973921925372|0.4823676215277778|0.46566834324035966|0.47247164461247637|0.4850173010380623|,0.4745762711864407|0.5104166666666666|0.46296296296296297|0.44565217391304346|0.4764705882352941|,0.3700564971751412,0.6299435028248588,0.576271186440678,0.423728813559322,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354|96|81|92|85|,77|89|74|93|,0|0|0|0|,0|0|0|0|,0|0|0|0|,56|30|60|27|,0|0|0|0|,6,1,14,8,17,5
