Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,232|108|60|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,232|108|60|,nan|nan|nan|,nan|nan|nan|,0|232|168|,0|0|0|,923|232|168|,0|0|0|,279|61|60|,0|0|0|,0|0|0|,279|61|60|,0|0|0|,0|0|0|,273|59|59|,6|4|22|,0|0|0|
1,0|1|2|,267|55|37|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,267|55|37|,nan|nan|nan|,nan|nan|nan|,0|267|92|,0|0|0|,601|267|92|,0|0|0|,235|129|36|,0|0|0|,0|0|0|,235|129|36|,0|0|0|,0|0|0|,223|125|36|,3|4|15|,0|0|0|
2,0|1|2|,220|121|21|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,220|121|21|,nan|nan|nan|,nan|nan|nan|,0|220|142|,0|0|0|,1253|220|142|,0|0|0|,276|79|44|,0|0|0|,0|0|0|,276|79|44|,0|0|0|,0|0|0|,266|75|43|,7|1|15|,0|0|0|
3,0|1|2|,259|74|28|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,259|74|28|,nan|nan|nan|,nan|nan|nan|,0|259|102|,0|0|0|,685|259|102|,0|0|0|,215|144|41|,0|0|0|,0|0|0|,215|144|41|,0|0|0|,0|0|0|,204|136|40|,6|6|20|,0|0|0|
4,0|1|2|,198|130|20|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,198|130|20|,nan|nan|nan|,nan|nan|nan|,0|198|150|,0|0|0|,1257|198|150|,0|0|0|,287|75|38|,0|0|0|,0|0|0|,287|75|38|,0|0|0|,0|0|0|,268|62|38|,3|2|18|,0|0|0|
5,0|1|2|,265|60|20|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,265|60|20|,nan|nan|nan|,nan|nan|nan|,0|265|80|,0|0|0|,665|265|80|,0|0|0|,217|148|36|,0|0|0|,0|0|0|,217|148|36|,0|0|0|,0|0|0|,212|140|36|,4|8|9|,0|0|0|
6,0|1|2|,208|132|27|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,208|132|27|,nan|nan|nan|,nan|nan|nan|,0|208|159|,0|0|0|,1742|208|159|,0|0|0|,317|54|29|,0|0|0|,0|0|0|,317|54|29|,0|0|0|,0|0|0|,304|53|28|,7|0|13|,0|0|0|
7,0|1|2|,297|53|15|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,297|53|15|,nan|nan|nan|,nan|nan|nan|,0|297|68|,0|0|0|,628|297|68|,0|0|0|,228|149|23|,0|0|0|,0|0|0|,228|149|23|,0|0|0|,0|0|0|,201|129|20|,2|6|9|,0|0|0|
8,0|1|2|,199|123|11|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,199|123|11|,nan|nan|nan|,nan|nan|nan|,0|199|134|,0|0|0|,1209|199|134|,0|0|0|,306|63|31|,0|0|0|,0|0|0|,306|63|31|,0|0|0|,0|0|0|,292|63|31|,7|1|9|,0|0|0|
9,0|1|2|,285|62|22|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,285|62|22|,nan|nan|nan|,nan|nan|nan|,0|285|84|,0|0|0|,600|285|84|,0|0|0|,242|127|31|,0|0|0|,0|0|0|,242|127|31|,0|0|0|,0|0|0|,230|121|30|,2|4|9|,0|0|0|
10,0|1|2|,228|117|21|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,228|117|21|,nan|nan|nan|,nan|nan|nan|,0|228|138|,0|0|0|,1008|228|138|,0|0|0|,256|96|48|,0|0|0|,0|0|0|,256|96|48|,0|0|0|,0|0|0|,239|87|46|,3|5|18|,0|0|0|
11,0|1|2|,236|82|28|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,236|82|28|,nan|nan|nan|,nan|nan|nan|,0|236|110|,0|0|0|,696|236|110|,0|0|0|,171|160|48|,0|0|0|,0|0|0|,171|160|48|,0|0|0|,0|0|0|,157|139|44|,4|7|14|,0|0|0|
12,0|1|2|,153|132|30|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,153|132|30|,nan|nan|nan|,nan|nan|nan|,0|153|162|,0|0|0|,971|153|162|,0|0|0|,262|73|53|,0|0|0|,0|0|0|,262|73|53|,0|0|0|,0|0|0|,250|63|52|,6|1|19|,0|0|0|
13,0|1|2|,244|62|33|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,244|62|33|,nan|nan|nan|,nan|nan|nan|,0|244|95|,0|0|0|,651|244|95|,0|0|0|,228|134|38|,0|0|0|,0|0|0|,228|134|38|,0|0|0|,0|0|0|,211|119|34|,5|6|17|,0|0|0|
14,0|1|2|,206|113|17|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,206|113|17|,nan|nan|nan|,nan|nan|nan|,0|206|130|,0|0|0|,1510|206|130|,0|0|0|,328|49|23|,0|0|0|,0|0|0|,328|49|23|,0|0|0|,0|0|0|,316|46|23|,14|2|10|,0|0|0|
15,0|1|2|,302|44|13|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,302|44|13|,nan|nan|nan|,nan|nan|nan|,0|302|57|,0|0|0|,449|302|57|,0|0|0|,218|156|26|,0|0|0|,0|0|0|,218|156|26|,0|0|0|,0|0|0|,208|136|25|,8|8|10|,0|0|0|
16,0|1|2|,200|128|15|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,200|128|15|,nan|nan|nan|,nan|nan|nan|,0|200|143|,0|0|0|,970|200|143|,0|0|0|,282|65|53|,0|0|0|,0|0|0|,282|65|53|,0|0|0|,0|0|0|,279|62|51|,10|1|24|,0|0|0|
17,0|1|2|,269|61|27|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,269|61|27|,nan|nan|nan|,nan|nan|nan|,0|269|88|,0|0|0|,741|269|88|,0|0|0|,223|127|35|,0|0|0|,0|0|0|,223|127|35|,0|0|0|,0|0|0|,200|105|31|,2|5|13|,0|0|0|
18,0|1|2|,198|100|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,198|100|18|,nan|nan|nan|,nan|nan|nan|,0|198|118|,0|0|0|,1467|198|118|,0|0|0|,316|58|26|,0|0|0|,0|0|0|,316|58|26|,0|0|0|,0|0|0|,310|56|26|,3|4|13|,0|0|0|
19,0|1|2|,307|52|13|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,307|52|13|,nan|nan|nan|,nan|nan|nan|,0|307|65|,0|0|0|,682|307|65|,0|0|0|,225|154|21|,0|0|0|,0|0|0|,225|154|21|,0|0|0|,0|0|0|,214|143|21|,4|10|10|,0|0|0|
