Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,608|290|152|,31.0|53.0|92.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,608|290|152|,31.0|53.0|92.0|,0.0|0.0|0.0|,0|608|442|,0|0|0|,578|608|442|,0|0|0|,578|608|442|,0|0|442|,0|290|152|,578|608|0|,0|0|0|,0|0|0|,578|608|0|,126|58|0|,184|0|0|
1,0|1|2|,452|550|0|,31.0|31.0|nan|,0.0|0.0|nan|,31.0|53.0|92.0|,452|550|0|,31.0|31.0|nan|,0.0|0.0|nan|,0|452|550|,0|0|0|,1025|452|550|,0|0|0|,877|413|495|,0|0|495|,495|0|0|,877|413|0|,0|0|0|,0|0|0|,877|413|0|,170|34|0|,204|0|0|
2,0|1|2|,707|379|0|,31.0|31.0|nan|,0.0|0.0|nan|,31.0|53.0|92.0|,707|379|0|,31.0|31.0|nan|,0.0|0.0|nan|,0|707|379|,0|0|0|,820|707|379|,0|0|0|,755|670|352|,0|0|352|,352|0|0|,755|670|0|,0|0|0|,0|0|0|,755|670|0|,152|63|0|,215|0|0|
3,0|1|2|,603|607|0|,31.0|31.0|nan|,0.0|0.0|nan|,31.0|53.0|92.0|,603|607|0|,31.0|31.0|nan|,0.0|0.0|nan|,0|603|607|,0|0|0|,1599|603|607|,0|0|0|,1073|492|439|,0|0|439|,439|0|0|,1073|492|0|,0|0|0|,0|0|0|,1073|492|0|,182|46|0|,228|0|0|
4,0|1|2|,891|446|0|,31.0|31.0|nan|,0.0|0.0|nan|,31.0|53.0|92.0|,891|446|0|,31.0|31.0|nan|,0.0|0.0|nan|,0|891|446|,0|0|0|,883|891|446|,0|0|0|,738|800|387|,0|0|387|,387|0|0|,738|800|0|,0|0|0|,0|0|0|,738|800|0|,144|87|0|,231|0|0|
5,0|1|2|,594|713|0|,31.0|31.0|nan|,0.0|0.0|nan|,31.0|53.0|92.0|,594|713|0|,31.0|31.0|nan|,0.0|0.0|nan|,0|594|713|,0|0|0|,1597|594|713|,0|0|0|,1150|460|490|,0|0|490|,490|0|0|,1150|460|0|,0|0|0|,0|0|0|,1150|460|0|,228|50|0|,278|0|0|
6,0|1|2|,922|410|0|,31.0|31.0|nan|,0.0|0.0|nan|,31.0|53.0|92.0|,922|410|0|,31.0|31.0|nan|,0.0|0.0|nan|,0|922|410|,0|0|0|,943|922|410|,0|0|0|,754|815|337|,0|0|337|,337|0|0|,754|815|0|,0|0|0|,0|0|0|,754|815|0|,160|95|0|,255|0|0|
7,0|1|2|,594|720|0|,31.0|31.0|nan|,0.0|0.0|nan|,31.0|53.0|92.0|,594|720|0|,31.0|31.0|nan|,0.0|0.0|nan|,0|594|720|,0|0|0|,1031|594|720|,0|0|0|,827|513|617|,0|0|617|,617|0|0|,827|513|0|,0|0|0|,0|0|0|,827|513|0|,154|48|0|,202|0|0|
8,0|1|2|,673|465|0|,31.0|31.0|nan|,0.0|0.0|nan|,31.0|53.0|92.0|,673|465|0|,31.0|31.0|nan|,0.0|0.0|nan|,0|673|465|,0|0|0|,1175|673|465|,0|0|0|,1027|622|405|,0|0|405|,405|0|0|,1027|622|0|,0|0|0|,0|0|0|,1027|622|0|,194|43|0|,237|0|0|
9,0|1|2|,833|579|0|,31.0|31.0|nan|,0.0|0.0|nan|,31.0|53.0|92.0|,833|579|0|,31.0|31.0|nan|,0.0|0.0|nan|,0|833|579|,0|0|0|,1216|833|579|,0|0|0|,871|667|428|,0|0|428|,428|0|0|,871|667|0|,0|0|0|,0|0|0|,871|667|0|,186|70|0|,256|0|0|
10,0|1|2|,685|597|0|,31.0|31.0|nan|,0.0|0.0|nan|,31.0|53.0|92.0|,685|597|0|,31.0|31.0|nan|,0.0|0.0|nan|,0|685|597|,0|0|0|,1493|685|597|,0|0|0|,1137|529|433|,0|0|433|,433|0|0|,1137|529|0|,0|0|0|,0|0|0|,1137|529|0|,223|47|0|,270|0|0|
11,0|1|2|,914|482|0|,31.0|31.0|nan|,0.0|0.0|nan|,31.0|53.0|92.0|,914|482|0|,31.0|31.0|nan|,0.0|0.0|nan|,0|914|482|,0|0|0|,473|914|482|,0|0|0|,469|910|478|,0|0|478|,478|0|0|,469|910|0|,0|0|0|,0|0|0|,469|910|0|,99|80|0|,179|0|0|
12,0|1|2|,370|830|0|,31.0|31.0|nan|,0.0|0.0|nan|,31.0|53.0|92.0|,370|830|0|,31.0|31.0|nan|,0.0|0.0|nan|,0|370|830|,0|0|0|,1656|370|830|,0|0|0|,1208|273|617|,0|0|617|,617|0|0|,1208|273|0|,0|0|0|,0|0|0|,1208|273|0|,249|26|0|,275|0|0|
13,0|1|2|,959|247|0|,31.0|31.0|nan|,0.0|0.0|nan|,31.0|53.0|92.0|,959|247|0|,31.0|31.0|nan|,0.0|0.0|nan|,0|959|247|,0|0|0|,555|959|247|,0|0|0|,538|945|240|,0|0|240|,240|0|0|,538|945|0|,0|0|0|,0|0|0|,538|945|0|,104|90|0|,194|0|0|
14,0|1|2|,434|855|0|,31.0|31.0|nan|,0.0|0.0|nan|,31.0|53.0|92.0|,434|855|0|,31.0|31.0|nan|,0.0|0.0|nan|,0|434|855|,0|0|0|,2697|434|855|,0|0|0|,1413|229|457|,0|0|457|,457|0|0|,1413|229|0|,0|0|0|,0|0|0|,1413|229|0|,286|25|0|,311|0|0|
15,0|1|2|,1127|204|0|,31.0|31.0|nan|,0.0|0.0|nan|,31.0|53.0|92.0|,1127|204|0|,31.0|31.0|nan|,0.0|0.0|nan|,0|1127|204|,0|0|0|,272|1127|204|,0|0|0|,272|1127|204|,0|0|204|,204|0|0|,272|1127|0|,0|0|0|,0|0|0|,272|1127|0|,54|112|0|,166|0|0|
