Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.9542857142857143,1050|150|150|150|150|150|150|150|,43.486666666666665|47.68666666666667|45.473333333333336|46.72666666666667|47.18|44.64|46.153333333333336|,19.708115643618044|21.294173433646634|20.25526982184033|20.777839690935682|22.151018035295806|21.516282206738225|22.366265272106162|,553|77|76|82|82|76|80|80|,497|73|74|68|68|74|70|70|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,234|28|38|35|41|28|32|32|,208|27|35|30|29|38|22|27|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,442,608,234,578|62|99|62|144|0|75|136|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1628|212|249|212|294|150|225|286|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1628|212|249|212|294|150|225|286|,442|55|73|65|70|66|54|59|,1186|157|176|147|224|84|171|227|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1186|160|186|154|185|120|173|208|,184|26|26|32|33|12|21|34|,1002|134|160|122|152|108|152|174|,20|20|20|20|20|20|20|20|,0.8996730158730158|0.8957|0.8977222222222222|0.8964333333333333|0.8967666666666667|0.8963222222222222|0.8977555555555555|0.8962|,0.8990476190476191|0.9133333333333333|0.8933333333333333|0.9|0.8833333333333333|0.9|0.8833333333333333|0.92|,0.1061904761904762,0.09857142857142857,0.09476190476190476,0.10047619047619048,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050|150|150|150|150|150|150|150|,134|160|122|152|108|152|174|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,28|40|31|27|32|31|29|,0|0|0|0|0|0|0|,0,0,0,0,0,1
1,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.0838323353293413,1002|134|160|122|152|108|152|174|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,524|68|76|68|85|59|73|95|,478|66|84|54|67|49|79|79|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,289|43|35|41|37|44|45|44|,261|44|37|33|32|32|44|39|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,550,452,289,1025|150|46|299|135|0|227|168|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,2027|284|206|421|287|108|379|342|,242|0|0|121|0|0|79|42|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1785|284|206|300|287|108|300|300|,495|87|72|51|69|76|68|72|,1290|197|134|249|218|32|232|228|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1290|178|157|224|208|108|201|214|,204|31|21|45|27|20|36|24|,1086|147|136|179|181|88|165|190|,20|20|20|20|20|20|20|20|,0.8985835713801937|0.8936706393406104|0.89357421875|0.895777344799785|0.8942174515235457|0.8951688957475995|0.8959703947368421|0.8947185889813714|,0.907185628742515|0.9216417910447762|0.89375|0.9057377049180327|0.9078947368421053|0.8842592592592593|0.8848684210526315|0.9425287356321839|,0.12974051896207583,0.09131736526946108,0.10429141716566866,0.09730538922155689,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002|134|160|122|152|108|152|174|,147|136|179|181|88|165|190|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,43|47|53|59|58|49|53|,0|0|0|0|0|0|0|,0,0,0,0,0,0
2,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.1141804788213627,1086|147|136|179|181|88|165|190|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,571|82|74|95|95|44|82|99|,515|65|62|84|86|44|83|91|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,196|21|37|16|47|13|20|42|,183|21|41|14|32|17|28|30|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,379,707,196,820|101|169|78|193|80|39|160|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1906|248|305|257|374|168|204|350|,129|0|5|0|74|0|0|50|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1777|248|300|257|300|168|204|300|,352|42|77|30|66|30|48|59|,1425|206|223|227|234|138|156|241|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1425|199|192|240|216|159|192|227|,215|21|26|32|43|33|24|36|,1210|178|166|208|173|126|168|191|,20|20|20|20|20|20|20|20|,0.8980904208594908|0.8932389282243509|0.8925578503460208|0.8912877251022128|0.8929977717407893|0.8965005165289256|0.8935353535353535|0.8958795013850416|,0.9152854511970534|0.8979591836734694|0.9117647058823529|0.9162011173184358|0.9475138121546961|0.8977272727272727|0.896969696969697|0.9236842105263158|,0.11049723756906077,0.09898710865561694,0.09990791896869244,0.09806629834254144,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086|147|136|179|181|88|165|190|,178|166|208|173|126|168|191|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,40|48|40|50|50|42|45|,0|0|0|0|0|0|0|,0,0,0,1,0,0
3,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.1049586776859504,1210|178|166|208|173|126|168|191|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,624|100|83|105|87|62|94|93|,586|78|83|103|86|64|74|98|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,329|58|31|73|34|26|60|47|,278|42|19|64|40|22|49|42|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,607,603,329,1599|326|71|455|122|146|268|211|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,2809|504|237|663|295|272|436|402|,805|204|0|363|0|0|136|102|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2004|300|237|300|295|272|300|300|,439|65|50|62|74|48|79|61|,1565|235|187|238|221|224|221|239|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1565|216|244|221|227|224|205|228|,228|38|33|29|33|32|31|32|,1337|178|211|192|194|192|174|196|,20|20|20|20|20|20|20|20|,0.8967888122396012|0.892856015654589|0.892419073885905|0.8926070173816568|0.8885612616525778|0.8877078609221467|0.8940086451247166|0.8932732107124257|,0.8933884297520661|0.8792134831460674|0.9036144578313253|0.9110576923076923|0.9046242774566474|0.8928571428571429|0.8779761904761905|0.8821989528795812|,0.12975206611570247,0.09008264462809917,0.11074380165289256,0.10702479338842975,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1210|178|166|208|173|126|168|191|,178|211|192|194|192|174|196|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,53|79|78|55|65|71|61|,0|0|0|0|0|0|0|,0,0,0,0,0,0
4,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.9775617053103964,1337|178|211|192|194|192|174|196|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,646|88|99|78|94|97|92|98|,691|90|112|114|100|95|82|98|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,215|25|45|8|48|34|19|36|,231|20|58|20|43|36|18|36|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,446,891,215,883|90|201|31|222|158|60|121|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,2220|268|412|223|416|350|234|317|,295|0|112|0|116|50|0|17|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1925|268|300|223|300|300|234|300|,387|45|84|28|65|59|37|69|,1538|223|216|195|235|241|197|231|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1538|219|209|226|214|220|227|223|,231|37|30|26|36|30|37|35|,1307|182|179|200|178|190|190|188|,20|20|20|20|20|20|20|20|,0.8962182718541214|0.8955545385683625|0.8937130792210417|0.8857693142361112|0.8914071633542353|0.8857964409722222|0.8923652397938961|0.8900132757184507|,0.8893044128646223|0.9241573033707865|0.8838862559241706|0.8567708333333334|0.8814432989690721|0.8880208333333334|0.9224137931034483|0.875|,0.1323859386686612,0.08825729244577413,0.09611069558713538,0.09835452505609574,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1337|178|211|192|194|192|174|196|,182|179|200|178|190|190|188|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,32|46|36|47|40|48|49|,0|0|0|0|0|0|0|,0,0,0,0,0,0
5,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.0191277735271613,1307|182|179|200|178|190|190|188|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,654|83|95|89|93|99|98|97|,653|99|84|111|85|91|92|91|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,346|57|32|63|29|51|66|48|,367|61|33|89|35|43|54|52|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,713,594,346,1597|210|144|370|136|257|287|193|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,2904|392|323|570|314|447|477|381|,804|92|23|270|14|147|177|81|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100|300|300|300|300|300|300|300|,490|88|62|71|61|57|73|78|,1610|212|238|229|239|243|227|222|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1610|227|251|205|253|225|215|234|,278|36|43|44|40|39|47|29|,1332|191|208|161|213|186|168|205|,20|20|20|20|20|20|20|20|,0.8954053243994289|0.8955289216278227|0.8929496582503667|0.887775|0.8862754071455624|0.8867382271468144|0.8923614958448753|0.8907028066998641|,0.8978576893649579|0.8956043956043956|0.9106145251396648|0.8775|0.8848314606741573|0.9026315789473685|0.9157894736842105|0.898936170212766|,0.13771996939556236,0.08798775822494262,0.10711553175210406,0.10214231063504207,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1307|182|179|200|178|190|190|188|,191|208|161|213|186|168|205|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,74|62|64|61|53|58|79|,0|0|0|0|0|0|0|,0,0,0,0,0,0
6,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.9864864864864865,1332|191|208|161|213|186|168|205|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,719|88|121|93|110|91|94|122|,613|103|87|68|103|95|74|83|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,216|20|54|14|52|28|14|34|,194|29|39|10|41|29|20|26|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,410,922,216,943|50|262|79|233|122|57|140|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,2275|241|470|240|446|308|225|345|,369|0|170|0|146|8|0|45|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1906|241|300|240|300|300|225|300|,337|49|60|24|67|54|34|49|,1569|192|240|216|233|246|191|251|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1569|225|205|221|220|244|216|238|,255|40|34|37|50|43|20|31|,1314|185|171|184|170|201|196|207|,20|20|20|20|20|20|20|20|,0.8943394407921436|0.8943559661193499|0.8916709042159763|0.8855175340457544|0.8845797791443497|0.888346918718927|0.8896506519274376|0.8913206424747174|,0.8982732732732732|0.9031413612565445|0.9206730769230769|0.8975155279503105|0.8708920187793427|0.8897849462365591|0.9136904761904762|0.8951219512195122|,0.13626126126126126,0.08370870870870871,0.11148648648648649,0.09384384384384384,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1332|191|208|161|213|186|168|205|,185|171|184|170|201|196|207|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,40|38|38|50|43|43|41|,0|0|0|0|0|0|0|,0,0,0,1,0,0
7,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.8660578386605784,1314|185|171|184|170|201|196|207|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,695|90|90|104|79|100|110|122|,619|95|81|80|91|101|86|85|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,399|60|33|72|31|55|77|71|,321|66|25|49|40|52|47|42|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,720,594,399,1031|120|60|188|55|164|187|257|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,2345|305|231|372|225|365|383|464|,389|5|0|72|0|65|83|164|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1957|300|231|300|225|300|301|300|,617|124|58|100|71|88|98|78|,1340|176|173|200|154|212|203|222|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1340|182|207|184|182|215|182|188|,202|28|36|30|23|34|32|19|,1138|154|171|154|159|181|150|169|,20|20|20|20|20|20|20|20|,0.8945678375253968|0.8956245434623813|0.892949967511371|0.8877746928166351|0.8839186851211073|0.8932204648399792|0.8878527176176594|0.8911701556629092|,0.9018264840182648|0.9081081081081082|0.9210526315789473|0.8967391304347826|0.8794117647058823|0.9029850746268657|0.9132653061224489|0.8913043478260869|,0.128234398782344,0.08333333333333333,0.1251902587519026,0.09969558599695585,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1314|185|171|184|170|201|196|207|,154|171|154|159|181|150|169|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,52|42|45|45|48|43|53|,0|0|0|0|0|0|0|,0,0,0,0,0,0
8,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.2407732864674867,1138|154|171|154|159|181|150|169|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,555|74|86|75|75|91|73|81|,583|80|85|79|84|90|77|88|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,232|26|51|23|43|36|24|29|,233|27|52|22|47|36|24|25|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,465,673,232,1175|148|238|120|223|149|130|167|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,2313|302|409|274|382|330|280|336|,259|2|109|0|82|30|0|36|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2054|300|300|274|300|300|280|300|,405|53|76|45|69|66|48|48|,1649|247|224|229|231|234|232|252|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1649|255|199|241|217|252|231|254|,237|33|36|28|28|40|28|44|,1412|222|163|213|189|212|203|210|,20|20|20|20|20|20|20|20|,0.8945151670522392|0.8906856130882105|0.8899832427071578|0.891465677179963|0.8879296705035402|0.8929596166173194|0.8901444444444444|0.8882829732852491|,0.8971880492091389|0.8831168831168831|0.9327485380116959|0.9025974025974026|0.8867924528301887|0.919889502762431|0.8833333333333333|0.8668639053254438|,0.12873462214411246,0.09050966608084358,0.11818980667838312,0.09314586994727592,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138|154|171|154|159|181|150|169|,222|163|213|189|212|203|210|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,68|50|65|67|51|53|61|,0|0|0|0|0|0|0|,0,0,0,0,0,0
9,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.9079320113314447,1412|222|163|213|189|212|203|210|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,709|117|82|102|107|102|102|97|,703|105|81|111|82|110|101|113|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,279|45|21|49|27|46|46|45|,300|49|22|53|28|50|46|52|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,579,833,279,1216|243|57|205|57|289|216|149|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,2628|465|220|418|246|501|419|359|,662|165|0|118|0|201|119|59|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1966|300|220|300|246|300|300|300|,428|58|43|70|55|56|67|79|,1538|242|177|230|191|244|233|221|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1538|225|205|229|214|224|229|212|,256|39|26|42|28|45|39|37|,1282|186|179|187|186|179|190|175|,20|20|20|20|20|20|20|20|,0.8932199921353996|0.892272339907475|0.888243817983364|0.890525468932531|0.8870062428263487|0.8938957369170524|0.8867905069280982|0.8875850340136054|,0.884915014164306|0.9009009009009009|0.911042944785276|0.9014084507042254|0.873015873015873|0.8985849056603774|0.8522167487684729|0.8595238095238096|,0.12641643059490085,0.08498583569405099,0.1448300283286119,0.10092067988668556,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1412|222|163|213|189|212|203|210|,186|179|187|186|179|190|175|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,54|49|55|40|46|54|48|,0|0|0|0|0|0|0|,0,0,0,0,0,1
